folder,role,dx,dy,distance_px,covariance_dn2,normalized_acf,direction
1,calibration,-16,-16,22.627416997969522,-170.25542607619352,-0.028632444212354474,diagonal_main
1,calibration,0,-16,16.0,86.10441726630015,0.014480477836349908,vertical
1,calibration,16,-16,22.627416997969522,-239.46077897829898,-0.0402709479113735,diagonal_anti
1,calibration,-15,-15,21.213203435596427,-160.6848120327335,-0.027022920927295063,diagonal_main
1,calibration,0,-15,15.0,93.85958800942562,0.015784691738821664,vertical
1,calibration,15,-15,21.213203435596427,-253.04187820828625,-0.04255492836948258,diagonal_anti
1,calibration,-14,-14,19.79898987322333,-143.66361482369305,-0.024160407286776906,diagonal_main
1,calibration,0,-14,14.0,106.93840453093655,0.01798420157557831,vertical
1,calibration,14,-14,19.79898987322333,-258.99877756291005,-0.043556720749207065,diagonal_anti
1,calibration,-13,-13,18.384776310850235,-120.30800769665568,-0.020232614008627324,diagonal_main
1,calibration,0,-13,13.0,124.66364716179659,0.020965116971199363,vertical
1,calibration,13,-13,18.384776310850235,-255.09345433636184,-0.04289994902690488,diagonal_anti
1,calibration,-12,-12,16.97056274847714,-86.42195464838572,-0.01453387919680836,diagonal_main
1,calibration,0,-12,12.0,150.78844765450611,0.025358615081101835,vertical
1,calibration,12,-12,16.97056274847714,-239.73619701380744,-0.04031726591555413,diagonal_anti
1,calibration,-11,-11,15.556349186104045,-43.989824966745985,-0.007397921101838592,diagonal_main
1,calibration,0,-11,11.0,186.41690659884736,0.031350376322470314,vertical
1,calibration,11,-11,15.556349186104045,-209.3436639526603,-0.0352060484501208,diagonal_anti
1,calibration,-10,-10,14.142135623730951,14.236228343353671,0.002394155788332963,diagonal_main
1,calibration,0,-10,10.0,231.21143701372313,0.038883627524394185,vertical
1,calibration,10,-10,14.142135623730951,-161.86203587491428,-0.027220898734895804,diagonal_anti
1,calibration,-9,-9,12.727922061357855,85.5437336826011,0.01438618573770125,diagonal_main
1,calibration,0,-9,9.0,286.8950260407604,0.048248129397284886,vertical
1,calibration,9,-9,12.727922061357855,-93.66610619691225,-0.015752153232821774,diagonal_anti
1,calibration,-8,-8,11.313708498984761,168.0850772282442,0.028267449135589953,diagonal_main
1,calibration,0,-8,8.0,355.27103829434805,0.059747160009313446,vertical
1,calibration,8,-8,11.313708498984761,-5.104637335713532,-0.0008584645265503025,diagonal_anti
1,calibration,-7,-7,9.899494936611665,264.2840453534967,0.04444556252446774,diagonal_main
1,calibration,0,-7,7.0,433.1143089794062,0.07283833223544663,vertical
1,calibration,7,-7,9.899494936611665,103.50653899869872,0.017407052872240498,diagonal_anti
1,calibration,-6,-6,8.48528137423857,373.67100951618403,0.06284154684713661,diagonal_main
1,calibration,0,-6,6.0,516.0087132222538,0.08677897107263417,vertical
1,calibration,6,-6,8.48528137423857,231.0740618433341,0.03886052466657064,diagonal_anti
1,calibration,-5,-5,7.0710678118654755,488.71890710922315,0.08218954993578513,diagonal_main
1,calibration,0,-5,5.0,602.6133993376669,0.10134358085263794,vertical
1,calibration,5,-5,7.0710678118654755,369.95530869713286,0.06221666458133633,diagonal_anti
1,calibration,-4,-4,5.656854249492381,601.462584780325,0.1011500443858641,diagonal_main
1,calibration,0,-4,4.0,687.0660898897099,0.11554628209126074,vertical
1,calibration,4,-4,5.656854249492381,517.7062380355054,0.0870644496951643,diagonal_anti
1,calibration,-3,-3,4.242640687119285,711.6684157514903,0.11968374037359675,diagonal_main
1,calibration,0,-3,3.0,770.3270212805899,0.12954856106738666,vertical
1,calibration,3,-3,4.242640687119285,654.4197339010129,0.11005603142421469,diagonal_anti
1,calibration,-2,-2,2.8284271247461903,810.8844575800418,0.13636924548845458,diagonal_main
1,calibration,0,-2,2.0,846.8835828203728,0.14242334296359793,vertical
1,calibration,2,-2,2.8284271247461903,779.8216062299966,0.13114529827658247,diagonal_anti
1,calibration,-1,-1,1.4142135623730951,935.852099253684,0.15738548626875584,diagonal_main
1,calibration,0,-1,1.0,1008.9705363314221,0.16968206687574316,vertical
1,calibration,1,-1,1.4142135623730951,928.7526573820359,0.1561915485599051,diagonal_anti
1,calibration,-16,0,16.0,195.60079605566258,0.03289486279544188,horizontal
1,calibration,-15,0,15.0,210.19761103486024,0.03534965968621997,horizontal
1,calibration,-14,0,14.0,235.1164459972308,0.03954034639935673,horizontal
1,calibration,-13,0,13.0,263.54286458706457,0.04432091558994572,horizontal
1,calibration,-12,0,12.0,301.671905435047,0.05073320834390392,horizontal
1,calibration,-11,0,11.0,344.005122333859,0.0578525319338745,horizontal
1,calibration,-10,0,10.0,391.91893740274304,0.06591036403108436,horizontal
1,calibration,-9,0,9.0,444.78191065833624,0.07480051318828412,horizontal
1,calibration,-8,0,8.0,506.4279326167266,0.08516773804164812,horizontal
1,calibration,-7,0,7.0,569.2585023400876,0.0957341723920546,horizontal
1,calibration,-6,0,6.0,637.0843849329834,0.10714068579519097,horizontal
1,calibration,-5,0,5.0,701.8164101371513,0.1180268944942406,horizontal
1,calibration,-4,0,4.0,767.2916511975372,0.12903809237590447,horizontal
1,calibration,-3,0,3.0,830.1491634786097,0.13960905774948237,horizontal
1,calibration,-2,0,2.0,877.4194344633488,0.14755866281092525,horizontal
1,calibration,-1,0,1.0,1040.5876811160965,0.17499923153278027,horizontal
1,calibration,0,0,0.0,5946.241432044101,1.0,horizontal
1,calibration,1,0,1.0,1040.5876811160965,0.17499923153278027,horizontal
1,calibration,2,0,2.0,877.4194344633488,0.14755866281092525,horizontal
1,calibration,3,0,3.0,830.1491634786097,0.13960905774948237,horizontal
1,calibration,4,0,4.0,767.2916511975371,0.12903809237590447,horizontal
1,calibration,5,0,5.0,701.8164101371511,0.11802689449424057,horizontal
1,calibration,6,0,6.0,637.0843849329834,0.10714068579519097,horizontal
1,calibration,7,0,7.0,569.2585023400876,0.0957341723920546,horizontal
1,calibration,8,0,8.0,506.4279326167266,0.08516773804164812,horizontal
1,calibration,9,0,9.0,444.78191065833624,0.07480051318828412,horizontal
1,calibration,10,0,10.0,391.9189374027431,0.06591036403108436,horizontal
1,calibration,11,0,11.0,344.00512233385894,0.05785253193387449,horizontal
1,calibration,12,0,12.0,301.671905435047,0.05073320834390392,horizontal
1,calibration,13,0,13.0,263.5428645870646,0.04432091558994573,horizontal
1,calibration,14,0,14.0,235.1164459972308,0.03954034639935673,horizontal
1,calibration,15,0,15.0,210.1976110348602,0.035349659686219954,horizontal
1,calibration,16,0,16.0,195.60079605566258,0.03289486279544188,horizontal
1,calibration,-1,1,1.4142135623730951,928.7526573820357,0.15619154855990508,diagonal_anti
1,calibration,0,1,1.0,1008.9705363314218,0.16968206687574314,vertical
1,calibration,1,1,1.4142135623730951,935.8520992536836,0.1573854862687558,diagonal_main
1,calibration,-2,2,2.8284271247461903,779.8216062299965,0.13114529827658247,diagonal_anti
1,calibration,0,2,2.0,846.8835828203726,0.1424233429635979,vertical
1,calibration,2,2,2.8284271247461903,810.8844575800416,0.13636924548845455,diagonal_main
1,calibration,-3,3,4.242640687119285,654.4197339010129,0.11005603142421469,diagonal_anti
1,calibration,0,3,3.0,770.3270212805899,0.12954856106738666,vertical
1,calibration,3,3,4.242640687119285,711.6684157514903,0.11968374037359675,diagonal_main
1,calibration,-4,4,5.656854249492381,517.7062380355054,0.0870644496951643,diagonal_anti
1,calibration,0,4,4.0,687.0660898897096,0.11554628209126068,vertical
1,calibration,4,4,5.656854249492381,601.462584780325,0.1011500443858641,diagonal_main
1,calibration,-5,5,7.0710678118654755,369.95530869713286,0.06221666458133633,diagonal_anti
1,calibration,0,5,5.0,602.6133993376669,0.10134358085263794,vertical
1,calibration,5,5,7.0710678118654755,488.71890710922304,0.08218954993578512,diagonal_main
1,calibration,-6,6,8.48528137423857,231.07406184333405,0.038860524666570626,diagonal_anti
1,calibration,0,6,6.0,516.0087132222538,0.08677897107263417,vertical
1,calibration,6,6,8.48528137423857,373.67100951618403,0.06284154684713661,diagonal_main
1,calibration,-7,7,9.899494936611665,103.50653899869867,0.01740705287224049,diagonal_anti
1,calibration,0,7,7.0,433.1143089794062,0.07283833223544663,vertical
1,calibration,7,7,9.899494936611665,264.2840453534967,0.04444556252446774,diagonal_main
1,calibration,-8,8,11.313708498984761,-5.104637335713535,-0.0008584645265503029,diagonal_anti
1,calibration,0,8,8.0,355.27103829434805,0.059747160009313446,vertical
1,calibration,8,8,11.313708498984761,168.0850772282442,0.028267449135589953,diagonal_main
1,calibration,-9,9,12.727922061357855,-93.66610619691225,-0.015752153232821774,diagonal_anti
1,calibration,0,9,9.0,286.8950260407604,0.048248129397284886,vertical
1,calibration,9,9,12.727922061357855,85.5437336826011,0.01438618573770125,diagonal_main
1,calibration,-10,10,14.142135623730951,-161.86203587491428,-0.027220898734895804,diagonal_anti
1,calibration,0,10,10.0,231.21143701372313,0.038883627524394185,vertical
1,calibration,10,10,14.142135623730951,14.236228343353696,0.0023941557883329673,diagonal_main
1,calibration,-11,11,15.556349186104045,-209.3436639526603,-0.0352060484501208,diagonal_anti
1,calibration,0,11,11.0,186.41690659884736,0.031350376322470314,vertical
1,calibration,11,11,15.556349186104045,-43.98982496674597,-0.00739792110183859,diagonal_main
1,calibration,-12,12,16.97056274847714,-239.7361970138074,-0.04031726591555413,diagonal_anti
1,calibration,0,12,12.0,150.78844765450611,0.025358615081101835,vertical
1,calibration,12,12,16.97056274847714,-86.4219546483857,-0.014533879196808357,diagonal_main
1,calibration,-13,13,18.384776310850235,-255.09345433636182,-0.04289994902690488,diagonal_anti
1,calibration,0,13,13.0,124.66364716179656,0.02096511697119936,vertical
1,calibration,13,13,18.384776310850235,-120.30800769665564,-0.020232614008627317,diagonal_main
1,calibration,-14,14,19.79898987322333,-258.99877756291,-0.04355672074920706,diagonal_anti
1,calibration,0,14,14.0,106.93840453093655,0.01798420157557831,vertical
1,calibration,14,14,19.79898987322333,-143.66361482369302,-0.024160407286776903,diagonal_main
1,calibration,-15,15,21.213203435596427,-253.04187820828625,-0.04255492836948258,diagonal_anti
1,calibration,0,15,15.0,93.85958800942564,0.015784691738821667,vertical
1,calibration,15,15,21.213203435596427,-160.6848120327335,-0.027022920927295063,diagonal_main
1,calibration,-16,16,22.627416997969522,-239.46077897829898,-0.0402709479113735,diagonal_anti
1,calibration,0,16,16.0,86.10441726630013,0.014480477836349906,vertical
1,calibration,16,16,22.627416997969522,-170.25542607619352,-0.028632444212354474,diagonal_main
2,evaluation,-16,-16,22.627416997969522,1.0283760059373253,0.000512025418872831,diagonal_main
2,evaluation,0,-16,16.0,5.06351236771501,0.0025211080636638734,vertical
2,evaluation,16,-16,22.627416997969522,0.04412975483185523,2.1972076431267015e-05,diagonal_anti
