content_id,content_sha256,seed,sigma_dn,sigma_norm,allowed_role,isolation_block_id,content_mean_norm,content_std_norm,content_p1_norm,content_p50_norm,content_p99_norm,content_robust_range_norm,content_gradient_energy,content_high_frequency_energy,content_row_profile_std,content_column_profile_std,residual_mean_dn,residual_std_dn,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,residual_min_dn,residual_max_dn,residual_p1_dn,residual_p50_dn,residual_p99_dn,residual_horizontal_lag1,residual_vertical_lag1,residual_radial_autocorrelation_lag1,residual_row_energy_dn,residual_column_energy_dn,residual_psd_flatness,noisy_mean_norm,noisy_std_norm,noisy_p1_norm,noisy_p50_norm,noisy_p99_norm,brightness_difference_dn,brightness_difference_norm,gradient_energy_ratio,high_frequency_energy_ratio,row_profile_std_change,column_profile_std_change,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_clipping_ratio,added_one_clipping_ratio,source_zero_ratio,source_saturation_ratio,content_round_trip_max_error_dn,noisy_round_trip_max_error_dn,residual_reconstruction_max_error_dn,residual_reconstruction_std_relative_error,residual_reconstruction_mean_error_dn,round_trip_zero_ratio_change,round_trip_one_ratio_change,round_trip_dtype,round_trip_shape,tiff_compression,tiff_readable
content_077,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,20260717,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19466307759284973,0.057336680591106415,0.11060395836830139,0.18541237711906433,0.45163485407829285,0.34103089570999146,0.0006198931294881842,0.0002454120071535732,0.02457546442747116,0.020678449422121048,0.1479775347833185,79.50273485859344,0.0002956047512536917,-0.004126629792153835,-0.012988567352294922,-366.31261721486226,390.2347680553794,-185.1113095987821,0.294564088609377,184.7608271233156,-0.00010900395688852271,0.0005230390467302476,0.0009106831375443256,3.463783967404644,3.6288476242397385,0.5629187614789406,0.1946653425693512,0.05735102668404579,0.11040419340133667,0.18541522324085236,0.4517233073711395,0.14843523502349854,2.2649765014648438e-06,1.0023868773664668,1.0045881254909577,2.985820174217224e-06,-3.8743019104003906e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.376619853838342e-05,-0.0003043739125132561,0.0,0.0,uint16,512x512,NONE,True
content_077,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,20260718,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19466307759284973,0.057336680591106415,0.11060395836830139,0.18541237711906433,0.45163485407829285,0.34103089570999146,0.0006198931294881842,0.0002454120071535732,0.02457546442747116,0.020678449422121048,0.01219357228452914,79.53901071376524,0.0007520239996164028,-0.0019953155424445868,-0.014317750930786133,-364.7224620357156,353.8809831789695,-185.0690452290466,0.03452999354522035,184.53449573804411,-0.0025324134285985758,-0.0009454044265068321,-0.0013294941009970437,3.4739986842550885,3.584608054685397,0.5618556106295653,0.19466327130794525,0.057350318878889084,0.11055063456296921,0.1853589415550232,0.4517001807689667,0.01269511878490448,1.9371509552001953e-07,1.0026999265715248,1.0048775780961698,1.1473894119262695e-06,-2.8479844331741333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.956922937843355e-06,0.00019563641399145126,0.0,0.0,uint16,512x512,NONE,True
content_077,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,20260719,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19466307759284973,0.057336680591106415,0.11060395836830139,0.18541237711906433,0.45163485407829285,0.34103089570999146,0.0006198931294881842,0.0002454120071535732,0.02457546442747116,0.020678449422121048,-0.07915208159024034,79.5224288058453,0.0005433920621087156,0.0014695108402520418,0.0028057098388671875,-355.8745135506615,343.46714061917737,-184.71539217818062,-0.1665244471485039,185.11058420701886,-0.0021563599440995803,-0.000614840128532926,-0.0010753624996805231,3.377550947890112,3.347654903020394,0.5618594163629784,0.19466187059879303,0.05734533816576004,0.11048796772956848,0.18539363145828247,0.4514527916908264,-0.0791003555059433,-1.2069940567016602e-06,1.0023192962724063,1.0042861915480528,-2.115964889526367e-06,6.09084963798523e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5095192356231377e-06,0.00038403086364269257,0.0,0.0,uint16,512x512,NONE,True
content_014,6a2196272df68cbe2ccfab6c7278a58b96bada05d179aa4b02667f803dbc537c,20260717,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19546039402484894,0.059510987251996994,0.1092458963394165,0.18593117594718933,0.4670400321483612,0.3577941358089447,0.0006614228036121085,0.00026230401588217344,0.025157330557703972,0.021350743249058723,0.1479775347833185,79.50273485859344,0.0002956047512536917,-0.004126629792153835,-0.012988567352294922,-366.31261721486226,390.2347680553794,-185.1113095987821,0.294564088609377,184.7608271233156,-0.00010900395688852271,0.0005230390467302476,0.0009106831375443256,3.463783967404644,3.6288476242397385,0.5629187614789406,0.1954626739025116,0.059523649513721466,0.10926085710525513,0.18591812252998352,0.4670529365539551,0.14941178262233734,2.2798776626586914e-06,1.0021708130046847,1.0040953152850733,3.63960862159729e-06,-7.487833499908447e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.3745206467118572e-05,-0.00020213238894939423,0.0,0.0,uint16,512x512,NONE,True
content_014,6a2196272df68cbe2ccfab6c7278a58b96bada05d179aa4b02667f803dbc537c,20260718,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19546039402484894,0.059510987251996994,0.1092458963394165,0.18593117594718933,0.4670400321483612,0.3577941358089447,0.0006614228036121085,0.00026230401588217344,0.025157330557703972,0.021350743249058723,0.01219357228452914,79.53901071376524,0.0007520239996164028,-0.0019953155424445868,-0.014317750930786133,-364.7224620357156,353.8809831789695,-185.0690452290466,0.03452999354522035,184.53449573804411,-0.0025324134285985758,-0.0009454044265068321,-0.0013294941009970437,3.4739986842550885,3.584608054685397,0.5618556106295653,0.19546055793762207,0.05952369421720505,0.10922455042600632,0.1859438419342041,0.4673897624015808,0.010742023587226868,1.6391277313232422e-07,1.0023886274059441,1.0042351281702981,1.8067657947540283e-07,-2.6971101760864258e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.2813344642059794e-06,0.000230434350669384,0.0,0.0,uint16,512x512,NONE,True
content_014,6a2196272df68cbe2ccfab6c7278a58b96bada05d179aa4b02667f803dbc537c,20260719,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19546039402484894,0.059510987251996994,0.1092458963394165,0.18593117594718933,0.4670400321483612,0.3577941358089447,0.0006614228036121085,0.00026230401588217344,0.025157330557703972,0.021350743249058723,-0.07915208159024034,79.5224288058453,0.0005433920621087156,0.0014695108402520418,0.0028057098388671875,-355.8745135506615,343.46714061917737,-184.71539217818062,-0.1665244471485039,185.11058420701886,-0.0021563599440995803,-0.000614840128532926,-0.0010753624996805231,3.377550947890112,3.347654903020394,0.5618594163629784,0.19545915722846985,0.059519242495298386,0.10926130414009094,0.18591944873332977,0.46727481484413147,-0.08105345070362091,-1.2367963790893555e-06,1.002381422910557,1.0044170371846144,-2.421438694000244e-06,2.551823854446411e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.4594599240634305e-06,0.00030753668397665024,0.0,0.0,uint16,512x512,NONE,True
content_080,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,20260717,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19574084877967834,0.057374339550733566,0.1114671528339386,0.18657205998897552,0.45442894101142883,0.34296178817749023,0.0006184970285707238,0.00024639619653982436,0.024959193542599678,0.02035282552242279,0.1479775347833185,79.50273485859344,0.0002956047512536917,-0.004126629792153835,-0.012988567352294922,-366.31261721486226,390.2347680553794,-185.1113095987821,0.294564088609377,184.7608271233156,-0.00010900395688852271,0.0005230390467302476,0.0009106831375443256,3.463783967404644,3.6288476242397385,0.5629187614789406,0.195743128657341,0.05739017575979233,0.1112738624215126,0.18661202490329742,0.45457974076271057,0.14941178262233734,2.2798776626586914e-06,1.0025521624295155,1.0046407166030076,3.680586814880371e-06,-7.189810276031494e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.352879640146021e-05,-0.00027401186525821686,0.0,0.0,uint16,512x512,NONE,True
content_080,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,20260718,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19574084877967834,0.057374339550733566,0.1114671528339386,0.18657205998897552,0.45442894101142883,0.34296178817749023,0.0006184970285707238,0.00024639619653982436,0.024959193542599678,0.02035282552242279,0.01219357228452914,79.53901071376524,0.0007520239996164028,-0.0019953155424445868,-0.014317750930786133,-364.7224620357156,353.8809831789695,-185.0690452290466,0.03452999354522035,184.53449573804411,-0.0025324134285985758,-0.0009454044265068321,-0.0013294941009970437,3.4739986842550885,3.584608054685397,0.5618556106295653,0.19574102759361267,0.0573878139257431,0.1112954169511795,0.18658576905727386,0.45441892743110657,0.011718571186065674,1.7881393432617188e-07,1.0027012170002267,1.0048621403796114,7.711350917816162e-07,-2.635642886161804e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,4.928630418283257e-06,0.000173286534845829,0.0,0.0,uint16,512x512,NONE,True
content_080,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,20260719,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19574084877967834,0.057374339550733566,0.1114671528339386,0.18657205998897552,0.45442894101142883,0.34296178817749023,0.0006184970285707238,0.00024639619653982436,0.024959193542599678,0.02035282552242279,-0.07915208159024034,79.5224288058453,0.0005433920621087156,0.0014695108402520418,0.0028057098388671875,-355.8745135506615,343.46714061917737,-184.71539217818062,-0.1665244471485039,185.11058420701886,-0.0021563599440995803,-0.000614840128532926,-0.0010753624996805231,3.377550947890112,3.347654903020394,0.5618594163629784,0.19573965668678284,0.05738300830125809,0.11139125376939774,0.18657025694847107,0.45462748408317566,-0.07812380790710449,-1.1920928955078125e-06,1.002519397000705,1.0044052456634591,-2.4884939193725586e-06,9.499490261077881e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.6235121425795486e-06,0.0003075292333960533,0.0,0.0,uint16,512x512,NONE,True
content_043,0c91b77d0afb5918843b5b9b4429f5bc14a1ef568a1a61de477383e2797b6300,20260717,79.4792404175,0.0012127754698634317,debug_only,single_unknown_source_group,0.19601550698280334,0.05787534639239311,0.1112382709980011,0.18678568303585052,0.45704132318496704,0.34580305218696594,0.0006285825950345185,0.00025048963638537713,0.02506241202354431,0.020596645772457123,0.1479775347833185,79.50273485859344,0.0002956047512536917,-0.004126629792153835,-0.012988567352294922,-366.31261721486226,390.2347680553794,-185.1113095987821,0.294564088609377,184.7608271233156,-0.00010900395688852271,0.0005230390467302476,0.0009106831375443256,3.463783967404644,3.6288476242397385,0.5629187614789406,0.19601775705814362,0.05789031460881233,0.11123625189065933,0.18676698207855225,0.4570756256580353,0.14745868742465973,2.250075340270996e-06,1.002345864659154,1.004469160899198,3.432855010032654e-06,-9.182840585708618e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.3638057668486416e-05,-0.00034303218126296997,0.0,0.0,uint16,512x512,NONE,True
