epoch,train_l1,val_l1,val_psnr_mean,val_psnr_std,val_ssim_mean,val_ssim_std,val_residual_mean,val_residual_std,seconds_elapsed,is_best
1,0.0010531288518739695,0.0010505691388971172,54.196505539199556,0.9464582726599408,0.9985534745107889,0.0005508275286716066,-3.441673572979198e-05,0.001961414483957924,0.8306210041046143,True
2,0.0010487658992960032,0.0010138132201973349,54.30594679663692,0.9246707460036888,0.998678611192584,0.0005002205340847165,-1.2074768420688997e-05,0.0019366128981346264,1.3193080425262451,True
3,0.0009912217528008941,0.0009269918955396861,54.53901992858459,0.8703761236528017,0.9989443045164346,0.0003894328278952123,-2.507524249040216e-05,0.001884056066046469,1.7980029582977295,True
4,0.0008622712683228946,0.0007725562172709033,54.860219084217825,0.7685810273751904,0.999335197916627,0.00022358579156153075,-5.786043948319275e-05,0.001813006543670781,2.2732791900634766,True
5,0.0006717666758711196,0.000583174085477367,55.19046544597943,0.6603414841367785,0.9996781588563919,7.806676871275227e-05,-9.128422334470088e-06,0.0017445168195990846,2.7364799976348877,True
6,0.0004872624148530039,0.00043933807683060877,55.42856675373762,0.5816257503603531,0.9998441454851628,1.6097335188199342e-05,1.858321280678865e-05,0.001696242848993279,3.209808349609375,True
7,0.00040211581191132694,0.0003722983383340761,55.56704820653655,0.5254918043854369,0.9998962539186478,1.9846517497443656e-05,1.2078998423703524e-06,0.0016688568866811693,3.689754009246826,True
8,0.0003441526119290343,0.00034124394005630165,55.62595104299464,0.505275893725174,0.9999142887165546,2.5558637974586484e-05,6.510003373705331e-06,0.0016573421889916062,4.147315263748169,True
9,0.00031613281382967466,0.00037751424679299816,55.638656293332446,0.48398215273454886,0.9998944649056196,3.3614048720349404e-05,-0.0001571381690155249,0.0016471954149892554,4.602659702301025,True
10,0.0002829585533948954,0.00033765115585993044,55.68852475335504,0.47760693112316954,0.9999167428870201,3.0236735231490696e-05,7.44709036553104e-05,0.0016434646677225828,5.0428197383880615,True
11,0.00025037021392067385,0.00029811952481395565,55.73260459615895,0.4707071385104494,0.9999350091915131,3.251239731500836e-05,1.6163236750799115e-05,0.0016366864292649552,5.529352903366089,True
12,0.00023985558734487066,0.00027337718347553164,55.68130134380879,0.48417129824703165,0.9999428918485641,3.593060607832317e-05,-3.793174403199373e-05,0.0016461500199511647,6.0558319091796875,False
13,0.00019737078036996536,0.00033464237276348285,55.6484326777904,0.4822366292997932,0.9999220359265805,3.996013968867269e-05,-0.00014507716696243733,0.0016464080545119941,6.540032386779785,False
14,0.00025625835901750674,0.000323956261127023,55.65978050990036,0.48147208639453265,0.9999266228055954,3.8362626301118006e-05,-0.00013637090614793124,0.0016449847316835076,7.04388952255249,False
15,0.00020643809462357737,0.00033210338369826786,55.61512215429683,0.4944612904559829,0.9999237164206505,4.046020517849736e-05,-0.0001515213862148812,0.0016523340018466115,7.546495676040649,False
16,0.00022681098628461106,0.00026111427177966107,55.71628479937128,0.4716321112110709,0.9999457659091949,3.7003523095878805e-05,-5.569504878621956e-06,0.0016398302977904677,8.059749841690063,False
17,0.0002436855164970356,0.00035192254290450364,55.66071847811922,0.4736327333551237,0.9999152830491066,4.156579909167303e-05,-0.00016786564447102137,0.0016417914448538795,8.64798378944397,False
18,0.00022307076125633267,0.00027704830063157715,55.71397646868833,0.472338870836853,0.9999427505085469,3.701407756534541e-05,2.6837462542061985e-05,0.0016400596068706363,9.167457818984985,False
19,0.0002189252964771268,0.0002494045074854512,55.69596705668694,0.4786498617126697,0.9999482771708965,3.8454565648807045e-05,-3.62281723482738e-05,0.0016433378186775371,9.702034711837769,False
20,0.00019770323937832885,0.00031258148010238074,55.656899846154104,0.48252288275578137,0.9999326200881005,4.03370266532019e-05,-0.00013322942413651617,0.0016457937599625438,10.261359691619873,False
21,0.00019945063567402858,0.00028188810028950684,55.709401591410106,0.47101370869844206,0.9999421744297743,3.975951583249755e-05,-8.994643667392666e-05,0.0016386494389735162,10.828488826751709,False
22,0.0002292839757997585,0.0002739880292210728,55.67530102658191,0.483354718806014,0.9999439728928804,3.8788618359017035e-05,-8.442804573860485e-05,0.0016455359000246972,11.402276039123535,False
23,0.00022838994449226777,0.00040500004979548976,55.655018678427844,0.46897632195480915,0.9998838348859549,3.5715336825113996e-05,0.00016236401643254794,0.001643384268390946,11.974377632141113,False
24,0.0002487051778271879,0.00028492881392594427,55.74177420778589,0.4651897989683542,0.9999408148059845,3.707014630346536e-05,3.756574324143003e-05,0.001634535365155898,12.545469284057617,True
25,0.0002199960763391573,0.0002910545445047319,55.79054720847215,0.45751330001498386,0.9999398258236647,3.890224048274819e-05,-7.866225860198028e-05,0.001623822856345214,13.236347436904907,True
26,0.00020262596081010997,0.0002655071875778958,55.64382170656046,0.4955960551130082,0.9999456930823327,3.7583578779496954e-05,-1.0525802906613535e-05,0.0016537678748136386,13.941121816635132,False
27,0.00018246937543153763,0.0002553513077145908,55.645058563914205,0.4946554776163635,0.99994791827178,3.8681281980567623e-05,-5.4369718327507144e-05,0.0016526712133781984,14.53689169883728,False
28,0.00021257735186902045,0.00024774240227998234,55.7006700378314,0.4777580946991187,0.999949289953947,3.821354852644525e-05,-1.7273799123529443e-05,0.0016427492664661258,15.139318943023682,False
29,0.0002314990769346795,0.0002912340532930102,55.72013128935256,0.46937301533724785,0.999939593993187,3.729741858348225e-05,4.343865111877676e-05,0.0016385075286962092,15.742082595825195,False
30,0.00021194352567280558,0.0003163450674037449,55.686899981979174,0.4735813026181192,0.9999307162107229,3.953521016725891e-05,-0.00013315010619407985,0.0016399998858105391,16.345937252044678,False
31,0.00023879966862626713,0.0002530308884161059,55.713488617199445,0.4743071236548827,0.9999486143151521,3.8299842637677896e-05,-1.7803921608106066e-05,0.0016402889741584659,16.950257062911987,False
32,0.00020694474733318202,0.00024701037000340875,55.70839297812671,0.47696441410851326,0.9999495949479342,3.852881027236735e-05,-1.7431698026371123e-05,0.0016412820696132258,17.544098377227783,False
