folder,role,subset,frame_count,row_profile_energy_dn,column_profile_energy_dn,row_relative_difference_vs_all,column_relative_difference_vs_all
1,calibration,first50,50,15.22305896721799,7.266622144233259,0.25942995427510207,0.2338149497767379
1,calibration,middle50,50,7.673907536985589,3.5397778111181015,-0.3651243787973481,-0.39897373283521365
1,calibration,last50,50,14.333964590304781,7.205295858848093,0.18587364125855418,0.22340223170489754
1,calibration,first100,100,12.301855841148882,5.905685000879719,0.017753775563836977,0.0027385899706066216
1,calibration,last100,100,11.868787433132542,5.873382550921888,-0.018074721618006682,-0.0027461104694754598
2,evaluation,first50,50,6.838448581964594,2.179098448927901,0.00799798784800643,0.030182879918201837
2,evaluation,middle50,50,6.6740679214106455,2.050906997663653,-0.0162319779247134,-0.030420457443297143
2,evaluation,last50,50,6.852386010450422,2.1567626082243,0.010052386546936711,0.019623466821124667
2,evaluation,first100,100,6.7556238955366785,2.119379750611685,-0.004210500124494568,0.0019504791991644416
2,evaluation,last100,100,6.812633781482752,2.1111201698392454,0.004192845990097035,-0.001954291010394126
4,calibration,first50,50,10.598495536240588,15.541633875017332,0.07724913458734692,0.25886590396182096
4,calibration,middle50,50,8.75141551913112,6.489902716594019,-0.11049122376265993,-0.4743205691467046
4,calibration,last50,50,10.643223348789812,15.372061503731413,0.08179534562228859,0.24513061215257667
4,calibration,first100,100,9.81344599070692,12.398682394139216,-0.002544638089403246,0.0042881363408885705
4,calibration,last100,100,9.863453195079252,12.292573948160296,0.002538179320768067,-0.004306603815740465
5,evaluation,first50,50,30.834951660603597,62.84546398424521,0.2933601908174083,0.3193968112012074
5,evaluation,middle50,50,14.545965890891152,16.960088343603037,-0.3898750538888238,-0.6439347399225129
5,evaluation,last50,50,27.973733051576,61.246700006523696,0.17334747645112242,0.285831873330784
5,evaluation,first100,100,24.551517327617606,47.99531760962932,0.02980395381241943,0.007628315427968731
5,evaluation,last100,100,23.108569230406896,47.26582113820017,-0.03071994928591051,-0.007686955669837842
7,calibration,first50,50,13.9365552883132,31.312077894062448,0.0980464987687839,0.3438734509027945
7,calibration,middle50,50,10.478464822988876,9.436457594121793,-0.17441280335584267,-0.5949995757478923
7,calibration,last50,50,14.309126991676726,28.575775921166514,0.12740103049885226,0.22643494722159738
7,calibration,first100,100,12.708686209602964,24.146887359447966,0.0013039885191502485,0.03635283976014265
7,calibration,last100,100,12.6755638011149,22.420878607257393,-0.0013056911268386207,-0.03772519958117535
8,calibration,first50,50,12.468735597555098,19.475175115443058,0.1005680132755226,0.25878262950431963
8,calibration,middle50,50,9.782165872754563,8.253904627550867,-0.13656530961967614,-0.46650688842804877
8,calibration,last50,50,12.260755586685853,19.143664028173458,0.08221040631750288,0.23735533061383823
8,calibration,first100,100,11.363699380021831,15.735607080228352,0.0030306563388213166,0.01707474977156379
8,calibration,last100,100,11.294924186921444,15.20267557669392,-0.003039869180059361,-0.01737140618791759
9,evaluation,first50,50,8.282121695651874,7.672482766953243,0.022357770803098677,0.21412808551160847
9,evaluation,middle50,50,7.944255047971582,4.664087692115061,-0.019349005002005128,-0.2619338443252544
9,evaluation,last50,50,8.168731875145715,7.136753688132651,0.008360757913840998,0.1293519132375018
9,evaluation,first100,100,8.126805845563862,6.443531307535386,0.0031853446903874092,0.019653294504392255
9,evaluation,last100,100,8.075114422951819,6.192649493500209,-0.003195523586280641,-0.020047368998716113
10,calibration,first50,50,7.517815730095489,4.748932813390637,0.00785306889034485,0.10862288684860383
10,calibration,middle50,50,7.3235435032743945,3.6846222021831374,-0.018191445504704567,-0.1398369563762624
10,calibration,last50,50,7.574221493795363,4.6371336430456065,0.015414935806082657,0.08252373492425931
10,calibration,first100,100,7.447237842413168,4.29465522888164,-0.0016087406631491467,0.002573265394936836
10,calibration,last100,100,7.471218526939892,4.272580945146665,0.0016061567701034622,-0.0025799041951611616
11,evaluation,first50,50,6.924165397470125,2.9396905450849595,-0.018224681211089028,-0.1150611927819296
11,evaluation,middle50,50,7.173970545885138,3.994702805869081,0.01719511527584473,0.20253049836383277
11,evaluation,last50,50,7.045155339352586,3.1887308452275653,-0.001069553922346637,-0.04009227248999509
11,evaluation,first100,100,7.021350026580362,3.4389865525043612,-0.00444490202485724,0.03524252336711168
11,evaluation,last100,100,7.083908408992252,3.200561782110469,0.004425232108245945,-0.03653079041803561
13,calibration,first50,50,6.722108524385859,1.783913640213224,0.0077162209350988085,-0.0020414867652078336
13,calibration,middle50,50,6.663401743040029,1.7880200404655373,-0.0010845557299116121,0.0002557192195256387
13,calibration,last50,50,6.6272197790686755,1.7935552498966782,-0.006508620495743895,0.003352230872233425
13,calibration,first100,100,6.713332767564241,1.7844827795618599,0.006400640791153714,-0.0017230983379966955
13,calibration,last100,100,6.6276650222670375,1.790637774702421,-0.006441873761200313,0.0017201343729250649
