source,content_id,content_sha256,condition_id,seed,source_mean_DN,target_iccd_signal_DN,gain,scaled_mean_DN,relative_mean_error,source_zero_ratio,scaled_zero_ratio,added_zero_ratio,clipping_high_ratio,unique_values,scaled_std_DN,effective_dynamic_range_DN,round_trip_max_error_DN,scale_gate_pass,failure_reason
sCMOS,content_000,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,low,1309269417,13987.384021759033,935.1195068359376,0.06685449583576518,935.1192474365234,2.773970730798767e-07,0.0,0.0,0.0,0.0,2445,262.5700011173686,1624.0,0.5,True,
sCMOS,content_000,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,mid,3390805130,13987.384021759033,1491.98291015625,0.10666632930327027,1491.9867515563965,2.574694468907877e-06,0.0,0.0,0.0,0.0,3735,418.92946420247785,2591.140000000014,0.5,True,
sCMOS,content_000,5e1a0e1240676155d19f3f09fd959b80db2ac559056423b3ae5fef6e9ad48643,high,3860690924,13987.384021759033,2510.12255859375,0.17945618385031517,2510.1218910217285,2.659519628628691e-07,0.0,0.0,0.0,0.0,5818,704.810270073267,4359.710000000021,0.5,True,
sCMOS,content_001,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,low,816917275,14075.20463180542,935.1195068359376,0.06643736494763773,935.1197052001953,2.1212717331712688e-07,0.0,0.0,0.0,0.0,2418,259.69534009830244,1596.0,0.5,True,
sCMOS,content_001,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,mid,1874375024,14075.20463180542,1491.98291015625,0.10600079708858016,1491.9833984375,3.2727000200616513e-07,0.0,0.0,0.0,0.0,3704,414.34349472736585,2546.570000000007,0.5,True,
sCMOS,content_001,d2917e2e359321ecdd23dc24b97447234553e718de97299c92e13c0cb7c7097a,high,133002033,14075.20463180542,2510.12255859375,0.17833648776385697,2510.1224975585938,2.4315608033176605e-08,0.0,0.0,0.0,0.0,5789,697.0948222401269,4284.140000000014,0.5,True,
sCMOS,content_002,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,low,1537253669,14039.882427215576,935.1195068359376,0.06660451123317511,935.1208267211914,1.4114615769897856e-06,0.0,0.0,0.0,0.0,2409,260.604025580393,1597.0,0.5,True,
sCMOS,content_002,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,mid,694588470,14039.882427215576,1491.98291015625,0.10626747894014549,1491.9835395812988,4.218714869610722e-07,0.0,0.0,0.0,0.0,3674,415.7920654173449,2547.0,0.5,True,
sCMOS,content_002,91477b3470d1922272b276e55d54337dc538324b6b1d7679a753f9cf13d2cef5,high,2037586311,14039.882427215576,2510.12255859375,0.1787851551896196,2510.1192474365234,1.3191217357998307e-06,0.0,0.0,0.0,0.0,5712,699.5341562007874,4286.0,0.5,True,
sCMOS,content_003,607b985f06645c486b84312597b830fe8aa88cb770cdb73173dce78eb0718eda,low,247086416,14008.418361663818,935.1195068359376,0.0667541104708177,935.1201972961426,7.383657381939058e-07,0.0,0.0,0.0,0.0,2461,262.19951590794795,1614.0,0.5,True,
