heldout_folder,strategy,selected_candidate,pair_key,folder,condition_score,alpha_physical,threshold,low,high,psnr,ssim,residual_mean,residual_std,noisy_psnr,noisy_ssim,psnr_gain,ssim_gain,gradient_ratio_to_noisy
1,always_noisy,always_noisy,folder_1_frame_101,1,-0.5895646452563452,0.0,,,,58.60244986722036,0.9984452185573865,-4.576368155539967e-05,0.0011736743617802858,58.60244986722036,0.9984452185573865,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_111,1,-0.5895646452563452,0.0,,,,58.4562328354691,0.9983971296670532,-1.143273948400747e-05,0.0011944512370973825,58.4562328354691,0.9983971296670532,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_121,1,-0.5895646452563452,0.0,,,,58.16996656499939,0.9982932463543687,6.424706953112036e-06,0.0012345133582130075,58.16996656499939,0.9982932463543687,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_131,1,-0.5895646452563452,0.0,,,,57.89620489242487,0.9981826033123872,-5.103597868583165e-05,0.0012730369344353676,57.89620489242487,0.9981826033123872,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_141,1,-0.5895646452563452,0.0,,,,57.69383041706799,0.9981035264173266,5.535341551876627e-05,0.0013029173715040088,57.69383041706799,0.9981035264173266,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_151,1,-0.5895646452563452,0.0,,,,57.432113706873835,0.9979905160073405,5.698264885722892e-06,0.0013439726317301393,57.432113706873835,0.9979905160073405,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_161,1,-0.5895646452563452,0.0,,,,57.16817762529399,0.9978687625144002,2.527123797335662e-05,0.0013852204428985715,57.16817762529399,0.9978687625144002,0.0,0.0,1.0
1,always_noisy,always_noisy,folder_1_frame_171,1,-0.5895646452563452,0.0,,,,56.85351836939044,0.997713202356251,0.00011814320168923587,0.001431694719940424,56.85351836939044,0.997713202356251,0.0,0.0,1.0
1,always_p99,always_p99,folder_1_frame_101,1,-0.5895646452563452,0.0,,,,58.64627237942233,0.9984627958620458,3.878887127939379e-06,0.0011686488287523389,58.60244986722036,0.9984452185573865,0.0438225122019702,1.757730465923313e-05,0.9952139261534843
1,always_p99,always_p99,folder_1_frame_111,1,-0.5895646452563452,0.0,,,,58.48703356065901,0.9984094873863394,3.8371126720448956e-05,0.001189658883959055,58.4562328354691,0.9983971296670532,0.03080072518990562,1.235771928620455e-05,0.9952388147438304
1,always_p99,always_p99,folder_1_frame_121,1,-0.5895646452563452,0.0,,,,58.19390534388954,0.998302950903618,5.632545435219072e-05,0.0012298431247472763,58.16996656499939,0.9982932463543687,0.02393877889014817,9.704549249311967e-06,0.9951994802007058
1,always_p99,always_p99,folder_1_frame_131,1,-0.5895646452563452,0.0,,,,57.93218647276851,0.9981999745299063,-1.426848257324309e-06,0.0012687919661402702,57.89620489242487,0.9981826033123872,0.03598158034363763,1.737121751910209e-05,0.9952219976906717
1,always_p99,always_p99,folder_1_frame_141,1,-0.5895646452563452,0.0,,,,57.6979046516642,0.9981059043420178,0.00010546017438173294,0.0012992080301046371,57.69383041706799,0.9981035264173266,0.004074234596210147,2.3779246912658536e-06,0.9952124192108444
1,always_p99,always_p99,folder_1_frame_151,1,-0.5895646452563452,0.0,,,,57.44744815488432,0.9979997269058356,5.557000986300409e-05,0.0013404627097770572,57.432113706873835,0.9979905160073405,0.015334448010484891,9.21089849514889e-06,0.9952383463937753
1,always_p99,always_p99,folder_1_frame_161,1,-0.5895646452563452,0.0,,,,57.17766618998253,0.9978749195825296,7.525127875851467e-05,0.0013818909646943212,57.16817762529399,0.9978687625144002,0.009488564688538759,6.157068129453158e-06,0.9952328799482839
