strategy,pair_count,folder_count,mean_pair_psnr_gain,std_pair_psnr_gain,positive_pair_fraction,mean_folder_psnr_gain,positive_folder_count,negative_folder_count,mean_ssim_gain,mean_gradient_ratio_to_noisy,min_gradient_ratio_to_noisy,warning_count_grad_lt_0p95
lofo_best_linear,80,10,0.38035502610838046,0.49458259353557804,0.9375,0.38035502610838046,10,0,0.0008978199368495726,0.9649764223188081,0.8607279975892254,24
lofo_best_hard,80,10,0.3755546868258131,0.4979608819281095,0.9,0.3755546868258131,10,0,0.000895557436581608,0.9654176933429147,0.8607279975892254,24
always_physical,80,10,0.3430686721466668,0.5249270732940624,0.65,0.3430686721466668,6,4,0.0008878252194199895,0.967432010052986,0.8607279975892254,24
always_p99,80,10,0.03923660486056128,0.028880133740789963,0.9375,0.03923660486056128,10,0,4.805284442934293e-05,0.9948678439152225,0.994367453701283,0
always_noisy,80,10,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0
