folder,mean_signal,frame_mean_std,temporal_std_mean,temporal_var_mean,temporal_fano_approx,observed_stable_component_std,stable_to_temporal_std_ratio,fano_like_dn,row_pattern_energy_dn,column_pattern_energy_dn,row_adjacent_frame_profile_correlation,column_adjacent_frame_profile_correlation,variance_fraction_removed,row_energy_block_cv,column_energy_block_cv,lag1_row_corr,lag1_col_corr,lag1_diag_corr,radial_autocorr_r1,radial_autocorr_r2,corr_length_1e_px,psd_low_fraction,psd_mid_fraction,psd_high_fraction,minimum_split_map_correlation,median_split_map_correlation,observed_stable_component_std_dn,split_difference_component_std_dn,stable_to_temporal_ratio,frame_mean_slope_dn_per_frame,frame_mean_relative_change_half,frame_std_delta_half_dn,max_local_brightness_relative_change_half,lag1_residual_correlation,lag10_residual_correlation,lag50_residual_correlation,metric_scope,physical_attribution
1,1156.615478515625,2.4523609098060315,68.3813705444336,5518.2138671875,4.771001227019247,238.69963577059545,3.4907114886720585,4.771004584126216,9.859301664748044,4.563392228680359,0.3621896730328873,0.3791092778883322,0.0215811156464021,0.2156913788126112,0.2173870148060592,0.1079629898161482,0.1023830187558085,0.0898128035463597,0.0970547677968631,0.0743169083130087,1.0,0.2620739339580336,0.477265436460365,0.2583301991045943,0.9202586615100028,0.98905027869897,88.17822957742018,9.303383977905542,9.478081285995854,0.0139700453113132,0.0008692862422701,-0.185605662336286,0.0064628552355119,0.1267750661978293,0.1169554498650216,0.045591333821946,folder-level operational statistics at frozen 512x512 center ROI,not established
2,965.9849853515624,2.6181508754789657,43.59041976928711,2016.9443359375,2.087966548676168,34.88921452086708,0.8003872113534746,2.087966693210746,6.708878268389769,2.072236343746737,0.0020042518125083,0.0229902194465492,0.0247217606380918,0.0099782553352485,0.0179764009159415,0.058570450715152,0.0449415525223342,0.0236637073784297,0.0382115670090966,0.0105547257198185,1.0,0.2930012227888123,0.1970272065619205,0.5052023978342768,0.9197757034728858,0.9394063286374305,17.867927506178575,4.510708425285104,3.961224229440016,-0.0207890385858265,-0.0024099353202485,0.1805287951738563,0.0033152505913762,0.000828057995136,5.589330101928244e-05,-0.0028739888030848,folder-level operational statistics at frozen 512x512 center ROI,not established
4,1782.9835205078125,4.696969169245409,111.48194122314452,16602.55078125,9.31166810589557,919.6898378229362,8.249675487638543,9.311669296342693,9.15996356437144,9.173921791009482,0.085449874438184,0.4668417752312414,0.0102159822348776,0.0444495652587747,0.271626092323874,0.0335675348610688,0.0316305260166762,0.0272246504649091,0.0297896372800519,0.0215322565838449,1.0,0.4203656210055995,0.210689162326463,0.3653863395734131,0.9760938040569822,0.989394650259904,128.57760271404013,13.25084931882822,9.703348036064629,-0.044710260304111,-0.0021292670884826,-5.24638604648419,0.0108791498985888,0.0308398239906788,0.0290587690120782,0.0095505504365163,folder-level operational statistics at frozen 512x512 center ROI,not established
5,4699.216796875,13.884516573258995,228.86013793945312,72326.2421875,15.391126928980436,4011.751709435636,17.529272443665914,15.391127799763508,19.58295917566259,32.56209547919251,0.3892847225320539,0.6860273770898256,0.020173794725142,0.2474498072996969,0.4461714742355278,0.0779597418819081,0.0780934007247858,0.0759311494783159,0.0766854506933935,0.0702461825305308,1.0,0.6603428840514621,0.1986559808756202,0.1396466430497606,0.9847389995158388,0.9968956263459772,544.527852969119,30.48014592094665,17.86500151217803,-0.2606018205569843,-0.0053742392787815,-21.87892528125485,0.0209045133305656,0.1215152859229478,0.110255223849041,0.0437794310789389,folder-level operational statistics at frozen 512x512 center ROI,not established
7,2510.12255859375,3.088205881812501,148.05999755859375,29690.529296875,11.828318579595004,1704.902439746204,11.51494304916154,11.828320411929443,11.329387867393583,17.78764241418253,0.1431467529275983,0.61066428229795,0.0151035930009408,0.0718265202786583,0.3409962510308535,0.0450602200039498,0.044704004097765,0.0405073816008189,0.0426113367015261,0.0355841284329964,1.0,0.5798607052260802,0.1764646427792875,0.2412994182467228,0.987059922057298,0.9925773395951276,200.40101761130427,17.30339996757757,11.581597719916768,-0.0135435874605303,-0.0005938574163072,-2.4160182872535643,0.0144645715374145,0.0450200786205884,0.039071771491588,0.0134758341922652,folder-level operational statistics at frozen 512x512 center ROI,not established
8,2240.94677734375,3.5856373949055347,134.9202117919922,24480.060546875,10.923981236132624,1418.377523647052,10.5127134386194,10.923986162719412,10.409114120529155,11.83050532572694,0.1050059984601592,0.452488876431141,0.0102292907136275,0.0621080827046095,0.1840874291679611,0.030626134622706,0.0291111432782894,0.025635149847147,0.0275085250261674,0.02007879055677,1.0,0.4476042213771989,0.18304239215467,0.3657706544231718,0.9877083342671876,0.9911897717939188,167.0142256446534,15.635185432655756,10.681947224995897,-0.0148800929038117,-0.0004273205177275,-3.1190971727196484,0.0118018804534404,0.0230292056193042,0.0195204352288398,0.0049944575187045,folder-level operational statistics at frozen 512x512 center ROI,not established
9,1398.9263916015625,3.17438669026421,87.5539321899414,9746.142578125,6.9668730511025085,508.6190228755685,5.809208223477151,6.966877173098114,8.012518792931711,5.495312422035575,0.0118690377182476,0.2177420532162243,0.0097725747783499,0.0155490072212167,0.204281323332732,0.0255278535921464,0.0226672074948677,0.0169489414896087,0.0203835697227431,0.0104967784441737,1.0,0.2627359611595571,0.2003259889477344,0.531782739657747,0.9731418931490436,0.9755425069220474,62.580980043341306,9.871783789991689,6.339379120801631,0.0122842195047797,0.0007393979544963,1.1973019476409943,0.0048377007964157,0.0019813546531027,0.0014456659372938,-0.0025034444815355,folder-level operational statistics at frozen 512x512 center ROI,not established
10,1200.9822998046875,2.9745422224272247,71.40454864501953,6189.91064453125,5.154039860152725,296.1350246982144,4.14728515644598,5.154043077834308,7.38785781518782,3.960329216966148,0.0005274005623142,0.1369135729560247,0.0114566179669602,0.0130955949003387,0.0648418431395751,0.0315277322168048,0.0270656259116608,0.0172822534223151,0.0232697014302938,0.0089761014609583,1.0,0.226271912925417,0.2006330050662318,0.5676396174994229,0.9575929397339216,0.9589201867014148,38.37330903946914,7.857016938140874,4.883953966446333,0.0017708479668804,0.0007206692097168,-0.2726082959576956,0.0033112200879851,-0.0013839494967966,-0.0033872422450524,-0.0038651993612162,folder-level operational statistics at frozen 512x512 center ROI,not established
11,1081.969970703125,2.8911857824299765,58.20510482788086,3823.008056640625,3.5333772287194063,163.220401080637,2.8042282814075907,3.5333795432594206,7.0233601161405685,3.3939981031743094,-0.0143309777803382,0.0199327983502931,0.0160765675696628,0.0201779813077843,0.1797842290637242,0.0555942551000952,0.0482036642090587,0.0290404070619357,0.0405947812520164,0.0128439286221522,1.0,0.2746315979279973,0.2168193352910228,0.5038139299021487,0.9356597221151948,0.9369649675132462,23.827261739427964,6.126392711836843,3.88928083134324,-0.0381250525983584,-0.0027460297276042,0.4433658885584464,0.0039130682489069,-0.0038719413382006,-0.0038290555669867,-0.0063165182910989,folder-level operational statistics at frozen 512x512 center ROI,not established
13,935.1195068359376,2.762870247134584,38.584720611572266,1588.80126953125,1.6990355328027589,13.110510869769982,0.3397850408650594,1.69903594480548,6.68051400876739,1.7823555598275769,-0.0028991789942528,-0.0054836788531415,0.0304723474550739,0.0127884607540681,0.0074160395644221,0.057168140366392,0.0390361026287365,0.0182834442141656,0.0339823002199582,0.0092011652041818,1.0,0.3515043991390672,0.1698887247324975,0.4740475694520678,0.9097548828151988,0.9103910517406636,12.896051352755336,3.9594454490729705,3.25703473343084,0.0160602274486826,0.00208132402257,-0.0205392432216058,0.0026601921692898,-0.005337658188518,-0.0055800802599859,-0.004975921806055,folder-level operational statistics at frozen 512x512 center ROI,not established
