folder,temporal_std_frame_count_min_dn,temporal_std_frame_count_max_dn,temporal_std_frame_count_cv,temporal_std_frame_count_range_relative,temporal_std_cross_frame_count_rank_rho_min,row_energy_block_cv,column_energy_block_cv,minimum_split_map_correlation,median_split_map_correlation,spatial_acf_psd_subset_repeatability,repeatability_interpretation
1,65.1077651977539,68.3813705444336,0.021120043605676306,0.04921530341783741,0.9999999999999999,0.2156913788126112,0.2173870148060592,0.9202586615100028,0.98905027869897,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
2,42.85263442993164,43.59041976928711,0.007417935954135327,0.0170443453183868,0.9999999999999999,0.0099782553352485,0.0179764009159415,0.9197757034728858,0.9394063286374305,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
4,109.13961791992188,111.48194122314452,0.008925186426005484,0.021227527279458442,0.9999999999999999,0.0444495652587747,0.271626092323874,0.9760938040569822,0.989394650259904,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
5,218.7937774658203,228.86013793945312,0.0192137062124671,0.04510390601368492,0.9999999999999999,0.2474498072996969,0.4461714742355278,0.9847389995158388,0.9968956263459772,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
7,144.1136474609375,148.05999755859375,0.011269321302766196,0.02702418036572526,0.9999999999999999,0.0718265202786583,0.3409962510308535,0.987059922057298,0.9925773395951276,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
8,132.41188049316406,134.9202117919922,0.007933017769899603,0.01875839596007419,0.9999999999999999,0.0621080827046095,0.1840874291679611,0.9877083342671876,0.9911897717939188,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
9,86.20829772949219,87.5539321899414,0.006728822605702266,0.015470353682107542,0.9999999999999999,0.0155490072212167,0.204281323332732,0.9731418931490436,0.9755425069220474,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
10,70.26866149902344,71.40454864501953,0.007041441968640753,0.016009017686769364,0.9999999999999999,0.0130955949003387,0.0648418431395751,0.9575929397339216,0.9589201867014148,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
11,57.22465896606445,58.20510482788086,0.007171417766896608,0.016974324285523867,0.9999999999999999,0.0201779813077843,0.1797842290637242,0.9356597221151948,0.9369649675132462,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
13,37.98712539672852,38.584720611572266,0.006937855172190348,0.015583110802964322,0.9999999999999999,0.0127884607540681,0.0074160395644221,0.9097548828151988,0.9103910517406636,NOT-CALCULATED,temporal strength repeatable; row/column block variability and stable split correlation reported; spatial subset repeatability missing
