component,eigenvalue,explained_fraction
1,4.8453700879125225,0.9690740175825043
2,0.1535395905498683,0.030707918109973652
3,0.0010246349950156176,0.0002049269990031235
4,5.6129056598161105e-05,1.122581131963222e-05
5,9.557485996753971e-06,1.911497199350794e-06
