feature,r2_from_other_features,vif
mean_signal,0.9999815377883644,54164.69162730311
temporal_std_mean,0.9999247685350039,13292.310605034194
fano_temporal,0.998909133184984,916.7021915368393
fixed_map_std,0.9999802328034944,50588.86320648585
fixed_to_temporal_std_ratio,0.9997760969317668,4466.218385889321
