frame_count,mean_signal_DN,median_signal_DN,temporal_std_DN,temporal_variance_DN2,row_energy_DN,column_energy_DN,radial_acf_lag1,observed_stable_strength_DN,drift_percent,folder,subset,roi_top,roi_left,roi_height,roi_width,psd_low_fraction,psd_mid_fraction,psd_high_fraction,adjustment_model,predicted_temporal_std_DN,brightness_adjusted_temporal_residual_DN,standardized_adjusted_residual,residual_rank,residual_sign,row_energy_brightness_adjusted_DN,column_energy_brightness_adjusted_DN,observed_stable_strength_brightness_adjusted_DN
200,1157.3995986938476,1048.48,70.77975260023057,5984.686191136344,12.087261320271079,5.889555922120041,0.16458129188548226,88.17822957742018,0.0869286242270105,1,full_200,2304,2304,512,512,0.2620739339580336,0.477265436460365,0.2583301991045943,S1,67.63704107803152,3.1427115221990505,0.26503368727503623,6.0,1,4.236932691893636,1.4868584269952043,47.68435644027299
200,964.9581463623047,952.24,43.753510974364936,2028.6426129181064,6.7841887282592035,2.1152539914220343,0.040867017867304734,17.867927506178575,-0.24099353202485052,2,full_200,2304,2304,512,512,0.2930012227888123,0.1970272065619205,0.5052023978342768,S1,57.70606597878219,-13.952555004417256,-1.1766581417377227,2.0,-1,-0.24220282158430173,0.075361162606991,3.8611317808721566
200,1782.1325646972657,1151.44,112.62205013840575,16937.465805050644,9.83848136130345,12.34574216962343,0.050799211711803176,128.57760271404013,-0.2129267088482665,4,full_200,2304,2304,512,512,0.4203656210055995,0.210689162326463,0.3653863395734131,S1,99.87649600779038,12.745554130615375,1.0748683688399348,10.0,1,-0.6866382158862603,0.2725456765626664,2.0973153621776106
200,4690.909596557617,1950.32,236.51817661506308,78390.62112525519,23.840962389450233,47.63196594214744,0.1486150986772766,544.5278529691191,-0.5374239278781557,5,full_200,2304,2304,512,512,0.6603428840514621,0.1986559808756202,0.1396466430497606,S1,249.98444792090663,-13.466271305843549,-1.1356484719718674,3.0,-1,0.8619290597877445,-0.15532364710153246,17.692021199858573
200,2509.4481433105475,1386.72,150.1137543492857,30508.240042792087,12.692135805677689,23.29987087403626,0.0684297801919173,200.40101761130427,-0.05938574163072504,7,full_200,2304,2304,512,512,0.5798607052260802,0.1764646427792875,0.2412994182467228,S1,137.40974475952362,12.70400958976208,1.0713648010543708,9.0,1,-0.9469816433552669,2.2966615266420796,-26.18485406330842
200,2240.6550509643557,1306.68,136.0263428827664,24850.510805565922,11.329363965518077,15.471436173527527,0.04273479882284653,167.0142256446534,-0.042732051772758906,8,full_200,2304,2304,512,512,0.4476042213771989,0.18304239215467,0.3657706544231718,S1,123.53862980690215,12.487713075864235,1.0531239086854238,8.0,1,-1.1589172548614357,-2.2315196932743024,-22.575752689495772
200,1399.1596292114257,1065.92,87.79751595856969,9785.796742967772,8.101001361856188,6.3193355462764105,0.024226643695008498,62.580980043341306,0.07393979544963483,9,full_200,2304,2304,512,512,0.2627359611595571,0.2003259889477344,0.531782739657747,S1,80.11311010565177,7.684405852917919,0.648047523080202,7.0,1,-0.784421581376824,-1.0517023002296844,-11.188035043867394
200,1201.2420809936527,1009.56,71.5212428906046,6199.766211256478,7.459237826095117,4.283632312123042,0.025299395584571945,38.37330903946914,0.07206692097168789,10,full_200,2304,2304,512,512,0.226271912925417,0.2006330050662318,0.5676396174994229,S1,69.89954011206774,1.6217027785368572,0.1367627489904153,5.0,1,-0.5788021625122566,-0.6573651204919502,-8.154914849726815
200,1080.4407278442384,977.44,58.279476802133914,3825.0834238330326,7.052698586770966,3.321913930665522,0.039982668815249214,23.827261739427964,-0.2746029727604257,11,full_200,2304,2304,512,512,0.2746315979279973,0.2168193352910228,0.5038139299021487,S1,63.665564970289935,-5.3860881681560215,-0.45422393914029197,4.0,-1,-0.46813103582130644,-0.13587914311815297,-6.074217996896085
200,936.2326419067382,935.12,38.642498781947545,1590.9737883018608,6.670636415445865,1.7875629255566599,0.03406714737215077,12.896051352755336,0.2081324022570003,13,full_200,2304,2304,512,512,0.3515043991390672,0.1698887247324975,0.4740475694520678,S1,56.22368125342618,-17.581182471478634,-1.4826704850754961,1.0,-1,-0.2327670362837404,0.10036311140865606,2.842949860113251
