split,role,folders,folder_count,signal_min_DN,signal_max_DN,temporal_std_min_DN,temporal_std_max_DN,row_min_DN,row_max_DN,column_min_DN,column_max_DN,acf_min,acf_max,stable_min_DN,stable_max_DN,acquisition_order_min,acquisition_order_max,selection_basis
A,calibration,5;8;9;10;11;13,6,936.2326419067382,4690.909596557617,38.642498781947545,236.51817661506308,6.670636415445865,23.840962389450233,1.7875629255566599,47.63196594214744,0.024226643695008498,0.1486150986772766,12.896051352755336,544.5278529691191,4,10,signal/noise stratification only
A,evaluation,1;2;4;7,4,964.9581463623047,2509.4481433105475,43.753510974364936,150.1137543492857,6.7841887282592035,12.692135805677689,2.1152539914220343,23.29987087403626,0.040867017867304734,0.16458129188548226,17.867927506178575,200.40101761130427,1,5,signal/noise stratification only
B,calibration,1;4;7;8;10;13,6,936.2326419067382,2509.4481433105475,38.642498781947545,150.1137543492857,6.670636415445865,12.692135805677689,1.7875629255566599,23.29987087403626,0.025299395584571945,0.16458129188548226,12.896051352755336,200.40101761130427,1,10,acquisition-order interleaving with state coverage
B,evaluation,2;5;9;11,4,964.9581463623047,4690.909596557617,43.753510974364936,236.51817661506308,6.7841887282592035,23.840962389450233,2.1152539914220343,47.63196594214744,0.024226643695008498,0.1486150986772766,17.867927506178575,544.5278529691191,2,9,acquisition-order interleaving with state coverage
