model,equation,a,b,pearson_r_signal_vs_native_target,r_squared_native,full_rmse_std_DN,loocv_rmse_std_DN,loocv_mae_std_DN,loo_slope_sign_consistency,maximum_slope_relative_change,nonphysical_warning,loocv_rank
S1,temporal_std = nonnegative read_term + k*mean_signal,7.909230592027573,0.051605176426022754,0.9806890815004251,0.9617510745741474,11.249279147700141,17.755047884992575,14.217078515520797,1.0,0.14670372042589666,False,1
L2,temporal_variance = a + b*mean_signal,-18413.92614063766,20.277771069078444,0.9984874469392484,0.9969771816952584,20.626979788577078,19.305761662005835,15.90734154350811,1.0,0.10120135316057649,True,2
L1,temporal_std = a + b*mean_signal,7.909230592027582,0.05160517642602276,0.9806890815004251,0.9617510745741474,11.249279147700141,24.61171189367822,16.88626565292405,1.0,0.31811530453743064,False,3
P1,log(temporal_std) = a + b*log(mean_signal),-3.444830203907241,1.074710100988776,0.9806890815004251,0.9369731647456225,16.52062817021912,42.555715926622916,21.744221298438156,1.0,0.18858445405540186,False,4
