folder,mean_signal_DN,temporal_std_DN,predicted_temporal_std_DN,brightness_adjusted_temporal_residual_DN,standardized_adjusted_residual,residual_rank,residual_sign
1,1157.3995986938476,70.77975260023057,67.63704107803152,3.1427115221990505,0.26503368727503623,6.0,1
2,964.9581463623047,43.753510974364936,57.70606597878219,-13.952555004417256,-1.1766581417377227,2.0,-1
4,1782.1325646972657,112.62205013840575,99.87649600779038,12.745554130615375,1.0748683688399348,10.0,1
5,4690.909596557617,236.51817661506308,249.98444792090663,-13.466271305843549,-1.1356484719718674,3.0,-1
7,2509.4481433105475,150.1137543492857,137.40974475952362,12.70400958976208,1.0713648010543708,9.0,1
8,2240.6550509643557,136.0263428827664,123.53862980690215,12.487713075864235,1.0531239086854238,8.0,1
9,1399.1596292114257,87.79751595856969,80.11311010565177,7.684405852917919,0.648047523080202,7.0,1
10,1201.2420809936527,71.5212428906046,69.89954011206774,1.6217027785368572,0.1367627489904153,5.0,1
11,1080.4407278442384,58.279476802133914,63.665564970289935,-5.3860881681560215,-0.45422393914029197,4.0,-1
13,936.2326419067382,38.642498781947545,56.22368125342618,-17.581182471478634,-1.4826704850754961,1.0,-1
