frame_count,mean_signal_DN,median_signal_DN,temporal_std_DN,temporal_variance_DN2,row_energy_DN,column_energy_DN,radial_acf_lag1,observed_stable_strength_DN,drift_percent,folder,roi_name,roi_top,roi_left,roi_height,roi_width,adjustment_model,predicted_temporal_std_DN,brightness_adjusted_temporal_residual_DN,standardized_adjusted_residual,adjusted_residual_rank_within_roi
200,1157.3995986938476,1048.48,70.77975260023057,5984.686191136344,12.087261320271079,5.889555922120041,0.16458129188548226,88.17822957742018,0.0869286242270105,1,center,2304,2304,512,512,S1,67.63704107803152,3.1427115221990505,0.26503368727503623,6.0
200,964.9581463623047,952.24,43.753510974364936,2028.6426129181064,6.7841887282592035,2.1152539914220343,0.040867017867304734,17.867927506178575,-0.24099353202485052,2,center,2304,2304,512,512,S1,57.70606597878219,-13.952555004417256,-1.1766581417377227,2.0
200,1782.1325646972657,1151.44,112.62205013840575,16937.465805050644,9.83848136130345,12.34574216962343,0.050799211711803176,128.57760271404013,-0.2129267088482665,4,center,2304,2304,512,512,S1,99.87649600779038,12.745554130615375,1.0748683688399348,10.0
200,4690.909596557617,1950.32,236.51817661506308,78390.62112525519,23.840962389450233,47.63196594214744,0.1486150986772766,544.5278529691191,-0.5374239278781557,5,center,2304,2304,512,512,S1,249.98444792090663,-13.466271305843549,-1.1356484719718674,3.0
200,2509.4481433105475,1386.72,150.1137543492857,30508.240042792087,12.692135805677689,23.29987087403626,0.0684297801919173,200.40101761130427,-0.05938574163072504,7,center,2304,2304,512,512,S1,137.40974475952362,12.70400958976208,1.0713648010543708,9.0
200,2240.6550509643557,1306.68,136.0263428827664,24850.510805565922,11.329363965518077,15.471436173527527,0.04273479882284653,167.0142256446534,-0.042732051772758906,8,center,2304,2304,512,512,S1,123.53862980690215,12.487713075864235,1.0531239086854238,8.0
200,1399.1596292114257,1065.92,87.79751595856969,9785.796742967772,8.101001361856188,6.3193355462764105,0.024226643695008498,62.580980043341306,0.07393979544963483,9,center,2304,2304,512,512,S1,80.11311010565177,7.684405852917919,0.648047523080202,7.0
200,1201.2420809936527,1009.56,71.5212428906046,6199.766211256478,7.459237826095117,4.283632312123042,0.025299395584571945,38.37330903946914,0.07206692097168789,10,center,2304,2304,512,512,S1,69.89954011206774,1.6217027785368572,0.1367627489904153,5.0
200,1080.4407278442384,977.44,58.279476802133914,3825.0834238330326,7.052698586770966,3.321913930665522,0.039982668815249214,23.827261739427964,-0.2746029727604257,11,center,2304,2304,512,512,S1,63.665564970289935,-5.3860881681560215,-0.45422393914029197,4.0
200,936.2326419067382,935.12,38.642498781947545,1590.9737883018608,6.670636415445865,1.7875629255566599,0.03406714737215077,12.896051352755336,0.2081324022570003,13,center,2304,2304,512,512,S1,56.22368125342618,-17.581182471478634,-1.4826704850754961,1.0
200,982.0407662963867,955.52,44.81823243874276,2363.664980984022,8.101301004816234,2.7404927981496776,0.05366900461183442,23.066127411421757,-0.2929651692900408,1,top_left,0,0,512,512,S1,59.511943313639165,-14.693710874896404,-0.8827455776833671,4.0
