model,excluded_folder,train_a,train_b,predicted_std_DN,observed_std_DN,prediction_error_DN,residual_sign,slope_relative_change,high_influence
L1,1,7.197659699667857,0.05179924913362023,67.15008985956254,70.77975260023057,3.6296627406680244,1,0.0037607217151108476,False
L1,2,11.636495913608409,0.05045249547125307,60.32104242290134,43.753510974364936,-16.567531448536407,-1,0.022336537428993882,False
L1,4,6.462958209239598,0.05162191869140335,98.46006056134397,112.62205013840575,14.161989577061789,1,0.0003244299611025677,False
L1,5,-14.80262510245454,0.06802157284049483,304.2804237079656,236.51817661506308,-67.76224709290253,-1,0.31811530453743064,True
L1,7,8.016175672155661,0.05072079149701566,135.297371721583,150.1137543492857,14.816382627702694,1,0.01713752360240235,False
L1,8,7.440078914188973,0.05107945524629211,121.89151831230114,136.0263428827664,14.134824570465241,1,0.010187372975737958,False
L1,9,6.525399711455635,0.051893164805803596,79.13222093975119,87.79751595856969,8.665295018818497,1,0.005580610313263299,False
L1,10,7.55623640600075,0.05169796407054387,69.65800634923596,71.5212428906046,1.8632365413686358,1,0.0017980297897851455,False
L1,11,9.213863630031076,0.051228706965820645,64.56344507070153,58.279476802133914,-6.2839682685676195,-1,0.007295187930261117,False
L1,13,12.719219585188862,0.05009523887608663,59.620017425096584,38.642498781947545,-20.97751864314904,-1,0.029259420362619346,False
L2,1,-18624.298808292977,20.335147774133056,70.08275868477718,70.77975260023057,0.6969939154533904,1,0.002829537075803433,False
L2,2,-18647.77077837523,20.350089038699334,31.45176336417295,43.753510974364936,12.301747610191985,1,0.0035663668050364677,False
L2,4,-18324.704351223238,20.276738224301848,133.458349847984,112.62205013840575,-20.836299709578256,-1,5.0934827751887064e-05,False
L2,5,-15574.821990082199,18.225633197807316,264.4238561114546,236.51817661506308,-27.905679496391514,-1,0.10120135316057649,False
L2,7,-18430.45824125219,20.414483675313317,181.1039202071736,150.1137543492857,-30.990165857887888,-1,0.006741993770870906,False
L2,8,-18332.361705612406,20.369170403304626,165.25109029142823,136.0263428827664,-29.22474740866184,-1,0.004507365918809322,False
L2,9,-18382.931016555307,20.27132068869534,99.89936196926168,87.79751595856969,-12.101846010691986,-1,0.00031810105564017974,False
L2,10,-18469.47097358819,20.2923715197907,76.85427521707246,71.5212428906046,-5.333032326467858,-1,0.0007200224651179247,False
L2,11,-18493.878982098286,20.30084253989784,58.65132656266362,58.279476802133914,-0.371849760529706,-1,0.001137771540116528,False
L2,13,-18693.036869474417,20.36538868538897,19.331445442720867,38.642498781947545,19.311053339226678,1,0.004320870179076822,False
P1,1,-3.593265074994081,1.0929381662260282,61.32854426038855,70.77975260023057,9.451208339842019,1,0.016960913664514396,False
P1,2,-3.1217410947952104,1.0335432217471923,53.56283741920884,43.753510974364936,-9.809326444843904,-1,0.0383051012581985,False
P1,4,-3.4035272924494353,1.0672077623093876,98.01561904719246,112.62205013840575,14.606431091213295,1,0.006980802239121025,False
P1,5,-4.891846299960712,1.2773837186515702,367.3686947513452,236.51817661506308,-130.8505181362821,-1,0.18858445405540186,True
P1,7,-3.3716742092188454,1.0640319851576225,142.21993121035698,150.1137543492857,7.893823138928724,1,0.009935810430486539,False
P1,8,-3.3655498676919997,1.0628608678098974,125.70216161389412,136.0263428827664,10.324181268872266,1,0.011025515781397125,False
P1,9,-3.512741352758819,1.0818888903027255,75.49438633685523,87.79751595856969,12.303129621714461,1,0.006679744898037777,False
P1,10,-3.5442129233733617,1.086751825057366,64.20398609269873,71.5212428906046,7.31725679790587,1,0.011204625375262666,False
P1,11,-3.4494204145777005,1.0752840437166662,58.0655362604049,58.279476802133914,0.21394054172901633,1,0.0005340442295667277,False
P1,13,-2.9007092077480454,1.0051244788195663,53.3148963849975,38.642498781947545,-14.672397603049959,-1,0.06474827221330494,False
S1,1,7.197659699667878,0.051799249133620225,67.15008985956256,70.77975260023057,3.62966274066801,1,0.003760721715110848,False
S1,2,11.636495913608446,0.05045249547125306,60.32104242290137,43.753510974364936,-16.567531448536435,-1,0.022336537428994017,False
S1,4,6.462958209239601,0.051621918691403326,98.46006056134394,112.62205013840575,14.161989577061817,1,0.0003244299611022988,False
S1,5,0.0,0.05917584780095507,277.5885523339331,236.51817661506308,-41.07037571887,-1,0.14670372042589666,True
S1,7,8.01617567215563,0.05072079149701565,135.29737172158298,150.1137543492857,14.816382627702723,1,0.017137523602402352,False
S1,8,7.440078914188939,0.05107945524629207,121.89151831230103,136.0263428827664,14.134824570465355,1,0.010187372975738497,False
S1,9,6.525399711455646,0.0518931648058036,79.13222093975122,87.79751595856969,8.665295018818469,1,0.0055806103132635685,False
S1,10,7.5562364060008,0.05169796407054388,69.65800634923603,71.5212428906046,1.8632365413685648,1,0.001798029789785549,False
S1,11,9.213863630031046,0.05122870696582063,64.56344507070149,58.279476802133914,-6.283968268567577,-1,0.007295187930261253,False
S1,13,12.719219585188878,0.05009523887608659,59.62001742509656,38.642498781947545,-20.97751864314902,-1,0.029259420362619887,False
