folder,role,pairing,direct_temporal_variance_mean_dn2,difference_variance_estimate_mean_dn2,relative_difference,absolute_relative_difference,pixel_map_correlation,pair_count,difference_frame_mean_dn,difference_frame_std_dn
1,calibration,adjacent_199,5984.686191136344,5147.3096782493985,-0.13991986983831284,0.13991986983831284,0.9368106744169209,199,0.027295903344849246,101.20960899548959
1,calibration,non_overlapping_100,5984.686191136344,5122.201354018703,-0.1441152985423078,0.1441152985423078,0.9313335720896422,100,0.1575616455078125,101.21754470524832
2,evaluation,adjacent_199,2028.6426129181064,2023.963725122218,-0.0023064130498363276,0.0023064130498363276,0.9925396513915742,199,-0.016034763662060303,63.46408370873693
2,evaluation,non_overlapping_100,2028.6426129181064,2013.9367983546404,-0.0072490908304013064,0.0072490908304013064,0.9855534388491742,100,0.62073974609375,63.46411550558047
4,calibration,adjacent_199,16937.465805050644,16377.178917145306,-0.033079735442964824,0.033079735442964824,0.987173771484989,199,-0.0802756458071608,180.52913224357923
4,calibration,non_overlapping_100,16937.465805050644,16293.012670750475,-0.038048970354703074,0.038048970354703074,0.9822422858511326,100,0.164136962890625,180.51840952420574
5,evaluation,adjacent_199,78390.62112525519,67535.38024672467,-0.13847627079246694,0.13847627079246694,0.8974544727328951,199,-0.31826490852701006,366.6041622641966
5,evaluation,non_overlapping_100,78390.62112525519,67201.4452424637,-0.14273615545044663,0.14273615545044663,0.8932733849813678,100,-0.409288330078125,366.6108912176093
7,calibration,adjacent_199,30508.240042792087,29031.269722760546,-0.04841217710231346,0.04841217710231346,0.9879058930426629,199,-0.040001643961997485,240.35944743703055
7,calibration,non_overlapping_100,30508.240042792087,28886.137389322925,-0.05316932904664236,0.05316932904664236,0.9832048190071013,100,0.143131103515625,240.3554579990283
8,calibration,adjacent_199,24850.510805565922,24270.000509372938,-0.023360095119773706,0.023360095119773706,0.9930141093617314,199,-0.014717447098775125,219.76686747547396
8,calibration,non_overlapping_100,24850.510805565922,24144.396649453527,-0.028414472508719712,0.028414472508719712,0.9881402625818,100,0.3293548583984375,219.74688163997283
9,evaluation,adjacent_199,9785.796742967772,9759.199949275855,-0.0027178976214716267,0.0027178976214716267,0.9947000323844626,199,0.009717471635521356,139.35864801046006
9,evaluation,non_overlapping_100,9785.796742967772,9709.803910738241,-0.007765625449367784,0.007765625449367784,0.9895968155988685,100,-0.2752032470703125,139.35593105988727
10,calibration,adjacent_199,6199.766211256478,6207.467042762939,0.0012421164353713001,0.0012421164353713001,0.9945423003086533,199,-0.03328194929726759,111.14344165794282
10,calibration,non_overlapping_100,6199.766211256478,6177.68370467369,-0.003561828919079872,0.003561828919079872,0.9890604858570634,100,-0.5422027587890625,111.154535379956
11,evaluation,adjacent_199,3825.0834238330326,3828.5575427098015,0.0009082465640154743,0.0009082465640154743,0.9931390493609091,199,-0.003943055119346734,87.28592836443107
11,evaluation,non_overlapping_100,3825.0834238330326,3808.8523855251733,-0.004243316160564817,0.004243316160564817,0.9859979302497313,100,-0.4473895263671875,87.2775692160909
13,calibration,adjacent_199,1590.9737883018608,1595.0346888869462,0.002552462281242124,0.002552462281242124,0.9943023203078907,199,-0.02242167870603015,56.33932492485549
13,calibration,non_overlapping_100,1590.9737883018608,1587.10970076744,-0.0024287562515691715,0.0024287562515691715,0.9884489346374697,100,-0.2990423583984375,56.33949669735293
