folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,bin_index,bin_low_dn,bin_high_dn,mean_signal_dn,temporal_variance_dn2,temporal_std_dn,fano_like_dn
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,14567.112328418552,2228,single_scene_spatial_binning,20,1541.515625,1570.81640625,1556.189183123878,14567.112328418552,120.12190496755585,9.360759274252686
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,15023.961731824338,2058,single_scene_spatial_binning,21,1570.81640625,1600.1171875,1585.1962463556852,15023.961731824338,122.04151897335106,9.477666734553491
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,15368.359070710221,2020,single_scene_spatial_binning,22,1600.1171875,1629.41796875,1614.5522277227724,15368.359070710221,123.40214181243549,9.518650934188953
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,15798.225318597222,1992,single_scene_spatial_binning,23,1629.41796875,1658.71875,1644.097703313253,15798.225318597222,125.2057842157485,9.60905503776326
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,15963.306706874408,2115,single_scene_spatial_binning,24,1658.71875,1688.01953125,1673.6002955082743,15963.306706874408,125.85454500103256,9.538302992487424
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,16109.720692802337,2269,single_scene_spatial_binning,25,1688.01953125,1717.3203125,1702.812141912737,16109.720692802337,126.54382577466112,9.460656461320854
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,16445.391109026732,2552,single_scene_spatial_binning,26,1717.3203125,1746.62109375,1731.9612068965516,16445.391109026732,127.77342790617732,9.495242181835426
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,16773.027276286597,2534,single_scene_spatial_binning,27,1746.62109375,1775.921875,1761.0905682715074,16773.027276286597,129.0750577586814,9.524227531778308
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,17169.438620624227,2656,single_scene_spatial_binning,28,1775.921875,1805.22265625,1790.7072665662652,17169.438620624227,130.64024580287162,9.588076700859734
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,17534.915848179422,2571,single_scene_spatial_binning,29,1805.22265625,1834.5234375,1819.5874659665499,17534.915848179422,132.03915010657062,9.636753481847611
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,17982.28594796755,2118,single_scene_spatial_binning,30,1834.5234375,1863.82421875,1848.1877950897074,17982.28594796755,133.70537833662328,9.729685476629134
1,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,18487.65312972242,1485,single_scene_spatial_binning,31,1863.82421875,1893.125,1877.0763468013467,18487.65312972242,135.64300279286323,9.849174841090782
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1697.1965007960068,2928,single_scene_spatial_binning,0,922.75,927.50390625,925.5280481557377,1697.1965007960068,39.456099006051026,1.8337602022736552
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1610.1315922666195,8152,single_scene_spatial_binning,1,927.50390625,932.2578125,930.31929281158,1610.1315922666195,38.892267816476156,1.7307300888069659
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1550.758701060805,18432,single_scene_spatial_binning,2,932.2578125,937.01171875,934.9322238498264,1550.758701060805,38.505488008889685,1.6586856902580092
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1582.2068511688296,29256,single_scene_spatial_binning,3,937.01171875,941.765625,939.5490284044298,1582.2068511688296,38.91628921841666,1.6840066918655439
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1622.7650263596568,32536,single_scene_spatial_binning,4,941.765625,946.51953125,944.1740072535038,1622.7650263596568,39.43370450757675,1.7187139382073207
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1717.9985057908928,28372,single_scene_spatial_binning,5,946.51953125,951.2734375,948.849710982659,1717.9985057908928,40.483837686874104,1.8106118238806004
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1827.900079364535,21817,single_scene_spatial_binning,6,951.2734375,956.02734375,953.5758926525186,1827.900079364535,41.66075878282058,1.9168899858405068
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,1940.9168313239288,16797,single_scene_spatial_binning,7,956.02734375,960.78125,958.3543713163065,1940.9168313239288,42.79107120486769,2.0252600597606354
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2006.0767792993609,13388,single_scene_spatial_binning,8,960.78125,965.53515625,963.1064292650134,2006.0767792993609,43.594940050678176,2.0829232557717234
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2086.558569121567,10839,single_scene_spatial_binning,9,965.53515625,970.2890625,967.8752767783005,2086.558569121567,44.50216308123309,2.155813480500246
2,128,512,2304,2304,512,512,Temporal variance conditional on the per-pixel temporal mean within one fixed scene; not a photon-transfer curve.,2178.539798599606,8921,single_scene_spatial_binning,10,970.2890625,975.04296875,972.6247617980047,2178.539798599606,45.41337116398845,2.2398564011184887
