folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,row_pattern_energy_dn,column_pattern_energy_dn,row_adjacent_frame_profile_correlation,column_adjacent_frame_profile_correlation,residual_std_before_dn,residual_std_after_row_column_removal_dn,variance_fraction_removed,row_energy_block_cv,column_energy_block_cv
1,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,9.859301664748045,65536,,9.859301664748045,4.5633922286803585,0.36218967303288735,0.3791092778883322,73.95362854003906,73.15127510325831,0.021581115646402194,0.21569137881261122,0.21738701480605924
2,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,6.708878268389769,65536,,6.708878268389769,2.072236343746737,0.0020042518125083404,0.0229902194465492,44.6585693359375,44.103095548356904,0.02472176063809184,0.00997825533524853,0.017976400915941514
4,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,9.15996356437144,65536,,9.15996356437144,9.173921791009482,0.08544987443818401,0.46684177523124143,128.2612762451172,127.60443691409276,0.01021598223487763,0.04444956525877478,0.271626092323874
5,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,19.58295917566259,65536,,19.58295917566259,32.56209547919251,0.38928472253205393,0.6860273770898256,267.5256652832031,264.81341255351475,0.020173794725142025,0.24744980729969698,0.44617147423552783
7,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,11.329387867393583,65536,,11.329387867393583,17.78764241418253,0.1431467529275983,0.61066428229795,171.6075439453125,170.3066680318882,0.015103593000940885,0.07182652027865834,0.3409962510308535
8,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,10.409114120529155,65536,,10.409114120529155,11.83050532572694,0.1050059984601592,0.45248887643114105,155.80783081054688,155.00888058665964,0.010229290713627548,0.062108082704609546,0.1840874291679611
9,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,8.012518792931711,65536,,8.012518792931711,5.495312422035575,0.011869037718247625,0.21774205321622436,98.28536987304688,97.80394022011707,0.009772574778349918,0.01554900722121672,0.20428132333273205
10,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,7.38785781518782,65536,,7.38785781518782,3.960329216966148,0.0005274005623142864,0.13691357295602471,78.31202697753906,77.86213922998206,0.011456617966960292,0.013095594900338734,0.06484184313957513
11,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,7.0233601161405685,65536,,7.0233601161405685,3.3939981031743094,-0.014330977780338214,0.01993279835029314,61.52113342285156,61.02460539122764,0.016076567569662803,0.0201779813077843,0.17978422906372427
13,128,512,2304,2304,512,512,RMS row-profile energy of temporal-mean-subtracted residual frames in raw DN.,6.68051400876739,65536,,6.68051400876739,1.7823555598275767,-0.002899178994252887,-0.005483678853141544,39.6082649230957,39.000117757566784,0.03047234745507399,0.012788460754068176,0.007416039564422111
