folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,block_start_frame,block_end_frame,row_pattern_energy_dn,column_pattern_energy_dn
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.141363716544303,8192,,49,64,10.141363716544303,12.16718503122029
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.018204646904826,8192,,65,80,11.018204646904826,11.40251945792731
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.431004313254686,8192,,81,96,10.431004313254686,13.910785362946203
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.084438188721125,8192,,97,112,11.084438188721125,18.296017676371264
7,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,12.476246170050702,8192,,113,128,12.476246170050702,22.907186024032974
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.263502767688227,8192,,1,16,11.263502767688227,14.82462511698538
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.638998154597136,8192,,17,32,10.638998154597136,10.553754726255317
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.038619575791556,8192,,33,48,10.038619575791556,11.596050230766346
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.804847305134409,8192,,49,64,9.804847305134409,10.035049394421243
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.764962929202984,8192,,65,80,9.764962929202984,9.222305619221281
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,9.809193784669414,8192,,81,96,9.809193784669414,10.111192992999921
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,10.479809636642681,8192,,97,112,10.479809636642681,12.13926615139023
8,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,11.332800645194133,8192,,113,128,11.332800645194133,14.78905259785383
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.196958146377428,8192,,1,16,8.196958146377428,7.679175703928074
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.108604539766409,8192,,17,32,8.108604539766409,5.16790170172124
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.944830121342296,8192,,33,48,7.944830121342296,4.664687618686367
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.904939067265976,8192,,49,64,7.904939067265976,4.538098429057198
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.845907326480334,8192,,65,80,7.845907326480334,4.526958623952334
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.91957773503713,8192,,81,96,7.91957773503713,4.763352908257385
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.055034559139491,8192,,97,112,8.055034559139491,5.5535788486003606
9,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,8.117519724691894,8192,,113,128,8.117519724691894,6.287443849835329
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.589340528344108,8192,,1,16,7.589340528344108,4.187081329432849
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.280848957061823,8192,,17,32,7.280848957061823,4.030393530385245
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.390112856835198,8192,,33,48,7.390112856835198,3.946487718267272
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.441841684225276,8192,,49,64,7.441841684225276,3.637928596885325
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.290777225822727,8192,,65,80,7.290777225822727,3.6862195731731067
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.368393359079254,8192,,81,96,7.368393359079254,3.766424044525468
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.368159609330918,8192,,97,112,7.368159609330918,3.9773892685654957
10,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.368954377632652,8192,,113,128,7.368954377632652,4.39259126029212
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.876948482668341,8192,,1,16,6.876948482668341,2.9958564578888827
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.965598846281536,8192,,17,32,6.965598846281536,2.8957192061155173
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.803029697591078,8192,,33,48,6.803029697591078,2.9378720324555805
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.987038934559986,8192,,49,64,6.987038934559986,3.04858951653854
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.23304284429235,8192,,65,80,7.23304284429235,4.696207274972767
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.067494807923591,8192,,81,96,7.067494807923591,3.686039499382262
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.104656991830553,8192,,97,112,7.104656991830553,3.2545459359244053
11,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,7.139064510776857,8192,,113,128,7.139064510776857,3.2611547079028385
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.81174601089541,8192,,1,16,6.81174601089541,1.7662832058591122
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.622706979006258,8192,,17,32,6.622706979006258,1.7921583416369768
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.694721210175013,8192,,33,48,6.694721210175013,1.7965793211866579
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.695744295289241,8192,,49,64,6.695744295289241,1.7641401116823714
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.72902176292096,8192,,65,80,6.72902176292096,1.7881947481279559
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.608032277673643,8192,,81,96,6.608032277673643,1.7891667128192246
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.736785199738231,8192,,97,112,6.736785199738231,1.769804338389495
13,16,512,2304,2304,512,512,Root-mean-square row-profile energy in the stated non-overlapping frame block.,6.54153077483027,8192,,113,128,6.54153077483027,1.7921746225602007
