run_seed,model,epoch,train_l1,validation_l1,validation_psnr,is_best,mean_real_shift_DN,mean_absolute_real_shift_DN,mean_predicted_residual_DC_DN,real_bias_available_for_epoch
20260719,G,1,0.0025212073108802,0.0011884955904231,57.21501824794672,True,-0.9817265800249879,0.9817265800249879,0.9817357361316681,True
20260719,G,2,0.0011100222830039,0.0011739001274069,57.340072403606186,True,-0.9817265800249879,0.9817265800249879,0.9817357361316681,True
20260719,G,3,0.0010735991387628,0.0012652127039379,56.63067542182075,False,,,,False
20260719,G,4,0.0010422080646579,0.0013765166926547,55.70419089814536,False,,,,False
20260719,G,5,0.0010191459072909,0.0015575653345037,54.498163369985726,False,,,,False
20260719,G,6,0.0009970941460536,0.0015561707182508,54.53223650679629,False,,,,False
20260719,G,7,0.0009692388218051,0.0013850796052342,55.4630470927964,False,,,,False
20260719,G,8,0.0009240835202702,0.0017320092470966,53.45316526624892,False,,,,False
20260719,G,9,0.000899279306177,0.0020339243675176,52.05176094250801,False,,,,False
20260719,G,10,0.0008910405472852,0.002148176344414,51.68773285955445,False,,,,False
20260719,G,11,0.0008930034950996,0.0020300928407754,52.10495210305238,False,,,,False
20260719,G,12,0.0008825120407467,0.0020053909482577,52.20511685884916,False,,,,False
20260719,G,13,0.0008946261500629,0.0020295953284551,52.26060322818593,False,,,,False
20260719,G,14,0.0008766064742424,0.001845311311782,53.01903188330496,False,,,,False
20260719,G,15,0.0008686933949744,0.0018371055867825,53.068709968501686,False,,,,False
20260719,G,16,0.0008680125318157,0.0018229107571463,53.16398353250618,False,,,,False
20260719,G,17,0.000863511893743,0.0016527667166028,53.92550163595085,False,,,,False
20260719,G,18,0.0008629967136463,0.0017487535493957,53.482421092498,False,,,,False
20260719,G,19,0.0008596399473026,0.0017834098424571,53.312962882539146,False,,,,False
20260719,G,20,0.0008603753956655,0.0018000374995888,53.2616444775182,False,,,,False
20260719,G,21,0.0008592667391834,0.0017411677170799,53.42275603204711,False,,,,False
20260719,G,22,0.0008579293653989,0.0018077733086692,53.178424769996575,False,,,,False
20260719,G,23,0.0008527121844235,0.0017144010575392,53.62793806679228,False,,,,False
20260719,G,24,0.0008522007571688,0.0017920072940695,53.33800979353424,False,,,,False
20260719,G,25,0.0008543117767355,0.0018148213370233,53.11831192277435,False,,,,False
20260719,G,26,0.0008486040623392,0.0018331413326434,53.1509767190004,False,,,,False
20260719,G,27,0.0008627056299398,0.0017817506992504,53.25021535107213,False,,,,False
20260719,G,28,0.0008485939342062,0.0018682126294121,52.92934945913461,False,,,,False
20260719,G,29,0.0008459013987643,0.0019652285000197,52.505739032712754,False,,,,False
20260719,G,30,0.0008471265248954,0.0018774496767526,52.83502839569353,False,,,,False
20260719,CG_NC,1,0.0026322893080456,0.0011909274711735,57.18682867848975,True,-3.68504647715672,3.68504647715672,3.6849985122680664,True
20260719,CG_NC,2,0.0011795191206814,0.0011728493930596,57.34281435583392,True,-3.68504647715672,3.68504647715672,3.6849985122680664,True
20260719,CG_NC,3,0.0011354860694458,0.0012675242903483,56.58117829021226,False,,,,False
20260719,CG_NC,4,0.0010982153048583,0.0014331638494617,55.29003700843224,False,,,,False
