artifact,unit,shape,dtype,min,max,mean,std,p0_1,p1,p5,p50,p95,p99,negative_ratio,histogram_bin_edges_json,histogram_counts_json
dark_offset_1024,DN,1024x1024,float32,21770.03125,46218.0625,27712.09170614183,1471.133142557286,23579.783203125,24583.40234375,25451.71875,27627.546875,30230.890625,31369.9921875,0.0,"[21770.03125, 22152.03173828125, 22534.0322265625, 22916.03271484375, 23298.033203125, 23680.03369140625, 24062.0341796875, 24444.03466796875, 24826.03515625, 25208.03564453125, 25590.0361328125, 25972.03662109375, 26354.037109375, 26736.03759765625, 27118.0380859375, 27500.03857421875, 27882.0390625, 28264.03955078125, 28646.0400390625, 29028.04052734375, 29410.041015625, 29792.04150390625, 30174.0419921875, 30556.04248046875, 30938.04296875, 31320.04345703125, 31702.0439453125, 32084.04443359375, 32466.044921875, 32848.04541015625, 33230.0458984375, 33612.04638671875, 33994.046875, 34376.04736328125, 34758.0478515625, 35140.04833984375, 35522.048828125, 35904.04931640625, 36286.0498046875, 36668.05029296875, 37050.05078125, 37432.05126953125, 37814.0517578125, 38196.05224609375, 38578.052734375, 38960.05322265625, 39342.0537109375, 39724.05419921875, 40106.0546875, 40488.05517578125, 40870.0556640625, 41252.05615234375, 41634.056640625, 42016.05712890625, 42398.0576171875, 42780.05810546875, 43162.05859375, 43544.05908203125, 43926.0595703125, 44308.06005859375, 44690.060546875, 45072.06103515625, 45454.0615234375, 45836.06201171875, 46218.0625]","[9, 34, 110, 357, 831, 2074, 4405, 9346, 17532, 30503, 47833, 68387, 88958, 104236, 112064, 110864, 102086, 88181, 72778, 56936, 43192, 31580, 21995, 14202, 8744, 4764, 2565, 1300, 649, 375, 273, 207, 212, 185, 166, 139, 130, 100, 83, 58, 38, 29, 24, 15, 8, 8, 4, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
dark_offset_effective_512,DN,512x512,float32,22174.921875,46218.0625,27404.985625207424,1195.4478916473954,23714.91534375,24680.52484375,25494.79921875,27395.421875,29316.8125,30230.439531250002,0.0,"[22174.921875, 22550.595947265625, 22926.27001953125, 23301.944091796875, 23677.6181640625, 24053.292236328125, 24428.96630859375, 24804.640380859375, 25180.314453125, 25555.988525390625, 25931.66259765625, 26307.336669921875, 26683.0107421875, 27058.684814453125, 27434.35888671875, 27810.032958984375, 28185.70703125, 28561.381103515625, 28937.05517578125, 29312.729248046875, 29688.4033203125, 30064.077392578125, 30439.75146484375, 30815.425537109375, 31191.099609375, 31566.773681640625, 31942.44775390625, 32318.121826171875, 32693.7958984375, 33069.469970703125, 33445.14404296875, 33820.818115234375, 34196.4921875, 34572.166259765625, 34947.84033203125, 35323.514404296875, 35699.1884765625, 36074.862548828125, 36450.53662109375, 36826.210693359375, 37201.884765625, 37577.558837890625, 37953.23291015625, 38328.906982421875, 38704.5810546875, 39080.255126953125, 39455.92919921875, 39831.603271484375, 40207.27734375, 40582.951416015625, 40958.62548828125, 41334.299560546875, 41709.9736328125, 42085.647705078125, 42461.32177734375, 42836.995849609375, 43212.669921875, 43588.343994140625, 43964.01806640625, 44339.692138671875, 44715.3662109375, 45091.040283203125, 45466.71435546875, 45842.388427734375, 46218.0625]","[3, 15, 62, 157, 387, 841, 1980, 3829, 7360, 12125, 18176, 25317, 30766, 33617, 33642, 29559, 23486, 16749, 10867, 6286, 3427, 1671, 759, 342, 156, 85, 60, 37, 30, 39, 48, 46, 44, 39, 36, 24, 20, 18, 16, 5, 4, 6, 3, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
dark_temporal_std_effective_512,DN,512x512,float32,2000.46435546875,9736.64453125,3858.027789338492,610.7661215743245,2543.1430974121095,2798.6762231445314,3046.8315551757814,3769.4781494140625,4981.326416015625,5872.848183593751,0.0,"[2000.46435546875, 2121.342170715332, 2242.219985961914, 2363.097801208496, 2483.975616455078, 2604.85343170166, 2725.731246948242, 2846.609062194824, 2967.4868774414062, 3088.3646926879883, 3209.2425079345703, 3330.1203231811523, 3450.9981384277344, 3571.8759536743164, 3692.7537689208984, 3813.6315841674805, 3934.5093994140625, 4055.3872146606445, 4176.265029907227, 4297.142845153809, 4418.020660400391, 4538.898475646973, 4659.776290893555, 4780.654106140137, 4901.531921386719, 5022.409736633301, 5143.287551879883, 5264.165367126465, 5385.043182373047, 5505.920997619629, 5626.798812866211, 5747.676628112793, 5868.554443359375, 5989.432258605957, 6110.310073852539, 6231.187889099121, 6352.065704345703, 6472.943519592285, 6593.821334838867, 6714.699150085449, 6835.576965332031, 6956.454780578613, 7077.332595825195, 7198.210411071777, 7319.088226318359, 7439.966041564941, 7560.843856811523, 7681.7216720581055, 7802.5994873046875, 7923.4773025512695, 8044.355117797852, 8165.232933044434, 8286.110748291016, 8406.988563537598, 8527.86637878418, 8648.744194030762, 8769.622009277344, 8890.499824523926, 9011.377639770508, 9132.25545501709, 9253.133270263672, 9374.011085510254, 9494.888900756836, 9615.766716003418, 9736.64453125]","[2, 5, 30, 109, 343, 975, 2298, 4619, 7792, 12196, 16771, 20929, 23942, 25284, 24510, 22660, 20223, 16424, 13514, 10752, 8137, 6399, 5086, 3989, 2957, 2436, 1839, 1587, 1203, 1015, 797, 681, 539, 428, 339, 329, 237, 178, 151, 104, 80, 49, 46, 45, 34, 21, 5, 10, 7, 9, 7, 3, 7, 2, 3, 2, 1, 1, 0, 2, 0, 0, 0, 1]"
bad_pixel_mask_effective_512,fraction,512x512,float32,0.0,1.0,0.001251220703125,0.03535046180571155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375, 0.25, 0.265625, 0.28125, 0.296875, 0.3125, 0.328125, 0.34375, 0.359375, 0.375, 0.390625, 0.40625, 0.421875, 0.4375, 0.453125, 0.46875, 0.484375, 0.5, 0.515625, 0.53125, 0.546875, 0.5625, 0.578125, 0.59375, 0.609375, 0.625, 0.640625, 0.65625, 0.671875, 0.6875, 0.703125, 0.71875, 0.734375, 0.75, 0.765625, 0.78125, 0.796875, 0.8125, 0.828125, 0.84375, 0.859375, 0.875, 0.890625, 0.90625, 0.921875, 0.9375, 0.953125, 0.96875, 0.984375, 1.0]","[261816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328]"
