source_pair_key,evidence,clean_path,clean_raw_min_dn,clean_raw_max_dn,clean_raw_mean_dn,clean_raw_std_dn,clean_raw_p1_dn,clean_raw_p50_dn,clean_raw_p99_dn,dark_mean_dn,dark_p50_dn,dark_to_clean_mean_ratio,pixel_dark_clean_ratio_p50,difference_mean_dn,difference_negative_ratio,difference_zero_ratio,difference_nonpositive_ratio,difference_positive_ratio,crop_top,crop_left,crop_size,warning
15ms_to_500ms_010,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621150010.tif,1.0,65535.0,18060.94099664688,7743.052322649801,7258.0,16178.0,43687.0,27404.98828125,27395.421875,1.517362151082709,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9816970825195312,0.01830291748046875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_011,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621160011.tif,1.0,65535.0,17956.81870985031,7700.998628970068,7245.0,16079.0,43570.0,27404.98828125,27395.421875,1.5261605479269467,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9823684692382812,0.01763153076171875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_012,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621160012.tif,1.0,65535.0,17813.53437256813,7653.378678624139,7187.0,15903.0,43252.0,27404.98828125,27395.421875,1.5384363208377212,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9831504821777344,0.016849517822265625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_013,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621170013.tif,1.0,65535.0,17526.66837310791,7486.636675700482,7196.0,15563.0,42099.0,27404.98828125,27395.421875,1.5636165241363793,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9852180480957031,0.014781951904296875,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_014,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621170014.tif,1.0,65535.0,17165.58914065361,7293.609256913325,7134.0,15204.0,40608.0,27404.98828125,27395.421875,1.5965072947217531,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9877777099609375,0.0122222900390625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_015,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621180015.tif,1.0,65535.0,17253.915169000626,7300.445032164497,7183.0,15290.0,40753.0,27404.98828125,27395.421875,1.5883344743972878,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9874839782714844,0.012516021728515625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_016,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621180016.tif,1.0,65535.0,17298.0950922966,7266.260541636617,7275.0,15348.0,40604.0,27404.98828125,27395.421875,1.5842778141192162,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9871788024902344,0.012821197509765625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_017,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621190017.tif,1.0,65535.0,17193.299525260925,7181.5176181155775,7291.0,15275.0,40339.0,27404.98828125,27395.421875,1.5939342091368645,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9873275756835938,0.01267242431640625,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_018,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621200018.tif,1.0,65535.0,17260.126972436905,7164.280380485712,7355.0,15363.0,40403.0,27404.98828125,27395.421875,1.5877628435186866,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9867935180664062,0.01320648193359375,768,768,512,raw pixel comparison requires remounted source volume
15ms_to_500ms_019,SAVED_FORMAL_SMOKE_SUMMARY_SOURCE_VOLUME_OFFLINE,F:\目标传感器噪声参数估计\data\500ms\P251621200019.tif,1.0,65535.0,17265.79926776886,7157.836959104736,7355.0,15383.0,40263.0,27404.98828125,27395.421875,1.587241219258734,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_COMPUTABLE_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_EQUAL_SOURCE_OFFLINE,NOT_SEPARABLE_FROM_NEGATIVE_SOURCE_OFFLINE,0.9865341186523438,0.01346588134765625,768,768,512,raw pixel comparison requires remounted source volume
