absolute_path,size_bytes,modified_time_ns,sha256
D:\iccd\data\20260319\2\34-Camera1[20600555].tif,52469894,1784105717102692400,8a6e65eee56b5014483aaa85adfef7662974006acc6d326a532081c980f427b5
D:\iccd\data\20260319\2\35-Camera1[20600555].tif,52469894,1784105720450617300,ebe6a9d384e74a10432e55a99a4dbc9f29a7e734a47f0708501f85a9af615629
D:\iccd\data\20260319\2\36-Camera1[20600555].tif,52469894,1784105718419911300,727de6efe76a6c9ecb044b3b0447c1745d8196341bae2a3c4b409b01295263c8
D:\iccd\data\20260319\2\37-Camera1[20600555].tif,52469894,1784105725880110600,5b202817bcf63c81d5f3bc8ee05647653766d39b541a8da218a1a917c7d4e972
D:\iccd\data\20260319\2\38-Camera1[20600555].tif,52469894,1784105725656463800,fd2a3189b38bbfb4d0d39635911f548c992c13b161927cf4e4b7eaaf538dbbd7
D:\iccd\data\20260319\2\39-Camera1[20600555].tif,52469894,1784105725043973600,cb4c7a409cdb224c6f7216d92a66bc6af231714a561b3bed1cb373502390216e
D:\iccd\data\20260319\2\40-Camera1[20600555].tif,52469894,1784105725322386500,f856d65bd35bd7585d3e54968a054e3724abe0d6f80143e32a30986cba1b5c42
D:\iccd\data\20260319\2\41-Camera1[20600555].tif,52469894,1784105726446706000,14a5a10420b36a046b409c11ebf792c2c95de02e8f38ec9a110896fa72841a81
D:\iccd\data\20260319\2\42-Camera1[20600555].tif,52469894,1784105727287455300,0fd0b2c6f900557d2f8ef2bd0cebf339abde2bf448a1c94458de7fd1f00c73d5
D:\iccd\data\20260319\2\43-Camera1[20600555].tif,52469894,1784105739029375900,6025153bc9f59365a118c80d1509e644ff97b2e305326b8caad40c85bb49e3e2
D:\iccd\data\20260319\2\44-Camera1[20600555].tif,52469894,1784105737177117000,1e8662870631b947a19867e55730301125c3e638a73a8ac77e3aa2538014fa38
D:\iccd\data\20260319\2\45-Camera1[20600555].tif,52469894,1784105738691767100,5bf14404d490e1fb08c20d8c28bebac02107f39f86feddecd4e9cde572de5fda
D:\iccd\data\20260319\2\46-Camera1[20600555].tif,52469894,1784105743149086700,8f541261be70cf9056247c0bec118a1d4a0681ec7e2f5c3e8ccceed86f5bf576
D:\iccd\data\20260319\2\47-Camera1[20600555].tif,52469894,1784105738138274200,dd7e3f1211b7c714d18739c30bc590bd4a591975a2ec79729bccbb51a1778e98
D:\iccd\data\20260319\2\48-Camera1[20600555].tif,52469894,1784105738568531300,33e6f4c30d6b2b53b4569b0540765f369fe32a6d078bb613cd8186321208dd94
D:\iccd\data\20260319\2\49-Camera1[20600555].tif,52469894,1784105748023179800,12ea8a3d52570a48f72b864d8a8797eb3e43932fcbb62d2b6ac8c569e89dc2f0
D:\iccd\data\20260319\2\50-Camera1[20600555].tif,52469894,1784105749259049700,9947bc5dc85bc0bb4ad1ec7b8ccff67cf2fe31d0437bb83a7dc3472234ba81af
D:\iccd\data\20260319\2\51-Camera1[20600555].tif,52469894,1784105747788514500,f5a82fe84ea8f5700e88a37b4644d246ad275398c2af97fb44be94e6ef9c1a3e
D:\iccd\data\20260319\2\52-Camera1[20600555].tif,52469894,1784105748369847900,419cb1f4d32eaf56d9411f4a9deb08356b5e9b8cd0855a27ff44c7de057aa874
D:\iccd\data\20260319\2\53-Camera1[20600555].tif,52469894,1784105749183201500,2f662f54edc7b97098bd1940df2b68d6d5e37d39d5c43d44b3f38fe48269d947
D:\iccd\data\20260319\2\54-Camera1[20600555].tif,52469894,1784105750403824000,08d1dff97b8116a1fc54739690779a61c6c3afda9b260cd8a8f0103ef66d9ce5
D:\iccd\data\20260319\2\55-Camera1[20600555].tif,52469894,1784105760695135100,92e7dc3d26b18f3ed852625826233c42f9ec574115576e78d0dc18b532251217
D:\iccd\data\20260319\2\56-Camera1[20600555].tif,52469894,1784105760401671000,578cee4bb905d1e210f69fae0b6969deffe70eb221ee8d869bfbe377870541ad
D:\iccd\data\20260319\2\57-Camera1[20600555].tif,52469894,1784105760806768600,45c6cc95f8d605485fccb1531cc2c0e0311b99984c09425af7d8e520309aa0d7
D:\iccd\data\20260319\2\58-Camera1[20600555].tif,52469894,1784105760906802300,9c5ea98677e0f6e5ac0bc0c55c6d815c01c9b6b7c2d9d051861d658640771959
D:\iccd\data\20260319\2\59-Camera1[20600555].tif,52469894,1784105761370161100,d22249673b4fc9ab03b4e0c98b649795e1cdcd286224cb93420ee49feb84721d
D:\iccd\data\20260319\2\60-Camera1[20600555].tif,52469894,1784105761149790400,4a064c71cc3fa27581fdbea90b3594821b4e273986bed28e3907eafda6acbd6d
D:\iccd\data\20260319\2\61-Camera1[20600555].tif,52469894,1784105776023213900,479f64a86b4c5afd54e727db500a273529ce8ae388404a736df87b0a3e90e552
D:\iccd\data\20260319\2\62-Camera1[20600555].tif,52469894,1784105775411586400,d9320b84bc3db5e81b050c180926f63913263ae36ab4d697708cd2d577055bd1
D:\iccd\data\20260319\2\63-Camera1[20600555].tif,52469894,1784105775290873100,dde715f182b36b8e624b9add08b4965f4034cd1f805d58de5995d60e1fd89f57
D:\iccd\data\20260319\2\64-Camera1[20600555].tif,52469894,1784105776040722300,cdfb0e888242c8466c2d3032179a82a8d2a4d56cd98649e5e7f954f3ede11d55
D:\iccd\data\20260319\2\65-Camera1[20600555].tif,52469894,1784105776203189800,c5ea4b99b5b7199482327b88e7d61462c7a3029ee20a9510df29bf6bfd95001c
D:\iccd\data\20260319\2\66-Camera1[20600555].tif,52469894,1784105776023213900,82168ffce34aea4c2c42baa47cd5d0e6f05904d83967bc832eedcc79f06e738d
D:\iccd\data\20260319\2\67-Camera1[20600555].tif,52469894,1784105776135525600,7cd04070642bea2f16739a838f2c82aac31b2aba7fc50b2413abd33df7b5d8f6
D:\iccd\data\20260319\2\68-Camera1[20600555].tif,52469894,1784105792571430700,98fd63820310313558a8e70713e19507ef6370d2362ed636297e33e20053d94b
D:\iccd\data\20260319\2\69-Camera1[20600555].tif,52469894,1784105791396978900,0121415aae6f86d0ed0b32909e983d6c11f4aa457357832376e6696a984043e8
D:\iccd\data\20260319\2\70-Camera1[20600555].tif,52469894,1784105790779814400,3aba4b6fe4d6a08cd281a1b46b644487dc9c87d46fde9ca9f7eb61b1220e4fe7
D:\iccd\data\20260319\2\71-Camera1[20600555].tif,52469894,1784105790950677400,79da67565b89a28669f57d0812c3ad1e524186caf760228d5de10021a1bacdf8
D:\iccd\data\20260319\2\72-Camera1[20600555].tif,52469894,1784105792025704800,47915c7b8fb17ea5e56d9e2b891666f3213c49ddf7a883e526854cec44a8e4ac
D:\iccd\data\20260319\2\73-Camera1[20600555].tif,52469894,1784105789531242200,1331305ca926edb7eb19b7225fdb8010e25ed6ae862524013797abc04e59eeb0
D:\iccd\data\20260319\2\74-Camera1[20600555].tif,52469894,1784105791084498200,b42753b4122bc2ab749afef1f50850262ae97fcfefbcfe4f622c308c620b2f91
D:\iccd\data\20260319\2\75-Camera1[20600555].tif,52469894,1784105803266617200,c66d22c1351ae26bd201a36be6bb8d31b9b3c3d293be39a7e2304b41ea6fa0b0
D:\iccd\data\20260319\2\76-Camera1[20600555].tif,52469894,1784105803414075800,077fb6f0041c9a1669f8afcd79612825891f6391d8807f5406784a793e2d4549
D:\iccd\data\20260319\2\77-Camera1[20600555].tif,52469894,1784105805228830800,d43cd7f7b91749d70c4b134591fb13d75f5f6bd22dffa3afcc0f232e59a182ba
D:\iccd\data\20260319\2\78-Camera1[20600555].tif,52469894,1784105804009835900,0d6d05a1151f88d98454d7a531a7a193f2934eaa763a158f520c07177f350c65
D:\iccd\data\20260319\2\79-Camera1[20600555].tif,52469894,1784105803934412400,fac60ae00a29dbec9a7014000119a89ef3a72b0fc5d53da9adbf0d64d7476c08
D:\iccd\data\20260319\2\80-Camera1[20600555].tif,52469894,1784105804679144800,d618db8866f1db67f0fa62e229605b173fad110c0152e83e0da5a2d40d5d3842
D:\iccd\data\20260319\2\81-Camera1[20600555].tif,52469894,1784105805371440300,86a0825b75ee0a35fd47a0eb386ecb749119b97ab757ff2afb7239df394acaf6
