run_seed,model,folder,q25,q50,q90,region,pixel_count,raw_temporal_variance_DN2,output_temporal_variance_DN2,corrected_temporal_variance_DN2,temporal_variance_reduction,corrected_temporal_variance_reduction,output_input_MAE_DN,corrected_output_input_MAE_DN,gradient_ratio,corrected_gradient_ratio,edge_contrast_change,corrected_edge_contrast_change,removed_residual_std_DN,corrected_removed_residual_std_DN,removed_temporal_mean_correlation,corrected_removed_temporal_mean_correlation,local_variance_ratio,corrected_local_variance_ratio
20260719,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,flat,65536,1870.0432450337626,1804.9718109131331,1804.9780842631428,0.03479675365446144,0.03479339899941458,1.8135175704956055,1.8375643491744995,0.9871538464366397,0.9871538611206907,-0.012846153563360274,-0.012846138879309299,3.3314762115478516,3.3314764499664307,0.03575480845114328,0.03575436343875007,0.976740006918179,0.9767400600560081
20260719,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,low_gradient,65537,1927.706223689054,1860.658825031679,1860.6650506887543,0.034780921404645504,0.034777691837298175,1.8014240264892578,1.827947735786438,0.9870172216012612,0.987017243027525,-0.012982778398738848,-0.012982756972474974,3.166749954223633,3.1667492389678955,0.03468283597597018,0.03468230555003144,0.9774574930621164,0.9774575531549577
20260719,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,medium_gradient,104856,2116.1051998989383,2042.7829748222487,2042.7891596661134,0.03464961244846965,0.03464668969970219,1.8129079341888428,1.839590311050415,0.9868192183121881,0.9868192506434087,-0.013180781687811893,-0.013180749356591304,3.131423234939575,3.131422758102417,0.032109597387394606,0.03210893087675837,0.9790496154089172,0.9790496978026102
20260719,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,high_gradient,26215,2327.634003118779,2247.80763981479,2247.813828000245,0.034295066662984985,0.03429240808975287,1.9634395837783813,2.022170305252075,0.986658907010325,0.9866589572256969,-0.013341092989675007,-0.013341042774303147,3.3980607986450195,3.398059844970703,0.023463272974130454,0.023462623173652445,0.9796520140439586,0.9796521053953948
20260719,CG_NC,2,3.2869438693108166,5.331585130146568,11.890945294454424,flat,65536,1870.0432450337626,1786.548147632168,1786.5584011633805,0.044648752173689576,0.0446432691287173,3.706491708755493,2.1912693977355957,0.988152844438197,0.9881528375040619,-0.011847155561803047,-0.01184716249593809,5.046375751495361,5.046374320983887,0.010988497781782555,0.010988685460059846,0.9759627612658796,0.9759627062957114
20260719,CG_NC,2,3.2869438693108166,5.331585130146568,11.890945294454424,low_gradient,65537,1927.706223689054,1841.714703184749,1841.7248175367226,0.0446082081634529,0.04460296133079278,3.669301986694336,2.1607792377471924,0.9875739017286065,0.9875738858572998,-0.012426098271393515,-0.012426114142700229,4.705810070037842,4.705810070037842,0.008361147023251563,0.00836137506151523,0.9759875426050416,0.9759874960542491
20260719,CG_NC,2,3.2869438693108166,5.331585130146568,11.890945294454424,medium_gradient,104856,2116.1051998989383,2021.9803730221074,2021.9902895473447,0.04448022096506643,0.04447553474944832,3.600675106048584,2.1331262588500977,0.9864489218631529,0.9864489090041447,-0.013551078136847083,-0.013551090995855275,4.305041313171387,4.305043697357178,0.010781720977588801,0.010782035875663053,0.9761320600684129,0.9761319996937241
20260719,CG_NC,2,3.2869438693108166,5.331585130146568,11.890945294454424,high_gradient,26215,2327.634003118779,2225.2476823505963,2225.2573978203122,0.04398729380606925,0.04398311983812464,3.559781074523926,2.322740316390991,0.9850396315413504,0.9850396061450706,-0.014960368458649564,-0.014960393854929421,4.3872599601745605,4.387259006500244,0.03552190260060501,0.03552223790406456,0.9739142981091647,0.9739142352436603
20260720,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,flat,65536,1870.0432450337626,1751.213936657745,1751.24595291158,0.06354361520333296,0.06352649460790294,5.092779636383057,3.9306371212005615,0.9856981361076017,0.9856981438575175,-0.014301863892398292,-0.014301856142482472,6.801047325134277,6.801035404205322,0.02304412373302432,0.02304406356459215,0.9656353288945778,0.965635342179035
20260720,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,low_gradient,65537,1927.706223689054,1806.7779359830215,1806.8095928917699,0.06273169958159486,0.06271527752082684,5.089698791503906,3.928354263305664,0.9853763245091915,0.9853763260963221,-0.014623675490808452,-0.014623673903677914,6.09134578704834,6.091339588165283,0.026773173760933605,0.026773095906383354,0.9641074464538548,0.9641074629582268
20260720,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,medium_gradient,104856,2116.1051998989383,1987.0531217390326,1987.0847730241483,0.060985662795058126,0.06097070546443151,4.993693828582764,3.9199976921081543,0.9856761711574884,0.9856761851186974,-0.014323828842511599,-0.014323814881302632,5.213036060333252,5.2130351066589355,0.03197133251132799,0.03197120965627528,0.9643742428461328,0.9643742669960084
20260720,G,2,3.2869438693108166,5.331585130146568,11.890945294454424,high_gradient,26215,2327.634003118779,2191.9530671032735,2191.985371557668,0.05829135329424984,0.058277474628466885,4.7118730545043945,4.027348518371582,0.9885699083929862,0.9885699141648681,-0.011430091607013804,-0.011430085835131942,6.0417160987854,6.041715145111084,0.0532198967416347,0.05321979254548245,0.9650095834057789,0.9650096171305026
20260720,CG_NC,2,3.2869438693108166,5.331585130146568,11.890945294454424,flat,65536,1870.0432450337626,1717.2404117646352,1717.125042541082,0.08171085544407752,0.08177254878933016,4.315670967102051,4.126305103302002,0.9796623026318388,0.9796623111975353,-0.020337697368161156,-0.02033768880246467,4.785743236541748,4.7857160568237305,0.027561513794118555,0.0275612254197547,0.9441048814498698,0.9441049185547332
20260720,CG_NC,2,3.2869438693108166,5.331585130146568,11.890945294454424,low_gradient,65537,1927.706223689054,1771.5257266943652,1771.4112421521527,0.08101882697447849,0.08107821597307463,4.293552398681641,4.137725353240967,0.979861939812924,0.9798619548906652,-0.02013806018707598,-0.020138045109334812,5.836671352386475,5.836639404296875,0.015386784847564039,0.01538657960087745,0.951096578230165,0.951096614201232
