reference,strategy,pair_key,folder,condition_score,psnr,psnr_gain,ssim,ssim_gain,residual_mean,residual_std,gradient_ratio_to_noisy,removed_residual_std,is_primary_strategy
reference_a_odd,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.55522843207897,0.0,0.9984284998803145,0.0,-4.450786582310684e-05,0.0011801304062828422,1.0,0.0,0
reference_a_odd,always_p99,folder_1_frame_101,1,-0.5895646452563452,58.59816634708266,0.04293791500369082,0.9984458976004783,1.7397720163847552e-05,5.134712409926578e-06,0.0011751344427466393,0.9952139261534843,2.1434054360724986e-05,0
reference_a_odd,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.517810706656164,-0.03741772542280586,0.9984075652289661,-2.0934651348336608e-05,-0.00013184442650526762,0.0011787170078605413,0.9992883883946977,6.800405571993906e-06,0
reference_a_odd,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,58.59816634708266,0.04293791500369082,0.9984458976004783,1.7397720163847552e-05,5.134712409926578e-06,0.0011751344427466393,0.9952139261534843,2.1434054360724986e-05,0
reference_a_odd,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,58.59816634708266,0.04293791500369082,0.9984458976004783,1.7397720163847552e-05,5.134712409926578e-06,0.0011751344427466393,0.9952139261534843,2.1434054360724986e-05,1
reference_b_even,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.57523893865283,0.0,0.9984351104732198,0.0,-4.700628778664395e-05,0.0011773135047405958,1.0,0.0,0
reference_b_even,always_p99,folder_1_frame_101,1,-0.5895646452563452,58.61919123186816,0.04395229321532668,0.9984528634257618,1.7752952542027245e-05,2.636269073263975e-06,0.0011723017087206244,0.9952139261534843,2.1434054360724986e-05,0
reference_b_even,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.536296511394745,-0.03894242725808539,0.9984135390248486,-2.157144837111602e-05,-0.00013434285938274115,0.0011758966138586402,0.9992883883946977,6.800405571993906e-06,0
reference_b_even,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,58.61919123186816,0.04395229321532668,0.9984528634257618,1.7752952542027245e-05,2.636269073263975e-06,0.0011723017087206244,0.9952139261534843,2.1434054360724986e-05,0
reference_b_even,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,58.61919123186816,0.04395229321532668,0.9984528634257618,1.7752952542027245e-05,2.636269073263975e-06,0.0011723017087206244,0.9952139261534843,2.1434054360724986e-05,1
reference_a_odd,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.40895342886806,0.0,0.998379798649775,0.0,-1.0176914656767622e-05,0.001200982602313161,1.0,0.0,0
reference_a_odd,always_p99,folder_1_frame_111,1,-0.5895646452563452,58.439027586635675,0.030074157767614906,0.9983919800719051,1.2181422130108643e-05,3.9626957004657015e-05,0.0011962184216827154,0.9952388147438304,2.146118822565768e-05,0
reference_a_odd,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.39064823956588,-0.018305189302182612,0.9983679661314121,-1.183251836289756e-05,-9.751577454153448e-05,0.0011996024986729026,0.9992737016255528,6.755813046765979e-06,0
reference_a_odd,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,58.439027586635675,0.030074157767614906,0.9983919800719051,1.2181422130108643e-05,3.9626957004657015e-05,0.0011962184216827154,0.9952388147438304,2.146118822565768e-05,0
reference_a_odd,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,58.439027586635675,0.030074157767614906,0.9983919800719051,1.2181422130108643e-05,3.9626957004657015e-05,0.0011962184216827154,0.9952388147438304,2.146118822565768e-05,1
reference_b_even,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.431267840714085,0.0,0.9983875431526279,0.0,-1.267536572413519e-05,0.0011978772236034274,1.0,0.0,0
reference_b_even,always_p99,folder_1_frame_111,1,-0.5895646452563452,58.46228363295004,0.031015792235955075,0.998400074458837,1.2531306209151438e-05,3.712851321324706e-05,0.0011930967448279262,0.9952388147438304,2.146118822565768e-05,0
reference_b_even,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.41158435549596,-0.01968348521812402,0.9983750883601067,-1.24547925212104e-05,-0.0001000142001430504,0.0011964892037212849,0.9992737016255528,6.755813046765979e-06,0
reference_b_even,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,58.46228363295004,0.031015792235955075,0.998400074458837,1.2531306209151438e-05,3.712851321324706e-05,0.0011930967448279262,0.9952388147438304,2.146118822565768e-05,0
reference_b_even,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,58.46228363295004,0.031015792235955075,0.998400074458837,1.2531306209151438e-05,3.712851321324706e-05,0.0011930967448279262,0.9952388147438304,2.146118822565768e-05,1
