reference,strategy,folder,pair_count,mean_psnr_gain,std_psnr_gain,positive_pair_fraction,mean_ssim,mean_ssim_gain,mean_gradient_ratio_to_noisy,mean_residual_std,mean_removed_residual_std
reference_a_odd,always_noisy,1,8,0.0,0.0,0.0,0.998104561226835,0.0,1.0,0.0012993012642255053,0.0
reference_a_odd,always_noisy,2,8,0.0,0.0,0.0,0.9994272208413233,0.0,1.0,0.000695246686518658,0.0
reference_a_odd,always_noisy,4,8,0.0,0.0,0.0,0.9955231934088264,0.0,1.0,0.002049920178251341,0.0
reference_a_odd,always_noisy,5,8,0.0,0.0,0.0,0.9837874915675403,0.0,1.0,0.0046789784100838006,0.0
reference_a_odd,always_noisy,7,8,0.0,0.0,0.0,0.9922843704197966,0.0,1.0,0.00280910573201254,0.0
reference_a_odd,always_noisy,8,8,0.0,0.0,0.0,0.9935905731860947,0.0,1.0,0.002469363622367382,0.0
reference_a_odd,always_noisy,9,8,0.0,0.0,0.0,0.9973602626258771,0.0,1.0,0.0015293098258553073,0.0
reference_a_odd,always_noisy,10,8,0.0,0.0,0.0,0.9983116497556976,0.0,1.0,0.0012140862236265093,0.0
reference_a_odd,always_noisy,11,8,0.0,0.0,0.0,0.9989548071628287,0.0,1.0,0.0009498007493675686,0.0
reference_a_odd,always_noisy,13,8,0.0,0.0,0.0,0.9995588179548289,0.0,1.0,0.0006122050908743404,0.0
reference_a_odd,always_p99,1,8,0.018368875002573226,0.018119013728206398,0.875,0.99811287715895,8.315932115116054e-06,0.9952180892058808,0.0012952851393492892,2.1399231400209828e-05
reference_a_odd,always_p99,2,8,0.05326045472971774,0.04223375411077956,1.0,0.9994359114146727,8.690573349456887e-06,0.9945710611258465,0.0006921493477420881,2.259454481645662e-05
reference_a_odd,always_p99,4,8,0.04799706770174339,0.012257995287989425,1.0,0.9955699277116087,4.6734302782305837e-05,0.9948994013682344,0.0020381782087497413,4.998128179067862e-05
reference_a_odd,always_p99,5,8,0.07138532548620535,0.00941381456077345,1.0,0.9839952042792712,0.00020771271173095074,0.9957013606375961,0.004650136746931821,0.00011455207641120069
reference_a_odd,always_p99,7,8,0.043674336581951856,0.005789472413940196,1.0,0.9923744349903826,9.006457058614858e-05,0.9950604202175236,0.002793846040731296,6.763090459571686e-05
reference_a_odd,always_p99,8,8,0.04691126317023553,0.00977318028770518,1.0,0.993664718226225,7.41450401303273e-05,0.994974608342166,0.0024549136287532747,6.180261152621824e-05
reference_a_odd,always_p99,9,8,0.03301341982434369,0.0064251537030020804,1.0,0.9973844221597521,2.4159533875078854e-05,0.9946495872319061,0.0015216949250316247,3.6431997159525054e-05
reference_a_odd,always_p99,10,8,0.028874401040064335,0.010332854456433942,1.0,0.9983232319111737,1.158215547615582e-05,0.9945276421818936,0.001207942739711143,2.990336497532553e-05
reference_a_odd,always_p99,11,8,0.04278604329218627,0.021145505535959182,1.0,0.9989661132944541,1.1306131625365978e-05,0.9944210800819628,0.0009452290687477216,2.664391740836436e-05
reference_a_odd,always_p99,13,8,0.00640648775829078,0.045824551949397656,0.5,0.9995575287048912,-1.2892499377803457e-06,0.9946551887592154,0.0006096078068367206,2.4570964569647913e-05
reference_a_odd,always_physical,1,8,-0.00701698700575637,0.02407040597256022,0.375,0.9980978790912627,-6.682135572241843e-06,0.9992701401716482,0.0012980151805095375,6.86882702893854e-06
reference_a_odd,always_physical,2,8,-0.12911184499711847,0.09647704658588656,0.0,0.9993983887932267,-2.883204809646378e-05,0.9999998273371178,0.0006952465628273785,2.902403456461755e-10
reference_a_odd,always_physical,4,8,0.37114962376993876,0.021387625801759364,1.0,0.9959164289139094,0.0003932355050830505,0.968499752624852,0.0019618014921434224,0.00015756311404402368
reference_a_odd,always_physical,5,8,1.4034089394472868,0.23054066102717546,1.0,0.9894327170014947,0.005645225433954501,0.8613521399309083,0.00398168308311142,0.0013708085607504472
reference_a_odd,always_physical,7,8,0.9666896311056439,0.10589258835191984,1.0,0.9939918111845699,0.0017074407647734852,0.9165292071693869,0.0025132980954367667,0.000500234127684962
reference_a_odd,always_physical,8,8,0.8134149049578188,0.033266529911192375,1.0,0.9947423245849192,0.0011517513988244105,0.9354080992471385,0.0022469197283498943,0.00036219531830283813
reference_a_odd,always_physical,9,8,0.0636300824737761,0.009509332027212658,1.0,0.9973967380376013,3.64754117242877e-05,0.9943887924620137,0.0015166641533141956,3.0207131430870504e-05
reference_a_odd,always_physical,10,8,0.005475296726332957,0.017271902872509154,0.625,0.9983121599490128,5.101933152340532e-07,0.9988727280520499,0.0012118719314457849,8.062829010668793e-06
reference_a_odd,always_physical,11,8,-0.05708219441332485,0.04087541399280446,0.0,0.9989343358147869,-2.0471348041853354e-05,0.9999994576504732,0.0009497999853920192,9.349197793717678e-08
reference_a_odd,always_physical,13,8,-0.04772000766340767,0.11195969906713928,0.25,0.999550119781559,-8.698173269927612e-06,0.9999999558842716,0.0006122050472185947,1.1114974565740177e-10
reference_a_odd,lofo_best_hard,1,8,0.018368875002573226,0.018119013728206398,0.875,0.99811287715895,8.315932115116054e-06,0.9952180892058808,0.0012952851393492892,2.1399231400209828e-05
reference_a_odd,lofo_best_hard,2,8,0.05326045472971774,0.04223375411077956,1.0,0.9994359114146727,8.690573349456887e-06,0.9945710611258465,0.0006921493477420881,2.259454481645662e-05
