strategy,folder_sign_agreement_fraction,mean_absolute_folder_gain_delta_db,max_absolute_folder_gain_delta_db,folder_gain_correlation
always_noisy,1.0,0.0,0.0,nan
always_p99,0.9,0.0029524172065225505,0.01025902833096648,0.9865868999534435
always_physical,1.0,0.007042575847525434,0.02536020023103447,0.9998060958120807
lofo_best_hard,0.9,0.004179634824733558,0.01025902833096648,0.9999520057006989
lofo_best_linear,0.9,0.003791146028773973,0.01025902833096648,0.9999615313986077
