folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,mean_signal,frame_mean_std,temporal_std_mean,temporal_var_mean,temporal_fano_approx,observed_stable_component_std,stable_to_temporal_std_ratio
10,128,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,79.52682495117188,8388608,,1268.73828125,3.0982411679165516,79.52682495117188,7423.33544921875,5.850958829668993,297.86389241885706,3.7454518346701313
10,16,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,70.26866149902344,4194304,,1201.9178466796875,3.3664465545477045,70.26866149902344,6177.775390625,5.139931491733132,296.55720487802404,4.220333766883342
10,32,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,70.9118881225586,8388608,,1202.0511474609375,2.9171207747687413,70.9118881225586,6182.64306640625,5.143410976700694,296.4216233176005,4.1801400465502825
10,64,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,71.22673034667969,16777216,,1201.50244140625,2.8836681468929983,71.22673034667969,6185.23486328125,5.14791701633331,296.31814899019497,4.160209903612516
10,128,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,71.40454864501953,33554432,,1200.9822998046875,2.9745422224272247,71.40454864501953,6189.91064453125,5.154039860152725,296.1350246982144,4.14728515644598
10,16,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,64.07804870605469,16777216,,1152.0208740234375,2.9783564964999276,64.07804870605469,5372.2919921875,4.66336341061664,305.3430421374576,4.765173851316199
10,32,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,64.6387710571289,33554432,,1151.9761962890625,2.4983406224882043,64.6387710571289,5396.58935546875,4.684636169439214,305.2440077343414,4.72230524717992
10,64,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,64.93997955322266,67108864,,1151.620361328125,2.5387748435545623,64.93997955322266,5396.5458984375,4.686045922472094,305.2322128516581,4.700220341176731
10,128,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,65.09965515136719,134217728,,1151.193359375,2.668628036281441,65.09965515136719,5392.6943359375,4.6844383630437845,305.19747041787076,4.688158020318809
11,16,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,61.641685485839844,1048576,,1120.802490234375,3.4747923588580045,61.641685485839844,4336.88623046875,3.8694473542451253,164.9324802557478,2.6756646732775606
11,32,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,62.14466094970703,2097152,,1120.8536376953125,3.0264434177070694,62.14466094970703,4329.39111328125,3.8625838090540516,164.68739439843927,2.650065055978323
11,64,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,62.41994094848633,4194304,,1120.7586669921875,2.8027421068322544,62.41994094848633,4332.73193359375,3.865891972284835,164.6461753314696,2.6377175759802163
11,128,256,2432,2432,256,256,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,62.725975036621094,8388608,,1119.524658203125,3.044033875473058,62.725975036621094,4351.52734375,3.886941937245356,164.1217689434883,2.616488127090406
11,16,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,57.22465896606445,4194304,,1083.0509033203125,3.239891892434153,57.22465896606445,3812.00537109375,3.5196917886382564,163.99294500120777,2.8657740904748663
11,32,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,57.6926383972168,8388608,,1083.3507080078125,2.9001182864578245,57.6926383972168,3807.595947265625,3.514647582838121,163.78896047886792,2.8389923745759806
11,64,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,57.91969299316406,16777216,,1083.209716796875,2.658542182461428,57.91969299316406,3804.852783203125,3.512572611012329,163.73212025332333,2.8268817010588734
11,128,512,2304,2304,512,512,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,58.20510482788086,33554432,,1081.969970703125,2.8911857824299765,58.20510482788086,3823.008056640625,3.5333772287194063,163.220401080637,2.8042282814075907
11,16,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,53.734039306640625,16777216,,1055.7568359375,2.8351412310745143,53.734039306640625,3455.376220703125,3.272890217788446,169.01272034401617,3.145356696144171
11,32,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,54.17639923095703,33554432,,1056.07861328125,2.625220936785763,54.17639923095703,3451.3955078125,3.2681236646663727,168.86045990080584,3.1168638428874575
11,64,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,54.40140151977539,67108864,,1055.964111328125,2.4842756606753764,54.40140151977539,3469.383544921875,3.285512743949511,168.8495170170024,3.1037714525723037
11,128,1024,2048,2048,1024,1024,Robustness endpoint: mean per-pixel temporal standard deviation in raw DN.,54.66261291503906,134217728,,1054.7440185546875,2.7847803422430584,54.66261291503906,3489.744384765625,3.308617373860637,168.52445832419224,3.0829930977892737
