variant,pair_key,source_pair_key,structure_source,strength_level,seed,p99_source_residual_std,physical_source_residual_std,p99_source_clean_std,physical_source_clean_std,common_clean_std,target_residual_std,realized_residual_mean,realized_residual_std,preclip_pixel_ratio,saved_zero_pixel_ratio,saved_one_pixel_ratio,signal_residual_correlation
H-L,factorial_15ms_to_500ms_002,15ms_to_500ms_002,physical,low,20260717,0.0015123104105768637,0.0009020181807109662,0.05822657919889966,0.015605323131288429,0.05731677504361997,0.0014886802005500042,1.5247366036419407e-08,0.0014886952685976781,1.9073486328125e-05,0.0,1.9073486328125e-05,0.001310038323011808
H-H,factorial_15ms_to_500ms_002,15ms_to_500ms_002,physical,high,20260717,0.0015123104105768637,0.0009020181807109662,0.05822657919889966,0.015605323131288429,0.05731677504361997,0.0033130216346117535,1.175538955067168e-08,0.003313026402366726,1.9073486328125e-05,0.0,1.9073486328125e-05,0.0003258564104972303
P-L,factorial_15ms_to_500ms_003,15ms_to_500ms_003,p99,low,20260718,0.0014886424910510237,0.0008914712350794448,0.056224590278172094,0.015670974879008613,0.0553460677401119,0.0014653820995918418,-1.437942387383373e-08,0.0014653889965432472,1.52587890625e-05,0.0,1.52587890625e-05,0.023702125080213958
P-H,factorial_15ms_to_500ms_003,15ms_to_500ms_003,p99,high,20260718,0.0014886424910510237,0.0008914712350794448,0.056224590278172094,0.015670974879008613,0.0553460677401119,0.0031484593489559285,1.0765887736852164e-08,0.003148452459912074,1.52587890625e-05,0.0,1.52587890625e-05,0.02369700270577035
H-L,factorial_15ms_to_500ms_003,15ms_to_500ms_003,physical,low,20260718,0.0014886424910510237,0.0008914712350794448,0.056224590278172094,0.015670974879008613,0.0553460677401119,0.0014653820995918418,-2.914646302087931e-10,0.0014653955718847988,2.288818359375e-05,0.0,2.288818359375e-05,0.020143574187824385
H-H,factorial_15ms_to_500ms_003,15ms_to_500ms_003,physical,high,20260718,0.0014886424910510237,0.0008914712350794448,0.056224590278172094,0.015670974879008613,0.0553460677401119,0.0031484593489559285,3.637978807091713e-12,0.0031484624096679223,2.288818359375e-05,0.0,2.288818359375e-05,0.0201390453865336
P-L,factorial_15ms_to_500ms_004,15ms_to_500ms_004,p99,low,20260719,0.0014970115633748345,0.0009049557623910069,0.056245897600788415,0.016025810536006806,0.055367042087198406,0.001473620402019068,6.921091255662759e-09,0.0014736117776232912,2.6702880859375e-05,0.0,2.6702880859375e-05,-0.014471824478954941
P-H,factorial_15ms_to_500ms_004,15ms_to_500ms_004,p99,high,20260719,0.0014970115633748345,0.0009049557623910069,0.056245897600788415,0.016025810536006806,0.055367042087198406,0.003126501693675977,-1.438454688695856e-08,0.003126500447048557,2.6702880859375e-05,0.0,2.6702880859375e-05,-0.01446791899896305
H-L,factorial_15ms_to_500ms_004,15ms_to_500ms_004,physical,low,20260719,0.0014970115633748345,0.0009049557623910069,0.056245897600788415,0.016025810536006806,0.055367042087198406,0.001473620402019068,-1.234725033327777e-08,0.001473630585478239,2.6702880859375e-05,0.0,2.6702880859375e-05,-0.023505910297436337
H-H,factorial_15ms_to_500ms_004,15ms_to_500ms_004,physical,high,20260719,0.0014970115633748345,0.0009049557623910069,0.056245897600788415,0.016025810536006806,0.055367042087198406,0.003126501693675977,2.4406006104982225e-09,0.003126522641729501,2.6702880859375e-05,0.0,2.6702880859375e-05,-0.02350984640595653
P-L,factorial_15ms_to_500ms_005,15ms_to_500ms_005,p99,low,20260720,0.0012993004324825443,0.0010612349973621773,0.036810535420175476,0.022765621353150512,0.03623536206075251,0.001278998554606541,-5.712699646664987e-09,0.001278987965936894,0.0,0.0,0.0,0.011193140421026405
P-H,factorial_15ms_to_500ms_005,15ms_to_500ms_005,p99,high,20260720,0.0012993004324825443,0.0010612349973621773,0.036810535420175476,0.022765621353150512,0.03623536206075251,0.001689136165643842,6.631410087720724e-09,0.0016891363462632908,0.0,0.0,0.0,0.01119406704742941
H-L,factorial_15ms_to_500ms_005,15ms_to_500ms_005,physical,low,20260720,0.0012993004324825443,0.0010612349973621773,0.036810535420175476,0.022765621353150512,0.03623536206075251,0.001278998554606541,-1.1100667052232893e-09,0.0012790340863604224,0.0,0.0,0.0,0.02621968875861273
H-H,factorial_15ms_to_500ms_005,15ms_to_500ms_005,physical,high,20260720,0.0012993004324825443,0.0010612349973621773,0.036810535420175476,0.022765621353150512,0.03623536206075251,0.001689136165643842,1.262418436454027e-08,0.0016891513825207077,0.0,0.0,0.0,0.026211637841077766
P-L,factorial_15ms_to_500ms_006,15ms_to_500ms_006,p99,low,20260721,0.0012824049386187932,0.001182400892399405,0.03495783590446405,0.02791050495980754,0.03441161141681064,0.0012623670569125115,8.723475275473902e-09,0.0012624027424612183,0.0,0.0,0.0,-0.0364006966633977
P-H,factorial_15ms_to_500ms_006,15ms_to_500ms_006,p99,high,20260721,0.0012824049386187932,0.001182400892399405,0.03495783590446405,0.02791050495980754,0.03441161141681064,0.0014578138269705826,1.7106451366544206e-08,0.0014578473659335868,0.0,0.0,0.0,-0.036386509181101
H-L,factorial_15ms_to_500ms_006,15ms_to_500ms_006,physical,low,20260721,0.0012824049386187932,0.001182400892399405,0.03495783590446405,0.02791050495980754,0.03441161141681064,0.0012623670569125115,4.706329548298527e-09,0.0012623595158688854,0.0,0.0,0.0,-0.022231138347842523
H-H,factorial_15ms_to_500ms_006,15ms_to_500ms_006,physical,high,20260721,0.0012824049386187932,0.001182400892399405,0.03495783590446405,0.02791050495980754,0.03441161141681064,0.0014578138269705826,-3.544471383065684e-10,0.001457807570068223,0.0,0.0,0.0,-0.022225391871597
P-L,factorial_15ms_to_500ms_007,15ms_to_500ms_007,p99,low,20260722,0.0012759841856817278,0.0011510961728366268,0.03473749788372769,0.027537053873402998,0.034194716218655816,0.0012560466293491477,1.0179590503867075e-08,0.0012560467765848277,0.0,0.0,0.0,-0.0018591590929828347
