epoch,train_l1,val_l1,val_psnr_mean,val_psnr_std,val_ssim_mean,val_ssim_std,val_residual_mean,val_residual_std,seconds_elapsed,is_best
1,0.003144039190374315,0.002767935897281859,46.908906700857564,4.395512159150787,0.9886195999188423,0.0066491351067440915,0.00012049616543663433,0.005005084996810183,0.8826649188995361,True
2,0.0028953057586808095,0.002484140932210721,47.24353209589273,4.313158430034094,0.991400002546668,0.005008098668087312,7.355156094490667e-05,0.0048003784904722124,1.3790724277496338,True
3,0.002321568539958786,0.0019097139884252101,47.62886362807359,4.0932417170494695,0.9956969969514609,0.00243412491574931,-0.00013788965543426457,0.00454997866472695,1.8597514629364014,True
4,0.0015419865191109818,0.00124561909615295,47.829392251154275,3.8763697709610194,0.9986782298079729,0.0006240834046479485,-5.1275109171911026e-05,0.004409602421219461,2.3299129009246826,True
5,0.0010231695566538044,0.0009511814350844361,48.26790584603374,3.7570648527505903,0.9993864136917592,0.00016572496997321773,-0.0002701233079278609,0.00416418956592679,2.7985942363739014,True
6,0.0008277171741197394,0.0008716792799532413,48.28428808196624,3.7887071942760575,0.9995172804741859,7.729848444697703e-05,-0.0003396909487491939,0.004155848015216179,3.2745654582977295,True
7,0.0007302839949261397,0.0008859209337970242,48.365801600936976,3.6932234798224526,0.9995067566292286,3.523242914309727e-05,-0.0003912682514055632,0.004095878059160896,3.747349500656128,True
8,0.0006398814174727621,0.0008105636152322404,48.42467674790431,3.7024850030857706,0.9996048710731268,3.378646571115898e-05,-0.0003067788675252814,0.00407748953148257,4.209858417510986,True
9,0.0006117637650194494,0.0007158716216508765,48.46499331402693,3.7455720171041116,0.9996879923285246,4.223500291404155e-05,0.0001051253730111057,0.0040764567092992365,4.679705858230591,True
10,0.00048454041494882074,0.000627995057584485,48.47150295213604,3.765249334476436,0.9997388113582134,3.5484849574505284e-05,-4.020076744382095e-05,0.004078109675901942,5.120248556137085,True
11,0.0005103867436198263,0.0006517806505144108,48.49727678529683,3.729772362608603,0.9997329755837918,3.499196800151898e-05,-0.00013474888964992715,0.004058348000398837,5.582864999771118,True
12,0.000623835701844655,0.0006842374677944463,48.49018069383675,3.7608218722222286,0.9997170101616383,3.522765835069947e-05,7.659037601115415e-05,0.004067715228302404,6.085034370422363,False
13,0.0005996249687582763,0.0006661063416686375,48.469503803820984,3.783723038656828,0.999730295909524,3.372168295236979e-05,-0.00019497846005833708,0.004077106932527386,6.535274028778076,False
14,0.0005197881678627296,0.0006170454216771759,48.52042375142246,3.767232884797417,0.9997540948126316,3.365926794080433e-05,-1.1936213752505864e-05,0.004055589088238776,6.992560625076294,True
15,0.00046290816482558677,0.0005959390509815421,48.51550029506049,3.760515322388949,0.9997551019308567,3.404178098974531e-05,-8.660467346999212e-05,0.0040560288180131465,7.546123504638672,False
16,0.0004829295285162516,0.0007148637196223717,48.49113084743502,3.7577691401918534,0.9997015830088853,3.525240845287151e-05,-0.00026080784300575033,0.004058687554788776,8.029884815216064,False
17,0.0005442788678919896,0.0008031050965655595,48.48485505549345,3.730116879638688,0.999629735632658,3.297810732776219e-05,0.00019118750697089126,0.004060162013047375,8.589747667312622,False
18,0.0005367389888058162,0.0007639972682227381,48.50829135959025,3.7446499919290286,0.9996673791595697,3.4830833792106156e-05,-0.00029362361965468153,0.004045790046802722,9.096359252929688,False
