strategy,folder,pair_count,mean_psnr_gain,positive_pair_fraction,mean_residual_std
always_noisy,1,8,0.0,0.0,0.0012924351321998984
always_noisy,2,8,0.0,0.0,0.0006917903447174467
always_noisy,4,8,0.0,0.0,0.0020397229527588934
always_noisy,5,8,0.0,0.0,0.004656800534576178
always_noisy,7,8,0.0,0.0,0.0027956395351793617
always_noisy,8,8,0.0,0.0,0.0024563100014347583
always_noisy,9,8,0.0,0.0,0.0015215098828775808
always_noisy,10,8,0.0,0.0,0.001208195390063338
always_noisy,11,8,0.0,0.0,0.0009450908546568826
always_noisy,13,8,0.0,0.0,0.0006091782634030096
always_p99,1,8,0.018927174350102938,0.875,0.0012883935996796936
always_p99,2,8,0.057704451873232365,1.0,0.0006886896444484591
always_p99,4,8,0.04901421385897553,1.0,0.0020279141899663955
always_p99,5,8,0.07176832253593268,1.0,0.0046278429799713194
always_p99,7,8,0.04419577587630652,1.0,0.002780283655738458
always_p99,8,8,0.04781401838623811,1.0,0.0024418210377916694
always_p99,9,8,0.03251918521442576,1.0,0.0015138567105168477
always_p99,10,8,0.027230007130046197,1.0,0.0012020208087051287
always_p99,11,8,0.04189212403190279,1.0,0.0009405085438629612
always_p99,13,8,0.0013008873401165744,0.5,0.0006065667912480421
always_physical,1,8,-0.007677781716053822,0.375,0.0012911428784718737
always_physical,2,8,-0.13953751893089272,0.0,0.000691790206474252
always_physical,4,8,0.3745486560058149,1.0,0.0019511393329594284
always_physical,5,8,1.4197750721010127,1.0,0.0039555484254378825
always_physical,7,8,0.9774107642927472,1.0,0.0024981762398965657
always_physical,8,8,0.8227009333440227,1.0,0.0022325029713101685
always_physical,9,8,0.06546223397369388,1.0,0.0015087879146449268
always_physical,10,8,0.008767430326122039,0.625,0.0012059702567057684
always_physical,11,8,-0.0553350826838086,0.0,0.0009450900470255874
always_physical,13,8,-0.03542809733547081,0.5,0.0006091782270232216
score_q20_q80_linear_blend,1,8,0.021144508963550024,0.875,0.001288717074203305
score_q20_q80_linear_blend,2,8,0.057704451873232365,1.0,0.0006886896444484591
score_q20_q80_linear_blend,4,8,0.27851002129179037,1.0,0.0019748236081795767
score_q20_q80_linear_blend,5,8,1.4197750721010127,1.0,0.0039555484254378825
score_q20_q80_linear_blend,7,8,0.9774107642927472,1.0,0.0024981762398965657
score_q20_q80_linear_blend,8,8,0.8007308575538161,1.0,0.002238368528196588
score_q20_q80_linear_blend,9,8,0.05497183262190486,1.0,0.0015118142182473093
score_q20_q80_linear_blend,10,8,0.032957615545816665,1.0,0.0012027056218357757
score_q20_q80_linear_blend,11,8,0.041474249971896526,1.0,0.0009406501048943028
score_q20_q80_linear_blend,13,8,0.0013008873401165744,0.5,0.0006065667912480421
score_q30_q70_linear_blend,1,8,0.019827958093551423,0.875,0.0012884990137536079
score_q30_q70_linear_blend,2,8,0.057704451873232365,1.0,0.0006886896444484591
score_q30_q70_linear_blend,4,8,0.3366002436487321,1.0,0.001960638168384321
score_q30_q70_linear_blend,5,8,1.4197750721010127,1.0,0.0039555484254378825
score_q30_q70_linear_blend,7,8,0.9774107642927472,1.0,0.0024981762398965657
score_q30_q70_linear_blend,8,8,0.8227009333440227,1.0,0.0022325029713101685
score_q30_q70_linear_blend,9,8,0.05674857881993045,1.0,0.0015115912538021803
score_q30_q70_linear_blend,10,8,0.03177384153705631,1.0,0.0012025101896142587
score_q30_q70_linear_blend,11,8,0.04189212403190279,1.0,0.0009405085438629612
score_q30_q70_linear_blend,13,8,0.0013008873401165744,0.5,0.0006065667912480421
score_q40_q60_linear_blend,1,8,0.018927174350102938,0.875,0.0012883935996796936
score_q40_q60_linear_blend,2,8,0.057704451873232365,1.0,0.0006886896444484591
score_q40_q60_linear_blend,4,8,0.3745486560058149,1.0,0.0019511393329594284
score_q40_q60_linear_blend,5,8,1.4197750721010127,1.0,0.0039555484254378825
score_q40_q60_linear_blend,7,8,0.9774107642927472,1.0,0.0024981762398965657
score_q40_q60_linear_blend,8,8,0.8227009333440227,1.0,0.0022325029713101685
score_q40_q60_linear_blend,9,8,0.06342694946949745,1.0,0.0015104680205695331
score_q40_q60_linear_blend,10,8,0.030002826601891464,1.0,0.001202288651256822
score_q40_q60_linear_blend,11,8,0.04189212403190279,1.0,0.0009405085438629612
score_q40_q60_linear_blend,13,8,0.0013008873401165744,0.5,0.0006065667912480421
score_q50_hard_blend,1,8,0.018927174350102938,0.875,0.0012883935996796936
score_q50_hard_blend,2,8,0.057704451873232365,1.0,0.0006886896444484591
score_q50_hard_blend,4,8,0.3745486560058149,1.0,0.0019511393329594284
score_q50_hard_blend,5,8,1.4197750721010127,1.0,0.0039555484254378825
score_q50_hard_blend,7,8,0.9774107642927472,1.0,0.0024981762398965657
score_q50_hard_blend,8,8,0.8227009333440227,1.0,0.0022325029713101685
score_q50_hard_blend,9,8,0.06546223397369388,1.0,0.0015087879146449268
score_q50_hard_blend,10,8,0.027230007130046197,1.0,0.0012020208087051287
score_q50_hard_blend,11,8,0.04189212403190279,1.0,0.0009405085438629612
score_q50_hard_blend,13,8,0.0013008873401165744,0.5,0.0006065667912480421
