strategy,pair_count,folder_count,mean_pair_psnr_gain,std_pair_psnr_gain,positive_pair_fraction,mean_folder_psnr_gain,positive_folder_count,negative_folder_count,mean_ssim_gain,mean_residual_std,mean_residual_std_reduction_vs_noisy
score_q40_q60_linear_blend,80,10,0.3807689839410341,0.4942995528493391,0.9375,0.3807689839410341,10,0,0.0008979781062480971,0.0016874282220669557,0.00013423906711977905
score_q50_hard_blend,80,10,0.38069523044426923,0.4943779556936083,0.9375,0.38069523044426923,10,0,0.0008977850938996126,0.0016872334272193257,0.00013443386196740904
score_q30_q70_linear_blend,80,10,0.37657348550823044,0.49470150909306,0.9375,0.37657348550823044,10,0,0.0008938343888133749,0.0016885231241758447,0.00013314416501089
score_q20_q80_linear_blend,80,10,0.36859802615558834,0.4934259087022265,0.9375,0.36859802615558834,10,0,0.0008848746004717079,0.0016906060256587808,0.00013106126352795399
always_physical,80,10,0.34306866093771876,0.5249270356747656,0.65,0.34306866093771876,6,4,0.0008878249924711243,0.0016889326499949675,0.0001327346391917672
always_p99,80,10,0.03923661605972795,0.028880159666805176,0.9375,0.03923661605972795,10,0,4.8052797084070785e-05,0.0018117897961928975,9.877492993837223e-06
always_noisy,80,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0018216672891867348,0.0
