folder,role,subset,low_fraction,mid_fraction,high_fraction,horizontal_vertical_power_ratio,anisotropy_absolute_log_ratio,total_windowed_nps_energy,frequency_unit,window
1,calibration,all200,0.11427393787713719,0.11338001041297532,0.7723460517098876,0.22773415986746728,1.4795762957878567,1390613710.826696,cycles/pixel,2D separable Hann
2,evaluation,all200,0.024520308352965935,0.11665594212016396,0.8588237495268701,0.14307885534514206,1.9443593647271646,514579397.83334315,cycles/pixel,2D separable Hann
4,calibration,all200,0.05540123409250822,0.10300984898405742,0.8415889169234341,3.4305771518268293,1.232728512861466,4993902530.671381,cycles/pixel,2D separable Hann
5,evaluation,all200,0.16034115898575255,0.09272102309180365,0.7469378179224441,14.727162412123661,2.689693571871146,24151628192.892075,cycles/pixel,2D separable Hann
7,calibration,all200,0.06891810880346315,0.09934189602612498,0.8317399951704116,7.305219571642523,1.9885891024706543,11476031198.75663,cycles/pixel,2D separable Hann
8,calibration,all200,0.043205579215166545,0.10236397019614175,0.854430450588692,3.866277825306422,1.3522922419667172,9323446888.657059,cycles/pixel,2D separable Hann
9,evaluation,all200,0.02446278879939967,0.10501581160005999,0.8705213996005404,1.1159747313602069,0.10972822155242956,3572221856.208769,cycles/pixel,2D separable Hann
10,calibration,all200,0.02120242744721003,0.10767335840265421,0.8711242141501356,0.6101030315401149,0.4941274319133596,2214471057.9897056,cycles/pixel,2D separable Hann
11,evaluation,all200,0.023561268275581984,0.11822976462533416,0.8582089670990837,0.39173811424091126,0.9371617383698749,1257322399.5855634,cycles/pixel,2D separable Hann
13,calibration,all200,0.022267183911766724,0.1152408815578905,0.8624919345303422,0.11307452347311339,2.1797081778821323,412641689.62537616,cycles/pixel,2D separable Hann
