folder,role,subset,frame_count,nps_2d_correlation_with_all200,low_fraction,mid_fraction,high_fraction,low_abs_error,mid_abs_error,high_abs_error
1,calibration,first50,50,0.9985996970505434,0.17997111971145943,0.11137362909437921,0.7086552511941612,0.06569718183432224,0.0020063813185961094,0.0636908005157264
1,calibration,middle50,50,0.8123872455166667,0.027711431603599092,0.11559530669431388,0.8566932617020867,0.08656250627353809,0.002215296281338555,0.08434720999219913
1,calibration,last50,50,0.9985867731812782,0.16547776919148738,0.11210203534496394,0.7224201954635491,0.05120383131435019,0.0012779750680113888,0.049925856246338496
1,calibration,first100,100,0.9994454161700241,0.11757607633063843,0.11325048242205797,0.7691734412473039,0.0033021384535012466,0.00012952799091735245,0.003172610462583658
1,calibration,last100,100,0.999329513374872,0.1109170250708501,0.11351168695458795,0.7755712879745621,0.0033569128062870823,0.00013167654161262698,0.0032252362646745247
2,evaluation,first50,50,0.9614788948525892,0.027335368646844778,0.11645579411122572,0.8562088372419291,0.0028150602938788426,0.00020014800893823625,0.00261491228494104
2,evaluation,middle50,50,0.9478903440730105,0.021608369386404487,0.11684492605697534,0.8615467045566202,0.0029119389665614483,0.00018898393681138215,0.0027229550297500626
2,evaluation,last50,50,0.9684227476723831,0.026435118512625005,0.11677064335790187,0.8567942381294731,0.0019148101596590701,0.00011470123773790752,0.0020295113973970436
2,evaluation,first100,100,0.9874652603820936,0.024613749626454757,0.1165924039352782,0.8587938464382668,9.344127348882153e-05,6.353818488576135e-05,2.9903088603289163e-05
2,evaluation,last100,100,0.9879034771556343,0.02442703152469102,0.11671936848561466,0.858853599989694,9.327682827491371e-05,6.342636545070279e-05,2.9850462823888257e-05
4,calibration,first50,50,0.9995093122569281,0.08180508229266233,0.10068243744976664,0.817512480257571,0.02640384820015411,0.0023274115342907797,0.02407643666586312
4,calibration,middle50,50,0.8038239485921934,0.01993047454863543,0.10561958926666326,0.874449936184701,0.035470759543872785,0.002609740282605841,0.032861019261266944
4,calibration,last50,50,0.9995383093265358,0.08166785671940546,0.10125388323362738,0.8170782600469674,0.026266622626897246,0.0017559657504300358,0.024510656876466697
4,calibration,first100,100,0.9996740399408582,0.05570593740750775,0.10270951099198548,0.8415845516005066,0.00030470331499952985,0.00030033799207193623,4.365322927468718e-06
4,calibration,last100,100,0.9996708482047189,0.05509694239559297,0.10330978125507935,0.8415932763493278,0.00030429169691524593,0.0002999322710219299,4.359425893718516e-06
5,evaluation,first50,50,0.9998839247782514,0.2458037477395207,0.08606521379799408,0.6681310384624849,0.08546258875376816,0.0066558092938095725,0.07880677945995918
5,evaluation,middle50,50,0.9819576498443776,0.0280998754374146,0.10377151848099013,0.8681286060815954,0.13224128354833795,0.011050495389186482,0.1211907881591513
5,evaluation,last50,50,0.9999134312887956,0.23786665456709105,0.08653408108885645,0.6755992643440525,0.0775254955813385,0.006186942002947199,0.07133855357839158
5,evaluation,first100,100,0.9999470799486108,0.16199920978226262,0.09261249959679409,0.745388290620943,0.0016580507965100744,0.00010852349500956038,0.0015495273015010413
5,evaluation,last100,100,0.9999441328592219,0.1586764294744044,0.09282998372509504,0.7484935868005004,0.0016647295113481342,0.00010896063329139671,0.0015557688780563073
7,calibration,first50,50,0.9998667266124038,0.10893232278062225,0.09488415291413468,0.7961835243052433,0.0400142139771591,0.004457743111990292,0.03555647086516833
7,calibration,middle50,50,0.9310837834402849,0.02013931091276689,0.10442607380576892,0.8754346152814639,0.04877879789069626,0.005084177779643942,0.043694620111052296
7,calibration,last50,50,0.9998606182016243,0.09801303819729855,0.09642839924189606,0.8055585625608049,0.0290949293938354,0.0029134967842289194,0.026181432609606703
7,calibration,first100,100,0.9999191137260757,0.07208511905332464,0.09886003867957309,0.8290548422671026,0.0031670102498614905,0.0004818573465518866,0.0026851529033090626
7,calibration,last100,100,0.9998960882947722,0.06572852741730936,0.09982718754780881,0.8344442850348819,0.0031895813861537864,0.0004852915216838338,0.002704289864470244
