folder,role,subset,frequency_cycles_per_pixel,nps_dn2_pixel2,normalized_nps
1,calibration,all200,0.0027621358640099515,268906.31425640377,21.250145745061634
1,calibration,all200,0.008286407592029855,216307.80354473362,17.09358281091492
1,calibration,all200,0.013810679320049757,120739.26075675692,9.541341174256136
1,calibration,all200,0.019334951048069662,109376.28957881345,8.643389802991587
1,calibration,all200,0.02485922277608956,98133.13463583279,7.754906831391156
1,calibration,all200,0.030383494504109466,78201.13244261786,6.179793384286153
1,calibration,all200,0.035907766232129365,50899.82078560692,4.022325072888862
1,calibration,all200,0.04143203796014927,31242.867857902365,2.4689472142371467
1,calibration,all200,0.046956309688169176,24988.436957052967,1.9746948997721965
1,calibration,all200,0.05248058141618908,17661.64398325567,1.3956998733161439
1,calibration,all200,0.05800485314420898,18352.334395438163,1.4502812317501441
1,calibration,all200,0.06352912487222889,14356.230583299186,1.1344917395800937
1,calibration,all200,0.06905339660024878,11500.431441475828,0.9088140787554257
1,calibration,all200,0.07457766832826869,8806.386688706627,0.6959189528139912
1,calibration,all200,0.0801019400562886,7767.955871938969,0.6138576361673493
1,calibration,all200,0.08562621178430849,7351.663033593075,0.5809603666780184
1,calibration,all200,0.0911504835123284,7230.268972906472,0.5713672803672394
1,calibration,all200,0.0966747552403483,7139.91589913671,0.5642271877612658
1,calibration,all200,0.1021990269683682,6506.93352414391,0.5142061692520958
1,calibration,all200,0.10772329869638811,6052.166038658389,0.4782684659169931
1,calibration,all200,0.113247570424408,5985.122759519435,0.4729704145980078
1,calibration,all200,0.11877184215242792,5855.888761830783,0.4627577823892964
1,calibration,all200,0.12429611388044781,5642.451218050595,0.4458910199804663
1,calibration,all200,0.1298203856084677,5526.971331495149,0.43676529741529607
1,calibration,all200,0.13534465733648762,5499.063499039852,0.4345598991941954
1,calibration,all200,0.14086892906450754,5506.571190058212,0.4351531895704002
1,calibration,all200,0.14639320079252743,5479.263775218109,0.43299523895894776
1,calibration,all200,0.15191747252054733,5412.960257248405,0.4277556467829043
1,calibration,all200,0.15744174424856722,5360.463299147991,0.4236071089774942
1,calibration,all200,0.16296601597658714,5288.707435741963,0.41793664876663095
1,calibration,all200,0.16849028770460706,5287.117022349896,0.41781096738770984
1,calibration,all200,0.17401455943262695,5280.364237083729,0.4172773329452165
1,calibration,all200,0.17953883116064684,5287.9523024390555,0.41787697485087294
1,calibration,all200,0.18506310288866673,5218.551490048038,0.41239262100736823
1,calibration,all200,0.19058737461668665,5160.827380408203,0.4078310109676694
1,calibration,all200,0.19611164634470657,5181.927702942213,0.40949845016617026
1,calibration,all200,0.20163591807272646,5126.778466732797,0.4051403178165465
1,calibration,all200,0.20716018980074635,5113.023695594525,0.4040533560165363
1,calibration,all200,0.21268446152876624,5068.618095091643,0.40054423245730497
1,calibration,all200,0.21820873325678616,5066.435861899696,0.4003717829054719
1,calibration,all200,0.22373300498480608,5033.582446232062,0.39777556320311624
1,calibration,all200,0.22925727671282597,5030.366453249554,0.3975214214594299
1,calibration,all200,0.23478154844084587,4998.684109103326,0.39501774491871994
1,calibration,all200,0.24030582016886576,4998.931140494584,0.39503726641297104
1,calibration,all200,0.24583009189688568,4979.227349862239,0.3934801872353201
1,calibration,all200,0.2513543636249056,4915.108862415125,0.3884132656683356
1,calibration,all200,0.2568786353529255,4904.394658215502,0.38756658268354244
1,calibration,all200,0.2624029070809454,4895.355961940121,0.3868523056174634
1,calibration,all200,0.2679271788089653,4898.157426448047,0.3870736895193538
1,calibration,all200,0.27345145053698516,4864.067445087242,0.38437975102123134
1,calibration,all200,0.2789757222650051,4875.327569300573,0.3852695749783312
1,calibration,all200,0.284499993993025,4868.531959034769,0.3847325563182291
1,calibration,all200,0.2900242657210449,4796.141726024959,0.3790119654640082
1,calibration,all200,0.29554853744906484,4799.433350540789,0.3792720839401877
1,calibration,all200,0.3010728091770847,4773.824930976674,0.37724839532007126
1,calibration,all200,0.3065970809051046,4785.324669367477,0.37815715463095023
1,calibration,all200,0.3121213526331245,4739.289435441817,0.3745192503555024
1,calibration,all200,0.3176456243611444,4732.672841601127,0.37399637835140187
1,calibration,all200,0.32316989608916435,4709.145264118165,0.37213712691685036
1,calibration,all200,0.3286941678171842,4704.648439816392,0.37178176831522414
1,calibration,all200,0.33421843954520414,4718.330879336658,0.37286301415639245
1,calibration,all200,0.33974271127322403,4692.391557312979,0.37081317618566456
1,calibration,all200,0.3452669830012439,4692.433036172784,0.3708164540254529
1,calibration,all200,0.35079125472926387,4679.324024223252,0.3697805229233082
1,calibration,all200,0.3563155264572837,4673.696640856742,0.3693358226304484
1,calibration,all200,0.36183979818530365,4643.698364338596,0.36696522843345436
1,calibration,all200,0.36736406991332354,4624.027256286489,0.3654107319753476
1,calibration,all200,0.37288834164134343,4633.3794879163215,0.3661497859679066
1,calibration,all200,0.3784126133693634,4599.108846605794,0.3634415709353245
1,calibration,all200,0.3839368850973832,4595.9133924319185,0.3631890522575676
1,calibration,all200,0.38946115682540317,4563.978839103363,0.360665445051051
1,calibration,all200,0.39498542855342306,4571.1280881391185,0.36123040978383414
1,calibration,all200,0.40050970028144295,4591.242442888941,0.3628199335225517
1,calibration,all200,0.4060339720094629,4550.541519814289,0.35960356967595863
1,calibration,all200,0.41155824373748273,4517.840978805341,0.3570194307935971
1,calibration,all200,0.4170825154655027,4510.054222333888,0.3564040874523399
1,calibration,all200,0.42260678719352257,4501.659818589716,0.3557407251824735
1,calibration,all200,0.42813105892154246,4525.508388583068,0.35762534284037945
1,calibration,all200,0.4336553306495624,4502.433781845155,0.3558018871229243
1,calibration,all200,0.43917960237758225,4481.7174340053225,0.3541647912736908
1,calibration,all200,0.4447038741056022,4498.096136991962,0.3554591075731932
1,calibration,all200,0.4502281458336221,4495.653889096497,0.3552661105293427
1,calibration,all200,0.455752417561642,4481.980955719333,0.3541856159049205
1,calibration,all200,0.4612766892896619,4473.529200320747,0.3535177214580451
1,calibration,all200,0.46680096101768176,4465.59692603809,0.3528908786668582
1,calibration,all200,0.4723252327457017,4460.97950655271,0.35252599010966035
1,calibration,all200,0.4778495044737216,4472.88148725947,0.35346653635667935
1,calibration,all200,0.4833737762017415,4461.1931620065225,0.3525428740922671
1,calibration,all200,0.48889804792976144,4446.670914720453,0.3513952629912479
1,calibration,all200,0.4944223196577813,4435.800785699172,0.35053625814932515
1,calibration,all200,0.4999465913858012,4440.345383271849,0.35089539200246317
1,calibration,all200,0.5054708631138212,4433.288677916566,0.3503377404735491
1,calibration,all200,0.510995134841841,4413.145185140522,0.3487459141213521
1,calibration,all200,0.516519406569861,4421.38019153213,0.3493966801196035
1,calibration,all200,0.5220436782978808,4437.371582482003,0.35066038933852145
1,calibration,all200,0.5275679500259007,4413.879093895623,0.3488039107810906
1,calibration,all200,0.5330922217539207,4416.350717218569,0.3489992291988999
1,calibration,all200,0.5386164934819405,4406.41239518851,0.3482138597954923
1,calibration,all200,0.5441407652099605,4408.054558670932,0.3483436306914832
1,calibration,all200,0.5496650369379803,4421.571454126245,0.3494117945211071
1,calibration,all200,0.5551893086660002,4417.29049115595,0.3490734942201285
1,calibration,all200,0.5607135803940202,4412.3622285015435,0.3486840414846445
1,calibration,all200,0.56623785212204,4395.799227132632,0.34737516112592814
1,calibration,all200,0.57176212385006,4377.4882557843375,0.3459281485819464
1,calibration,all200,0.5772863955780798,4399.147520197444,0.34763975779715606
1,calibration,all200,0.5828106673060998,4396.436728142596,0.3474255392266128
1,calibration,all200,0.5883349390341197,4384.137993830331,0.3464536397852102
1,calibration,all200,0.5938592107621395,4420.205941567582,0.3493038857835658
1,calibration,all200,0.5993834824901595,4422.886745454124,0.34951573455870694
1,calibration,all200,0.6049077542181793,4409.295211909054,0.34844167250281843
1,calibration,all200,0.6104320259461993,4418.570886365633,0.3491746766147937
1,calibration,all200,0.6159562976742192,4399.168869336145,0.3476414448988896
1,calibration,all200,0.6214805694022391,4347.992661432418,0.3435972785146193
1,calibration,all200,0.627004841130259,4332.96944880288,0.3424100789547297
1,calibration,all200,0.6325291128582788,4342.153499028297,0.3431358425217168
1,calibration,all200,0.6380533845862988,4367.435416208052,0.3451337295042891
1,calibration,all200,0.6435776563143187,4371.490484890834,0.34545417865682626
1,calibration,all200,0.6491019280423386,4353.158745661115,0.34400552494458747
1,calibration,all200,0.6546261997703585,4401.563554438625,0.3478306833241082
1,calibration,all200,0.6601504714983784,4385.291692097716,0.34654481003681087
1,calibration,all200,0.6656747432263983,4429.6929015122605,0.3500535865931561
1,calibration,all200,0.6711990149544182,4379.120594868621,0.34605714311129504
1,calibration,all200,0.6767232866824381,4365.873391385317,0.34501029151350665
1,calibration,all200,0.682247558410458,4360.747934883347,0.3446052556630915
1,calibration,all200,0.6877718301384779,4351.0411010718035,0.34383817946486694
1,calibration,all200,0.6932961018664978,4363.27570570879,0.3448050111005915
1,calibration,all200,0.6988203735945178,4335.910347387862,0.34264248154343474
1,calibration,all200,0.7043446453225376,4468.61785069839,0.35312960526386555
2,evaluation,all200,0.0027621358640099515,40059.4486421639,16.008312287197114
2,evaluation,all200,0.008286407592029855,12358.178445551943,4.938499818718855
2,evaluation,all200,0.013810679320049757,6702.670888675255,2.678480418007633
2,evaluation,all200,0.019334951048069662,5477.279553224899,2.1887970140461555
2,evaluation,all200,0.02485922277608956,4754.550236575861,1.8999843370825265
2,evaluation,all200,0.030383494504109466,3850.530754313219,1.5387255909863922
2,evaluation,all200,0.035907766232129365,3525.003266113651,1.4086402836294494
2,evaluation,all200,0.04143203796014927,3172.1793355330415,1.2676469386240483
2,evaluation,all200,0.046956309688169176,3058.788032982628,1.2223341985987524
2,evaluation,all200,0.05248058141618908,2894.0232610546423,1.1564919063966617
2,evaluation,all200,0.05800485314420898,2835.8242714361054,1.1332347814937425
2,evaluation,all200,0.06352912487222889,2680.0434672140996,1.0709826076155482
2,evaluation,all200,0.06905339660024878,2630.171392243993,1.0510530335052428
2,evaluation,all200,0.07457766832826869,2562.0135642713176,1.023816218421991
2,evaluation,all200,0.0801019400562886,2503.0315545722074,1.0002461878151283
2,evaluation,all200,0.08562621178430849,2522.94738213006,1.008204829229591
2,evaluation,all200,0.0911504835123284,2472.7279519135086,0.9881364471364462
2,evaluation,all200,0.0966747552403483,2365.118882258173,0.9451343677178038
2,evaluation,all200,0.1021990269683682,2422.447943477843,0.9680438571452336
2,evaluation,all200,0.10772329869638811,2427.4698146458163,0.9700506666408184
2,evaluation,all200,0.113247570424408,2407.237066560142,0.9619653793799559
2,evaluation,all200,0.11877184215242792,2363.1306690439988,0.9443398500920037
2,evaluation,all200,0.12429611388044781,2337.8663746246516,0.9342438870049102
2,evaluation,all200,0.1298203856084677,2309.5763546757653,0.9229388019549842
2,evaluation,all200,0.13534465733648762,2317.2991721273283,0.9260249471140445
2,evaluation,all200,0.14086892906450754,2324.84643289116,0.9290409373813984
2,evaluation,all200,0.14639320079252743,2299.5980036354335,0.9189513142341278
2,evaluation,all200,0.15191747252054733,2277.177619132059,0.9099918170644317
2,evaluation,all200,0.15744174424856722,2261.464642363797,0.903712693222396
2,evaluation,all200,0.16296601597658714,2221.666392211404,0.8878087594809584
2,evaluation,all200,0.16849028770460706,2222.5038214063707,0.888143407823006
2,evaluation,all200,0.17401455943262695,2239.4383086215357,0.8949106642120163
2,evaluation,all200,0.17953883116064684,2214.718786906152,0.8850323998668225
2,evaluation,all200,0.18506310288866673,2207.2999574034543,0.882067732515918
2,evaluation,all200,0.19058737461668665,2168.241332180961,0.8664593631732566
2,evaluation,all200,0.19611164634470657,2173.215316436222,0.8684470363931525
2,evaluation,all200,0.20163591807272646,2173.8863510864235,0.8687151911631272
2,evaluation,all200,0.20716018980074635,2153.7033103907793,0.8606497676659848
2,evaluation,all200,0.21268446152876624,2162.290239525422,0.8640812238600849
2,evaluation,all200,0.21820873325678616,2148.20582457727,0.8584528959495712
2,evaluation,all200,0.22373300498480608,2102.6690790188486,0.8402557797098188
2,evaluation,all200,0.22925727671282597,2115.5081157423297,0.8453864371777289
2,evaluation,all200,0.23478154844084587,2114.2355483822253,0.8448779015788239
2,evaluation,all200,0.24030582016886576,2108.885773803805,0.8427400573243395
2,evaluation,all200,0.24583009189688568,2095.3917664344417,0.8373476644857836
2,evaluation,all200,0.2513543636249056,2089.32744234838,0.8349242763196701
2,evaluation,all200,0.2568786353529255,2077.1912194932693,0.8300744730388745
2,evaluation,all200,0.2624029070809454,2063.7876872919514,0.8247182353345852
2,evaluation,all200,0.2679271788089653,2060.5254137994048,0.8234145855189967
2,evaluation,all200,0.27345145053698516,2046.5624103880634,0.8178347753455566
2,evaluation,all200,0.2789757222650051,2050.431590322199,0.8193809534079228
2,evaluation,all200,0.284499993993025,2028.3715776715972,0.8105654658378153
2,evaluation,all200,0.2900242657210449,2011.6406266924,0.8038795453567513
2,evaluation,all200,0.29554853744906484,2014.399394067247,0.8049819871316938
2,evaluation,all200,0.3010728091770847,2007.954206864758,0.8024064007723175
2,evaluation,all200,0.3065970809051046,1977.91498802415,0.7904023115408505
2,evaluation,all200,0.3121213526331245,1978.8332719406687,0.7907692705530739
2,evaluation,all200,0.3176456243611444,1981.3167293886902,0.791761694655937
2,evaluation,all200,0.32316989608916435,1955.5052799287673,0.7814470808121322
2,evaluation,all200,0.3286941678171842,1948.2887785624882,0.7785632665958081
2,evaluation,all200,0.33421843954520414,1948.291774041363,0.7785644636307874
2,evaluation,all200,0.33974271127322403,1950.82038574396,0.779574932001179
2,evaluation,all200,0.3452669830012439,1928.5719409386895,0.7706841443238777
2,evaluation,all200,0.35079125472926387,1932.9137620528984,0.7724191963689586
2,evaluation,all200,0.3563155264572837,1912.4323150683201,0.7642345255725237
2,evaluation,all200,0.36183979818530365,1912.0346594061796,0.7640756168446683
2,evaluation,all200,0.36736406991332354,1911.2841433120345,0.7637757001853313
2,evaluation,all200,0.37288834164134343,1903.8530858276758,0.7608061463630522
2,evaluation,all200,0.3784126133693634,1904.7535541012526,0.7611659859968148
2,evaluation,all200,0.3839368850973832,1901.2559994966898,0.7597683145797292
2,evaluation,all200,0.38946115682540317,1891.9026940183765,0.7560306037502098
2,evaluation,all200,0.39498542855342306,1880.8465988810558,0.7516124345133796
2,evaluation,all200,0.40050970028144295,1873.725446174484,0.7487667229463053
2,evaluation,all200,0.4060339720094629,1878.2371941260003,0.7505696801166388
2,evaluation,all200,0.41155824373748273,1870.4325664095886,0.7474508424390246
2,evaluation,all200,0.4170825154655027,1848.7623857637466,0.7387911371545767
2,evaluation,all200,0.42260678719352257,1853.393739122771,0.7406418903076191
2,evaluation,all200,0.42813105892154246,1860.3952020914276,0.743439772192382
