folder,frame_count,crop_size,radius_px,psd_mean,psd_norm
1,128,512,0,4.3655745685100555e-10,7.38088134546269e-22
1,128,512,1,31378145408.0,0.053051062228486025
1,128,512,2,21932059168.0,0.03708055465329576
1,128,512,3,30082757785.6,0.05086094906302048
1,128,512,4,30225547456.0,0.051102363703416795
1,128,512,5,17837534227.2,0.030157937187985404
1,128,512,6,8764045852.444445,0.014817381201018848
1,128,512,7,14788945962.666666,0.025003685920810252
1,128,512,8,24516952576.0,0.04145083655679058
1,128,512,9,18978668937.142857,0.03208725479809595
1,128,512,10,16093031868.235294,0.027208505282440665
1,128,512,11,12891073608.0,0.021794951208162935
1,128,512,12,21565885939.2,0.036461465204417065
1,128,512,13,23717373206.260868,0.040098986906370204
1,128,512,14,22665921780.363636,0.038321296915447965
1,128,512,15,23427306213.333332,0.03960857034757941
1,128,512,16,15527035578.666666,0.026251574782292557
1,128,512,17,14806000132.413794,0.025032519422878204
1,128,512,18,11977849640.533333,0.02025096252123859
1,128,512,19,9812795701.333334,0.016590503632956295
1,128,512,20,10257099038.967741,0.017341687735989913
1,128,512,21,7092185376.0,0.011990764999839934
1,128,512,22,8852216261.647058,0.014966451001177477
1,128,512,23,7879995933.257143,0.01332271710707478
1,128,512,24,5532061576.421053,0.009353062111430758
1,128,512,25,4791581098.666667,0.008101131017558282
1,128,512,26,4300187505.454545,0.007270331371715312
1,128,512,27,4468612629.853659,0.007555087900157551
1,128,512,28,3458954648.3809524,0.0058480581280621015
1,128,512,29,3693275338.6666665,0.006244224356503375
1,128,512,30,3338916203.574468,0.005645109007824552
1,128,512,31,2643509473.230769,0.0044693841443606405
1,128,512,32,2557985733.12,0.0043247890703167645
1,128,512,33,2543828819.6923075,0.004300853962443106
1,128,512,34,2688033184.5614033,0.004544660428211451
1,128,512,35,2267096093.5384617,0.003832981661994678
1,128,512,36,2165574578.7586207,0.0036613391341114854
1,128,512,37,2261611038.3157897,0.0038237080735731496
1,128,512,38,2188379369.0,0.003699895216074651
1,128,512,39,2091963028.6451614,0.003536884011763534
1,128,512,40,2021757378.1694915,0.003418187247383491
1,128,512,41,1926334558.1176472,0.003256855788855118
1,128,512,42,1926438085.8181818,0.003257030823243289
1,128,512,43,1837620424.8888888,0.003106866713934675
1,128,512,44,1821873839.3043478,0.0030802439457350388
1,128,512,45,1823233064.4705882,0.003082541989100545
1,128,512,46,1821922712.2162163,0.0030803265752166447
1,128,512,47,1775304943.3424656,0.003001509866156332
1,128,512,48,1707900845.128205,0.002887549689022726
1,128,512,49,1697698284.631579,0.0028703002096555227
1,128,512,50,1693006563.8095238,0.0028623679125087936
1,128,512,51,1700258632.691358,0.002874628992713915
1,128,512,52,1686940374.974359,0.0028521118008999146
1,128,512,53,1656996515.7209303,0.0028014856877259455
1,128,512,54,1607514712.493827,0.0027178267528830506
1,128,512,55,1608969876.4255319,0.002720287000016517
1,128,512,56,1605042318.8837209,0.0027136466745018213
1,128,512,57,1609631416.8888888,0.0027214054671480786
1,128,512,58,1603183049.142857,0.0027105032052674363
1,128,512,59,1582134013.9130435,0.0026749155800809667
1,128,512,60,1579037438.6938775,0.0026696801972209815
1,128,512,61,1598301781.1134021,0.002702250440465138
1,128,512,62,1578099162.122449,0.00266809385207116
1,128,512,63,1560737136.0,0.002638739856917584
1,128,512,64,1541443433.5670104,0.0026061199746689194
1,128,512,65,1559706426.074074,0.0026369972346016748
1,128,512,66,1543799066.88,0.002610102646297532
1,128,512,67,1546012251.1698112,0.00261384447921835
1,128,512,68,1522863793.2743363,0.002574707358004257
1,128,512,69,1519915616.0,0.002569722871699928
1,128,512,70,1514178053.7142856,0.0025600223693311155
1,128,512,71,1519292127.1028037,0.0025686687383898216
1,128,512,72,1522404409.6,0.0025739306775606845
1,128,512,73,1523515713.1034484,0.002575809559519755
1,128,512,74,1516579085.2413793,0.0025640817957663033
1,128,512,75,1499663036.235294,0.0025354818145751543
1,128,512,76,1506313721.6,0.0025467261350586435
1,128,512,77,1498538550.1935484,0.0025335806448852304
1,128,512,78,1491197501.8487394,0.0025211691270119177
1,128,512,79,1490941227.3548386,0.0025207358434654646
1,128,512,80,1478831588.9230769,0.0025002620655013895
1,128,512,81,1473418978.304,0.0024911109592445483
1,128,512,82,1491784983.402985,0.002522162382670821
1,128,512,83,1479765598.984127,0.0025018411972577924
1,128,512,84,1478235154.1492538,0.002499253672625077
1,128,512,85,1480045957.1386862,0.002502315199073718
1,128,512,86,1471256987.764706,0.0024874556796495905
1,128,512,87,1458472346.8985507,0.0024658406743858848
1,128,512,88,1452877539.1755726,0.0024563815273009057
1,128,512,89,1472447164.5866666,0.002489467912808171
1,128,512,90,1460561735.4202898,0.002469373205676214
1,128,512,91,1449995682.0,0.002451509168454741
1,128,512,92,1480071882.5931034,0.002502359031265765
1,128,512,93,1458040565.041096,0.0024651106603620757
1,128,512,94,1436122324.631579,0.002428053469097746
1,128,512,95,1443791030.0689654,0.002441018957149407
1,128,512,96,1448477304.32,0.0024489420457729943
1,128,512,97,1443316945.012658,0.0024402174210644435
1,128,512,98,1448104853.0526316,0.002448312342037948
1,128,512,99,1434697168.6956522,0.0024256439565131407
1,128,512,100,1432693640.0,0.0024222565885177556
1,128,512,101,1439707457.5421686,0.0024341148569415475
1,128,512,102,1424347193.2422361,0.002408145242529156
1,128,512,103,1428555982.3589745,0.002415261046552479
1,128,512,104,1420548713.5238094,0.0024017231490212165
1,128,512,105,1435181700.372671,0.002426463154710324
1,128,512,106,1429674066.0229886,0.002417151391735886
1,128,512,107,1423914805.9047618,0.0024074142048196643
1,128,512,108,1406142378.2168674,0.0023773663433236383
1,128,512,109,1407662177.3099415,0.0023799358691899094
1,128,512,110,1415817742.511628,0.0023937244915382787
1,128,512,111,1403235914.8444445,0.002372452382755532
1,128,512,112,1402446987.52,0.002371118542528882
1,128,512,113,1409755310.3820224,0.0023834747313952946
1,128,512,114,1404132269.935484,0.0023739678512159916
1,128,512,115,1401960521.2444444,0.002370296073503992
1,128,512,116,1405758859.083799,0.0023767179271368404
1,128,512,117,1400184646.6086957,0.0023672936004583076
1,128,512,118,1412872521.7021277,0.002388745003732043
1,128,512,119,1397200379.2592592,0.002362248096627446
1,128,512,120,1389235075.06383,0.0023487811487550967
1,128,512,121,1396547578.4347825,0.0023611444056121926
1,128,512,122,1390264434.7357514,0.002350521488195192
1,128,512,123,1406935884.737864,0.0023787079256025376
