folder,frame_count,crop_size,radius_px,autocorr_mean,autocorr_norm
1,128,512,0,1.0,0.6041657704083581
1,128,512,1,0.09705476779686313,0.05863716855779611
1,128,512,2,0.07431690831300874,0.04489973216529623
1,128,512,3,0.06715898141370466,0.04057515774565147
1,128,512,4,0.06005169836678456,0.03628118060809873
1,128,512,5,0.05158594367698956,0.03116646140385056
1,128,512,6,0.04422323578871398,0.026718165320238855
1,128,512,7,0.03655384191401383,0.022084580061365492
1,128,512,8,0.029659765700551646,0.017919415194605177
1,128,512,9,0.0234870017327698,0.014190042496461306
1,128,512,10,0.017587990512559375,0.010626061837955326
1,128,512,11,0.013694905749149602,0.00827399328260482
1,128,512,12,0.00860748467488104,0.005200347609877639
1,128,512,13,0.005315226990429422,0.00321127820956809
1,128,512,14,0.0024157841592016833,0.0014595340976843924
1,128,512,15,0.0001385703064570428,8.371943595634153e-05
1,128,512,16,-0.0010329793010239753,-0.0006240907352190372
1,128,512,17,-0.0030427116936269354,-0.0018383022545106374
1,128,512,18,-0.003031621263930463,-0.0018316017965089083
1,128,512,19,-0.003909395010210424,-0.0023619226481743716
1,128,512,20,-0.003728587727100303,-0.0022526850766787032
1,128,512,21,-0.004094197121701413,-0.002473573758236416
1,128,512,22,-0.0032090144472195666,-0.0019387766857559606
1,128,512,23,-0.0025581231437995905,-0.0015455304399731304
1,128,512,24,-0.0026119551671068882,-0.0015780539058072246
1,128,512,25,-0.0016039283736418554,-0.0009690386215411563
1,128,512,26,-0.001550581752393116,-0.0009368084190157288
1,128,512,27,-0.00027730942851357494,-0.00016754086451940548
1,128,512,28,0.0004023633943442915,0.00024309419012814087
1,128,512,29,7.81069358599697e-05,4.7189537078074795e-05
1,128,512,30,0.0010391298376658696,0.0006278066789277121
1,128,512,31,0.0010889709744480753,0.0006579189877297618
1,128,512,32,0.002282715233626996,0.001379138407747149
1,128,512,33,0.0020876833101810526,0.0012613067954642067
1,128,512,34,0.0020343846294843906,0.0012291055569793588
1,128,512,35,0.0029274508132092173,0.001768665575895121
1,128,512,36,0.002621569813399547,0.0015838627459918329
1,128,512,37,0.0029830133527200785,0.0018022345603845452
1,128,512,38,0.00254077834807039,0.0015350513080988222
1,128,512,39,0.00278765992499952,0.0016842087062238407
1,128,512,40,0.0030337864971129967,0.0018329099562827476
1,128,512,41,0.0026955391336994155,0.0016285524773773854
1,128,512,42,0.0024260482036125176,0.0014657352819833697
1,128,512,43,0.002182777889320957,0.0013187596851319257
1,128,512,44,0.0019686767310655756,0.0011894070939092415
1,128,512,45,0.0018875086853471423,0.0011403681390352233
1,128,512,46,0.0014319513196159516,0.0008651359722030363
1,128,512,47,0.0010709137419277995,0.0006470094259327065
1,128,512,48,0.0009316136182195268,0.0005628490593745184
1,128,512,49,0.0005730811232531749,0.00034623599833674164
1,128,512,50,0.00029081471243537293,0.00017570029478460218
1,128,512,51,6.0306009690587554e-05,3.6434826804967736e-05
1,128,512,52,-0.0001848486662111416,-0.0001116792368304118
1,128,512,53,-0.00024860470865613267,-0.0001501984553323778
1,128,512,54,-0.0004033899065278035,-0.00024371437365232592
1,128,512,55,-0.000729924306265991,-0.00044099528083497877
1,128,512,56,-0.0006353705670992988,-0.00038386914816634324
1,128,512,57,-0.0008075732853231471,-0.00048790813608846787
