folder,frame_count,crop_size,frequency_cycles_per_pixel,horizontal_psd_norm,vertical_psd_norm
1,128,512,-0.5,0.0007279172329181442,0.0005864111776942031
1,128,512,-0.498046875,0.0007081053936902167,0.0006332138859592342
1,128,512,-0.49609375,0.0006862573974699374,0.0006377094358075075
1,128,512,-0.494140625,0.0006357039706118118,0.0006485112136941228
1,128,512,-0.4921875,0.0006925717579681223,0.0006343402099294285
1,128,512,-0.490234375,0.0006835609740822392,0.0006354414074095739
1,128,512,-0.48828125,0.0006367632422356103,0.0005963664293036398
1,128,512,-0.486328125,0.000716103738656442,0.0005942602203105182
1,128,512,-0.484375,0.0006444034637133456,0.0006125999772710933
1,128,512,-0.482421875,0.0007208725922390786,0.00061192640299671
1,128,512,-0.48046875,0.0007255509358083934,0.0006590992841706389
1,128,512,-0.478515625,0.0006414703372655791,0.0006268717354556931
1,128,512,-0.4765625,0.0006879754269888601,0.0006104651312926625
1,128,512,-0.474609375,0.0006203185900147493,0.0006349880966757078
1,128,512,-0.47265625,0.0006607385835946907,0.0006184300923860353
1,128,512,-0.470703125,0.0006669567737438584,0.0006373267196906588
1,128,512,-0.46875,0.0006923077565898158,0.0006427439829303523
1,128,512,-0.466796875,0.0006959572753288042,0.0006062420736204418
1,128,512,-0.46484375,0.0006584533441528337,0.0006400588067086324
1,128,512,-0.462890625,0.0007188938136129701,0.0006119888625619254
1,128,512,-0.4609375,0.0006588430215909221,0.0005885191499497842
1,128,512,-0.458984375,0.000713097159319424,0.0006451092111713693
1,128,512,-0.45703125,0.0006764856374995731,0.0006649212161448026
1,128,512,-0.455078125,0.0006806723345515708,0.000600794830911521
1,128,512,-0.453125,0.0006835959740552806,0.0006693994539616546
1,128,512,-0.451171875,0.00063794520059765,0.0006529086700458386
1,128,512,-0.44921875,0.0006370975065095796,0.0006458159868763835
1,128,512,-0.447265625,0.0006625068226439393,0.0005903498331539399
1,128,512,-0.4453125,0.0006711783738927367,0.0005743827061292974
1,128,512,-0.443359375,0.0006631016284333205,0.0005983673955724134
1,128,512,-0.44140625,0.0007192948947591592,0.0006299037293735507
1,128,512,-0.439453125,0.0006596427204609192,0.0005537021741720877
1,128,512,-0.4375,0.0006448507271094512,0.0006228853356574488
1,128,512,-0.435546875,0.0007020190519962348,0.000581499265475421
1,128,512,-0.43359375,0.0007220146514622181,0.0006319657125382547
1,128,512,-0.431640625,0.0006729206224519214,0.0006657172650266616
1,128,512,-0.4296875,0.0006614627467379737,0.0006466537409228257
1,128,512,-0.427734375,0.0006662661712706527,0.0006736015889218268
1,128,512,-0.42578125,0.0006710272885998569,0.0006322727766807587
1,128,512,-0.423828125,0.0006505786685259115,0.0006174648103822051
1,128,512,-0.421875,0.0007183478749271117,0.0006846454146551643
1,128,512,-0.419921875,0.0006803672853598834,0.0006364931533925579
1,128,512,-0.41796875,0.0006848015010033579,0.0006483628111136622
1,128,512,-0.416015625,0.0006089813873988382,0.0006483680367824061
1,128,512,-0.4140625,0.0006497159447934271,0.000590620421808019
1,128,512,-0.412109375,0.0007293668324342555,0.0006217182162058036
1,128,512,-0.41015625,0.0007597689106383361,0.0006556616837832756
1,128,512,-0.408203125,0.000666160437860595,0.0006321905365166787
1,128,512,-0.40625,0.0006856167138985743,0.000652944712733478
1,128,512,-0.404296875,0.0006638804435708859,0.0006129971521401104
1,128,512,-0.40234375,0.0006855679021528577,0.0006569526964671932
1,128,512,-0.400390625,0.0006897516098833148,0.0005736127334947667
1,128,512,-0.3984375,0.0006903348043728218,0.0006493447639625649
1,128,512,-0.396484375,0.000691457315370607,0.0006653305895841082
1,128,512,-0.39453125,0.0006756423581965561,0.0006371544810076766
1,128,512,-0.392578125,0.0007039709128890235,0.0006513661199572346
1,128,512,-0.390625,0.0007069171937355152,0.0006020154413343258
1,128,512,-0.388671875,0.000680522536327688,0.0007138780139935619
1,128,512,-0.38671875,0.0006828857679989142,0.0006116931233733095
1,128,512,-0.384765625,0.0007403773893942912,0.0006108696237008868
1,128,512,-0.3828125,0.0006873536896267077,0.0005613340990684101
1,128,512,-0.380859375,0.0007331021834519322,0.0006665247751145077
1,128,512,-0.37890625,0.0007207683119714366,0.000612099082495307
1,128,512,-0.376953125,0.0006942556732389048,0.0006393120730718359
1,128,512,-0.375,0.0006996831878405045,0.0006218695361841518
1,128,512,-0.373046875,0.0007250430417749237,0.0006461787059939747
1,128,512,-0.37109375,0.0006674673664703861,0.0006917925746197908
