experiment,condition_id,run_seed,pair_count,mean_residual_DN,mean_brightness_shift_DN,median_brightness_shift_DN,std_brightness_shift_DN,max_absolute_brightness_shift_DN,positive_ratio,mean_ci95_low_DN,mean_ci95_high_DN,mean_clipping_contribution_DN,z_mean_mean,z_mean_std,max_absolute_z_mean
CG,high,20260719,139,0.005730332258175588,0.04094179141561595,0.035308428106723966,0.3119073512008686,0.8070556526057615,0.5539568345323741,-0.010911255609762444,0.09279483844099434,0.035211459157440374,0.019765023280626338,1.038531348150159,2.7836909722251373
CG,high,20260720,139,0.040776954688880485,0.07557304230628528,0.05174020913008448,0.2969614538165341,1.0609505124125285,0.5683453237410072,0.026204676443189863,0.12494140816938071,0.034796087617404804,0.1406475964092468,0.962420225546078,2.470964572344696
CG,high,20260721,139,0.004804600075397249,0.03953314143301264,0.04658996773843738,0.2990556530070872,0.8334233049170819,0.5827338129496403,-0.010183374637797268,0.08924965750382255,0.03472854135761539,0.01657199409490433,0.9893592044679039,2.9731164108966492
CG,low,20260719,139,-0.006798589343969438,0.006226800624060324,0.005933471114398792,0.11382338074152305,0.3046321385434786,0.5251798561151079,-0.012695770746746498,0.025149371994867144,0.01302538996802976,-0.06294542141948252,1.0099073044240514,2.7451944135982624
CG,low,20260720,139,-0.006186203810463777,0.006794312071380731,0.009263490244895145,0.10823392807802272,0.30659329507359445,0.5755395683453237,-0.011199040572484453,0.024787664715245915,0.012980515881844505,-0.05727558852806061,0.9212037064049889,2.630305738200683
CG,low,20260721,139,0.013596672686089994,0.026707797353676538,0.03412143281513291,0.11163075311581735,0.40027485085001535,0.5827338129496403,0.008149739428760391,0.045265855278592684,0.013111124667586542,0.12588615797008929,1.0025436439147928,2.515176568131497
CG,mid,20260719,139,-0.015860236912865516,0.0049985777429565875,-0.009921706284194975,0.16787111599246438,0.4705334502416114,0.4892086330935252,-0.022909161007818216,0.03290631649373139,0.0208588146558221,-0.09203611426558093,0.9420633219539434,2.395942562974518
CG,mid,20260720,139,0.034268503463978195,0.054947190581809545,0.0673925013508736,0.17639197670227794,0.4803738804300062,0.6258992805755396,0.025622901084854603,0.08427148007876449,0.02067868711783134,0.19885830948481856,0.981204176489817,2.662483974217175
CG,mid,20260721,139,-0.0143307468255416,0.006363073018931191,0.020298953963782118,0.19225189802415044,0.7088596805611402,0.539568345323741,-0.025597849577422043,0.03832399561528443,0.020693819844472792,-0.08316056434672514,1.0347291120866557,2.8929546991019084
G,high,20260719,100,0.008814893643002803,0.008814878883837363,0.007885056603011975,0.19198668217682086,0.4971671041938208,0.51,-0.028814510822819522,0.04644426859049425,-1.4759165436473154e-08,0.04935550751961254,1.074953383811794,2.783690802883011
G,high,20260720,100,0.023064334804139667,0.023064339843662296,0.028624068494984556,0.16901288457621086,0.4413143628231708,0.56,-0.010062185533275037,0.05619086522059963,5.0395226326716e-09,0.1291396125651717,0.9463208091495079,2.470964477001512
G,high,20260721,100,0.001966163148976429,0.001966158976740928,0.02078954002724842,0.16192928592329728,0.4163188239823157,0.53,-0.029771981064225343,0.0337042990177072,-4.172235502780674e-09,0.01100875223391059,0.9066589156983919,2.3310123065575237
G,low,20260719,100,-0.015351866169825576,-0.015351270848480559,-0.014228948968781907,0.18738513034701484,0.49029177147852376,0.46,-0.052078756396495465,0.02137621469953435,5.953213450195227e-07,-0.08595669747942651,1.049185937742507,2.74519441110347
G,low,20260720,100,-0.025533129447459668,-0.025531202368517403,0.002896573404378433,0.15994696903651168,0.36859421040658535,0.52,-0.056880808299673694,0.005818403562638883,1.9270789422679015e-06,-0.1429626508816331,0.8955586575410349,2.063797404008469
G,low,20260721,100,0.025201734317530276,0.02520226777740202,0.04834107815887778,0.17020196353700057,0.44921065804806926,0.58,-0.00815731707585009,0.05856185263065414,5.334598717474104e-07,0.14110713503656366,0.9529791235261544,2.5151766814361505
G,mid,20260719,100,-0.010651843561440066,-0.010651839240549955,-0.01396421126613534,0.17322978792831104,0.42791526472831354,0.48,-0.044604877674498916,0.023301199193399003,4.320890110431907e-09,-0.05964078141903731,0.9699316365901336,2.3959425730361588
G,mid,20260720,100,0.03222075318432661,0.032220756479837485,0.0400054382424786,0.17544570478305666,0.47551971449620645,0.59,-0.002166601657641619,0.06660811461731658,3.2955108744681107e-09,0.18040735265580413,0.982338686902794,2.662484016363896
G,mid,20260721,100,-0.025543801569311943,-0.0255437950752214,-0.014329474888323812,0.1854633571242822,0.4972133509881349,0.48,-0.06189461307158071,0.010807022921137908,6.4940905442067984e-09,-0.14302240520331433,1.0384285841109364,2.7839486691359667
