experiment,run_seed,source,split,content_id,condition_id,sigma_DN,residual_seed,residual_mean_DN,residual_std_DN,residual_std_relative_error,residual_skewness,residual_excess_kurtosis,negative_before_clipping_ratio,above_one_before_clipping_ratio,added_zero_ratio,added_one_ratio,brightness_shift_DN,gradient_ratio,noisy_round_trip_max_error_DN,residual_reconstruction_max_error_DN,patch_height,patch_width,number_of_pixels,standard_error_mean_DN,z_mean,clipping_mean_contribution_DN
CG,20260721,PMRID,validation,pmrid_gt_008,high,148.4405090006516,329868904,0.8023470278921139,148.32731510407623,0.0007625539506527597,-0.002624492859467864,-0.016245365142822266,0.0004425048828125,0.0,0.000408172607421875,0.0,0.8334233049170819,1.011162067719766,0.5,0.5,512,512,262144,0.28992286914189763,2.767449943727686,0.03107627702496807
CG,20260719,sCMOS,training,content_065,high,148.4405090006516,3886818599,0.7878615036239163,148.3915184312996,0.00033003504017741425,-0.008987834677100182,-0.006624698638916016,0.0,0.0,0.0,0.0,0.7878616612661382,1.3954295692787286,0.5,0.5,512,512,262144,0.28992286914189763,2.7174865713622314,1.5764222194292188e-07
G,20260719,sCMOS,training,content_065,high,91.4432,3886818599,0.4853430685085285,91.41301717927468,0.0003300717901968589,-0.008987694047391415,-0.0066242218017578125,0.0,0.0,0.0,0.0,0.48534301856406614,1.1496697127655873,0.5,0.5,512,512,262144,0.1786,2.717486385826027,-4.994446234363181e-08
CG,20260719,PMRID,validation,pmrid_gt_015,low,55.29993549356029,4033295723,0.2929282350215212,55.381140831825476,0.0014684526761272949,-0.0004894931335002184,-0.014507532119750977,0.000614166259765625,0.0,0.000614166259765625,0.0,0.3046321385434786,1.0104294715193805,0.5,0.5,512,512,262144,0.10800768651085994,2.712105448088344,0.011703903521957382
G,20260720,sCMOS,training,content_058,mid,91.4432,1320416470,0.47551964532259183,91.31057430649426,0.0014503614648846976,0.0022086643148213625,-0.002737283706665039,0.0,0.0,0.0,0.0,0.47551971449620645,1.41754341746558,0.5,0.5,512,512,262144,0.1786,2.662484016363896,6.917361461411531e-08
CG,20260720,sCMOS,training,content_058,mid,88.23103152697934,1320416470,0.4588158349008453,88.10306290090197,0.0014503811625304558,0.0022087388206273317,-0.0027375221252441406,0.0,0.0,0.0,0.0,0.4588157666360715,1.3887744359648164,0.5,0.5,512,512,262144,0.17232623345113152,2.662483974217175,-6.826477383370388e-08
CG,20260720,PMRID,validation,pmrid_gt_008,mid,88.23103152697934,266373538,0.45729763139915885,88.35531212849394,0.001408581531505683,-0.009634583257138729,0.011716365814208984,0.000530242919921875,0.0,0.00049591064453125,0.0,0.4803738804300062,1.0111765945290123,0.5,0.5,512,512,262144,0.17232623345113152,2.653673919756622,0.023076249030847318
CG,20260720,PMRID,validation,pmrid_gt_011,low,55.29993549356029,1884228405,0.28409323759929545,55.09721258808273,0.0036658796012730365,0.00204628799110651,0.005627632141113281,0.00090789794921875,0.0,0.00090789794921875,0.0,0.30659329507359445,1.014838286230033,0.5,0.5,512,512,262144,0.10800768651085994,2.630305738200683,0.022500057474299007
CG,20260721,PMRID,validation,pmrid_gt_031,high,148.4405090006516,2282487420,0.7457233867856804,148.5012420255337,0.00040914050545231575,0.0057978094555437565,0.0030062198638916016,1.1444091796875e-05,0.0,1.1444091796875e-05,0.0,0.7459206893913839,1.0064876510066725,0.5,0.5,512,512,262144,0.28992286914189763,2.5721440636706006,0.00019730260570349767
CG,20260719,sCMOS,training,content_006,high,148.4405090006516,1385192159,0.7185159169843125,148.49776268965456,0.00038570124414438213,-0.0019662342965602875,0.007291078567504883,0.0,0.0,0.0,0.0,0.7185157327061553,1.4431472349836403,0.5,0.5,512,512,262144,0.28992286914189763,2.4783002427885314,-1.8427815717814156e-07
G,20260719,sCMOS,training,content_006,high,91.4432,1385192159,0.4426244061595832,91.4784663710794,0.00038566422740457344,-0.001966345589607954,0.00729060173034668,0.0,0.0,0.0,0.0,0.44262451718491747,1.1679671300557082,0.5,0.5,512,512,262144,0.1786,2.4783001464702306,1.110253342595513e-07
CG,20260721,PMRID,validation,pmrid_gt_012,low,55.29993549356029,1359728518,0.265886416580015,55.349359803598965,0.0008937498678353696,0.0008153480594046414,-0.0006005764007568359,0.005702972412109375,0.0,0.005702972412109375,0.0,0.40027485085001535,1.0067758705427035,0.5,0.5,512,512,262144,0.10800768651085994,2.461736059435739,0.13438843427000036
CG,20260719,sCMOS,training,content_064,high,148.4405090006516,939162373,0.7030399666856324,148.4437375404727,2.1749722113313086e-05,-0.0030561070889234543,0.00814509391784668,0.0,0.0,0.0,0.0,0.7030398891947165,1.3945775211720874,0.5,0.5,512,512,262144,0.28992286914189763,2.4249206996552655,-7.749091590625312e-08
G,20260719,sCMOS,training,content_064,high,91.4432,939162373,0.43309081560874096,91.44518550664152,2.1713004810828267e-05,-0.0030562186148017645,0.008145332336425781,0.0,0.0,0.0,0.0,0.433090891344996,1.149763654409636,0.5,0.5,512,512,262144,0.1786,2.424920580116131,7.57362550452001e-08
CG,20260720,sCMOS,training,content_031,mid,88.23103152697934,4049583843,0.4080845848308987,88.48227459610757,0.0028475590138760973,-0.0022769004572182894,0.002700328826904297,0.0,0.0,0.0,0.0,0.4080845026452895,1.3981754610685087,0.5,0.5,512,512,262144,0.17232623345113152,2.368093218648708,-8.218560920703055e-08
