experiment,run_seed,pair_count,mean_residual_DN,mean_brightness_shift_DN,median_brightness_shift_DN,std_brightness_shift_DN,max_absolute_brightness_shift_DN,positive_ratio,mean_ci95_low_DN,mean_ci95_high_DN,mean_clipping_contribution_DN,z_mean_mean,z_mean_std,max_absolute_z_mean
CG,20260719,417,-0.005642831332886456,0.017389056594210958,0.01249032198026967,0.2149356717772015,0.8070556526057615,0.5227817745803357,-0.0032408158628936708,0.038018929051315584,0.02303188792709741,-0.045072170801479045,0.9963822947809833,2.7836909722251373
CG,20260720,417,0.0229530847807983,0.045771514986491846,0.03179228974454315,0.21046177360614088,1.0609505124125285,0.5899280575539568,0.02557105449200795,0.06597197548097575,0.022818430205693546,0.09407677245533488,0.9592724901292826,2.662483974217175
CG,20260721,417,0.0013568419786485469,0.024201337268540124,0.03248432117398892,0.21505798977981153,0.8334233049170819,0.5683453237410072,0.0035597245322524854,0.04484295000482776,0.02284449528989158,0.01976586257275614,1.0102511783356605,2.9731164108966492
G,20260719,300,-0.005729605362754282,-0.00572941040173105,-0.011864588841665746,0.18405427907657568,0.4971671041938208,0.48333333333333334,-0.026557112765522285,0.015098291962060187,1.9496102323116048e-07,-0.032080657126283746,1.0305381412619627,2.783690802883011
G,20260720,300,0.009917319513668869,0.009917964651660793,0.017796819074979986,0.16960230157949036,0.47551971449620645,0.5566666666666666,-0.00927434250487058,0.029110271808192166,6.451379919250137e-07,0.055528104779780894,0.9496213578525782,2.662484016363896
G,20260721,300,0.0005413652990649218,0.0005415438929738503,0.021106111210256184,0.17347637740580177,0.4972133509881349,0.53,-0.01908915621290918,0.02017224399885688,1.7859390892961218e-07,0.0030311606890533033,0.9713123297103461,2.7839486691359667
