experiment,pair_count,mean_residual_DN,mean_brightness_shift_DN,median_brightness_shift_DN,std_brightness_shift_DN,max_absolute_brightness_shift_DN,positive_ratio,mean_ci95_low_DN,mean_ci95_high_DN,mean_clipping_contribution_DN,z_mean_mean,z_mean_std,max_absolute_z_mean
CG,1251,0.006222365142186797,0.02912063628308098,0.02448981069290923,0.21366803403649992,1.0609505124125285,0.5603517186250999,0.01728022002479314,0.04096105254136882,0.02289827114089418,0.022923488075537318,0.9897135976146322,2.9731164108966492
G,900,0.0015763598166598364,0.0015766993809678647,0.010068658653255014,0.1757392295183189,0.4972133509881349,0.5233333333333333,-0.00990493028089564,0.013058329042831367,3.395643080285954e-07,0.008826202780850147,0.9839820219217835,2.7839486691359667
