folder,frame_count,crop_size,crop_top,crop_left,crop_height,crop_width,metric_definition,value,valid_sample_count,warning_flags,frame_index,frame_mean_dn,frame_std_dn,rolling_mean_dn,rolling_variance_dn2
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.3053588867188,262144,,1,1157.3053588867188,249.6856121703764,1157.3053588867188,62342.904924895614
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1160.0944213867188,262144,,2,1160.0944213867188,250.10032922479675,1158.6998901367188,62446.53980162367
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1153.91796875,262144,,3,1153.91796875,249.69481980309288,1157.1059163411458,62413.527546582125
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1155.9945678710938,262144,,4,1155.9945678710938,249.94791932087716,1156.8280792236328,62428.63625314552
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.3436279296875,262144,,5,1157.3436279296875,249.32167415419195,1156.9311889648438,62375.16844312623
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1159.6256713867188,262144,,6,1159.6256713867188,250.68048114699573,1157.3802693684895,62452.757640620075
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.1712646484375,262144,,7,1156.1712646484375,250.4766880457295,1157.207554408482,62493.5881568683
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.8465576171875,262144,,8,1158.8465576171875,250.3437629516552,1157.4124298095703,62515.88959335908
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.330810546875,262144,,9,1157.330810546875,250.07633295188757,1157.4033610026042,62518.36544994844
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.1649780273438,262144,,10,1158.1649780273438,250.32490582363127,1157.4795227050781,62532.784752514584
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.570556640625,262144,,11,1157.570556640625,250.37759404914527,1157.4877985174005,62546.98064790768
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.8060302734375,262144,,12,1158.8060302734375,250.94817112810776,1157.597651163737,62582.64764329387
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.5452270507812,262144,,13,1157.5452270507812,250.61744351903715,1157.5936185396636,62600.0672858111
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.940673828125,262144,,14,1157.940673828125,250.58464722667634,1157.618408203125,62613.824295804436
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.3185424804688,262144,,15,1158.3185424804688,249.6447414214047,1157.6650838216146,62594.40247070814
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1155.6614379882812,262144,,16,1155.6614379882812,249.85780941676703,1157.5398559570312,62584.060124197975
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1162.3464965820312,262144,,17,1162.3464965820312,250.87990428821817,1157.8549270629883,62621.42396487109
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1155.7093505859375,262144,,18,1155.7093505859375,249.79392384544826,1157.5808601379395,62611.85082185571
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1154.1762084960938,262144,,19,1154.1762084960938,250.52855347997567,1157.5970001220703,62637.916638872586
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1151.9754028320312,262144,,20,1151.9754028320312,250.55127964334332,1157.345802307129,62656.790473752655
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1160.0320434570312,262144,,21,1160.0320434570312,250.3654261863384,1157.513828277588,62689.38731290377
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.4126586914062,262144,,22,1157.4126586914062,250.37141745929753,1157.3755149841309,62679.7087536843
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.893310546875,262144,,23,1156.893310546875,249.05584770793246,1157.4206428527832,62635.34900513175
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1160.4097290039062,262144,,24,1160.4097290039062,249.63021498111632,1157.5183410644531,62613.05179155199
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1159.6109008789062,262144,,25,1159.6109008789062,250.09690498509565,1157.660846710205,62613.69489033078
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1161.9251708984375,262144,,26,1161.9251708984375,248.79569454325733,1157.8958587646484,62565.991087059025
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1162.0496826171875,262144,,27,1162.0496826171875,250.54312871847793,1158.1758041381836,62571.17357119685
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.1724853515625,262144,,28,1158.1724853515625,249.73301766503513,1158.1362075805664,62533.14829116827
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.3350830078125,262144,,29,1156.3350830078125,248.03922483211275,1158.0605735778809,62452.79541987437
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.6917724609375,262144,,30,1156.6917724609375,248.6576205773207,1157.9825172424316,62392.66709771543
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1155.5849609375,262144,,31,1155.5849609375,248.76222411939196,1157.811668395996,62365.17629955709
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.4326782226562,262144,,32,1158.4326782226562,249.7812021974357,1157.9848709106445,62362.784052347764
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1159.006591796875,262144,,33,1159.006591796875,249.75387387414426,1157.7761268615723,62327.55099856504
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1160.275390625,262144,,34,1160.275390625,248.89797408527386,1158.0615043640137,62299.625818168046
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.3298950195312,262144,,35,1158.3298950195312,249.36526807322068,1158.3211097717285,62263.28086894681
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1159.5538330078125,262144,,36,1159.5538330078125,249.52859883816942,1158.7947616577148,62231.31698814826
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1157.783447265625,262144,,37,1157.783447265625,248.74907933920224,1158.654224395752,62180.89560331288
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1158.6978759765625,262144,,38,1158.6978759765625,245.9231527350619,1158.7345504760742,62042.9175014738
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1159.4835205078125,262144,,39,1159.4835205078125,249.7777505207062,1158.8964385986328,62065.424337578006
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.978271484375,262144,,40,1156.978271484375,249.94972544599415,1158.681972503662,62075.4006512661
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1155.1572875976562,262144,,41,1155.1572875976562,250.74354913629023,1158.403621673584,62095.6422481623
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1152.7949829101562,262144,,42,1152.7949829101562,249.98973384043205,1157.8329849243164,62132.86533580907
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.5953979492188,262144,,43,1156.5953979492188,249.91859708563268,1157.4920921325684,62113.330699634505
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1153.397705078125,262144,,44,1153.397705078125,250.7315148007218,1157.1936683654785,62144.562724770745
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1152.4035034179688,262144,,45,1152.4035034179688,250.3291432463052,1156.9479446411133,62215.88915621536
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1153.5821533203125,262144,,46,1153.5821533203125,250.09604934953697,1156.7535934448242,62260.72800803231
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1154.060791015625,262144,,47,1154.060791015625,250.36105025370844,1156.658332824707,62310.60371648939
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1155.6209106445312,262144,,48,1155.6209106445312,249.93304834403517,1156.4825973510742,62315.34619669849
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.4381713867188,262144,,49,1156.4381713867188,249.70471799593537,1156.3220710754395,62313.81173884147
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1159.1925659179688,262144,,50,1159.1925659179688,249.77710063840556,1156.25439453125,62341.211645064875
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1153.029296875,262144,,51,1153.029296875,250.54024268407085,1155.9231071472168,62377.92266275012
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1154.3076782226562,262144,,52,1154.3076782226562,249.49807389844352,1155.5952224731445,62376.97061530594
1,200,512,2304,2304,512,512,Frame mean in raw DN for temporal drift inspection.,1156.242431640625,262144,,53,1156.242431640625,249.3599929231825,1155.498908996582,62395.98946521524
