model,a,b,prediction_domain,calibration_predictions_finite,calibration_variance_nonnegative,full_rmse_DN,loocv_rmse_DN,loocv_mae_DN,loo_slope_sign_stability,maximum_slope_relative_change,selection_rank
std_nonnegative,0.0,0.059136757483193435,std,True,True,7.325142025357534,8.063817345675991,4.947274024036607,1.0,0.01216319479260761,1
variance_unconstrained,-15059.977188854478,17.750484342859416,variance,True,True,15.539798101665488,15.471825127224827,12.75711322306462,1.0,0.009990645079325866,2
variance_nonnegative,0.0,9.599477704812218,variance,True,True,32.60757695111343,33.70036026146843,27.599064990148076,1.0,0.1233967357546209,3
variance_zero_intercept,0.0,9.59947770481222,variance,True,True,32.607576951113444,33.70036026146843,27.599064990148076,1.0,0.12339673575462105,4
