model,excluded_folder,train_a,train_b,predicted_sigma_DN,observed_sigma_DN,error_DN,raw_variance_or_sigma,finite,positive
variance_unconstrained,1,-15096.291921742808,17.765924384669752,73.83800655288852,68.3813705444336,-5.456636008454922,5452.051211704407,True,True
variance_unconstrained,4,-15060.83217479212,17.74931176376075,128.78625004381777,111.48194122314452,-17.304308820673256,16585.898200348754,True,True
variance_unconstrained,7,-14839.395166541583,17.573145553803776,171.0887311119956,148.05999755859375,-23.02873355340185,29271.353913512736,True,True
variance_unconstrained,8,-15173.09970080139,17.856401060115484,157.61391026753296,134.9202117919922,-22.69369847554077,24842.14470982193,True,True
variance_unconstrained,10,-15012.73956204416,17.731001083847577,79.25830491169053,71.40454864501953,-7.853756266670999,6281.8788974745075,True,True
variance_unconstrained,13,-15120.94532411042,17.779150154546965,38.79026682521818,38.584720611572266,-0.20554621364591696,1504.6848003716223,True,True
variance_nonnegative,1,0.0,9.983541680882402,107.45752108863523,68.3813705444336,-39.07615054420164,11547.118838514487,True,True
variance_nonnegative,4,0.0,9.660567898968331,131.2426506994099,111.48194122314452,-19.760709476265376,17224.633362607317,True,True
variance_nonnegative,7,0.0,8.41493349108913,145.33586751056632,148.05999755859375,2.7241300480274333,21122.514385048882,True,True
variance_nonnegative,8,0.0,9.093059998732057,142.74825217967458,134.9202117919922,-7.8280403876823925,20377.063500351967,True,True
variance_nonnegative,10,0.0,9.98310779490873,109.49673857575662,71.40454864501953,-38.09218993073709,11989.535758727588,True,True
variance_nonnegative,13,0.0,9.999237417371772,96.69789016554677,38.584720611572266,-58.1131695539745,9350.481962468146,True,True
variance_zero_intercept,1,0.0,9.983541680882402,107.45752108863523,68.3813705444336,-39.07615054420164,11547.118838514487,True,True
variance_zero_intercept,4,0.0,9.660567898968333,131.24265069940992,111.48194122314452,-19.760709476265404,17224.63336260732,True,True
variance_zero_intercept,7,0.0,8.41493349108913,145.33586751056632,148.05999755859375,2.7241300480274333,21122.514385048882,True,True
variance_zero_intercept,8,0.0,9.093059998732057,142.74825217967458,134.9202117919922,-7.8280403876823925,20377.063500351967,True,True
variance_zero_intercept,10,0.0,9.98310779490873,109.49673857575662,71.40454864501953,-38.09218993073709,11989.535758727588,True,True
variance_zero_intercept,13,0.0,9.999237417371772,96.69789016554677,38.584720611572266,-58.1131695539745,9350.481962468146,True,True
std_nonnegative,1,0.0,0.05913793473783326,68.39985068522482,68.3813705444336,-0.018480140791226063,68.39985068522482,True,True
std_nonnegative,4,0.0,0.05841746558252216,104.15737844346933,111.48194122314452,7.32456277967519,104.15737844346933,True,True
std_nonnegative,7,0.0,0.059217322222440756,148.64273637006352,148.05999755859375,-0.5827388114697669,148.64273637006352,True,True
std_nonnegative,8,0.0,0.058727635614366655,131.605505771033,134.9202117919922,3.3147060209591928,131.605505771033,True,True
std_nonnegative,10,0.0,0.05910928346382404,70.98920319419058,71.40454864501953,0.41534545082895136,70.98920319419058,True,True
std_nonnegative,13,0.899670970724658,0.05957833215334421,56.61253155206758,38.584720611572266,-18.027810940495314,56.61253155206758,True,True
