source_pair_key_a,source_pair_key_b,full_image_correlation,center_roi_correlation,center_roi_ssim,low_frequency_correlation,high_frequency_correlation,gradient_map_correlation,downsampled_perceptual_similarity,high_content_similarity
15ms_to_500ms_000,15ms_to_500ms_001,0.9988278478278914,0.9449080177297836,0.8215963351080988,0.9970102781253217,0.8641372174883368,0.912786976132361,0.8215963351080988,True
15ms_to_500ms_000,15ms_to_500ms_002,0.9987793561162945,0.9450881077752443,0.8220185308855601,0.9968359387243387,0.8635968831254149,0.9120574033733494,0.8220185308855601,True
15ms_to_500ms_000,15ms_to_500ms_003,0.9987831460073984,0.9438870749377393,0.8164714174432737,0.996847314686785,0.8605275854201158,0.9126921445938749,0.8164714174432737,True
15ms_to_500ms_000,15ms_to_500ms_004,0.9987722744519852,0.9450048631606536,0.8197436511788885,0.9970313079598401,0.8637636705055486,0.9120042159029453,0.8197436511788885,True
15ms_to_500ms_000,15ms_to_500ms_005,0.9887439834023763,0.9419911949692693,0.8076504087598694,0.9860840641195705,0.8699317315445542,0.9150485053599337,0.8076504087598694,True
15ms_to_500ms_001,15ms_to_500ms_002,0.9988369377780428,0.9444178044637095,0.8212321152837005,0.9968805077104057,0.8636747289554304,0.9131230650353344,0.8212321152837005,True
15ms_to_500ms_001,15ms_to_500ms_003,0.9988173016349692,0.9451006169815716,0.8201619329126699,0.9975555847291155,0.864003448162136,0.911974080772037,0.8201619329126699,True
15ms_to_500ms_001,15ms_to_500ms_004,0.9988336294434909,0.9435737981435041,0.8173340085140001,0.9966570414780259,0.8623339611182963,0.9128127967194823,0.8173340085140001,True
15ms_to_500ms_001,15ms_to_500ms_005,0.9889932949707853,0.9424271611000513,0.8103448816266504,0.9856807674802698,0.872703377445728,0.9171419086820309,0.8103448816266504,True
15ms_to_500ms_002,15ms_to_500ms_003,0.998845186241449,0.943467666422762,0.8164184709104342,0.9967959041723194,0.86034631767225,0.911610594573909,0.8164184709104342,True
15ms_to_500ms_002,15ms_to_500ms_004,0.9988430944370812,0.9441035461221342,0.8171815954727436,0.9965737586472954,0.8625286288168945,0.9125547722647575,0.8171815954727436,True
15ms_to_500ms_002,15ms_to_500ms_005,0.9892171887573815,0.942458749365629,0.8104326379408089,0.9858536929476958,0.8713188072436832,0.9154695279127929,0.8104326379408089,True
15ms_to_500ms_002,15ms_to_500ms_034,0.9800157860221407,0.9369753479760894,0.8243296792977474,0.9785147643545147,0.867309066828966,0.9148942218537732,0.8243296792977474,True
15ms_to_500ms_003,15ms_to_500ms_004,0.998840160081691,0.9429782189386926,0.8107926966209497,0.9967855530909552,0.8596266658594898,0.9115581293699097,0.8107926966209497,True
15ms_to_500ms_003,15ms_to_500ms_005,0.9892973472326847,0.942529406102836,0.8072963958064,0.9872416809029176,0.8703019735533629,0.913466427032998,0.8072963958064,True
15ms_to_500ms_004,15ms_to_500ms_005,0.9896029242717609,0.9430528874590145,0.8060290333333114,0.9874468197096964,0.8713141686708298,0.91463388742298,0.8060290333333114,True
15ms_to_500ms_004,15ms_to_500ms_034,0.980042460052081,0.9348128421738083,0.8191718280844008,0.976244608675757,0.8654537136529326,0.9143854014657382,0.8191718280844008,True
15ms_to_500ms_005,15ms_to_500ms_006,0.9930136518813013,0.956228106119025,0.8161699045404444,0.9929560015506463,0.8935700044215078,0.9293919562213742,0.8161699045404444,True
15ms_to_500ms_005,15ms_to_500ms_007,0.9928989719901676,0.9556114967425503,0.8139386520378373,0.9930893030855593,0.8922376842365579,0.9306541149454663,0.8139386520378373,True
15ms_to_500ms_005,15ms_to_500ms_008,0.9929448196418982,0.9558155434337573,0.8153417332098388,0.9929398210004181,0.8932850112104261,0.9322178121451191,0.8153417332098388,True
15ms_to_500ms_005,15ms_to_500ms_009,0.9948181092640114,0.9564488120699853,0.8177181792191939,0.9950142273128133,0.8928072494735193,0.9328206432596081,0.8177181792191939,True
15ms_to_500ms_005,15ms_to_500ms_010,0.9950877584484469,0.9578465983291357,0.8216248574804087,0.9951849512372819,0.8960892490926374,0.9335647274955438,0.8216248574804087,True
15ms_to_500ms_005,15ms_to_500ms_011,0.9958369990972874,0.9577407404047927,0.8212474465242031,0.9959372096356855,0.8953371758230396,0.9320780617665448,0.8212474465242031,True
15ms_to_500ms_005,15ms_to_500ms_012,0.9935783529728618,0.9566011406362434,0.8187554164243238,0.9960347720377212,0.8936114128917209,0.9323846261686433,0.8187554164243238,True
15ms_to_500ms_005,15ms_to_500ms_013,0.9865758535442607,0.9453902304166482,0.8137049601663348,0.9784679601541196,0.8892943227238126,0.9288660667375317,0.8137049601663348,True
15ms_to_500ms_005,15ms_to_500ms_014,0.9832335402969322,0.9284830570511885,0.8064989776292241,0.9521941243520606,0.8800556211644899,0.9203747538548284,0.8064989776292241,True
15ms_to_500ms_005,15ms_to_500ms_015,0.9820414478910116,0.931400794291552,0.80580996393805,0.9568304668259725,0.8797726025650489,0.9193707435408581,0.80580996393805,True
15ms_to_500ms_005,15ms_to_500ms_016,0.9816406372512972,0.930638829294468,0.8077605821390493,0.9568478155408736,0.8802371797833175,0.9213573284943914,0.8077605821390493,True
15ms_to_500ms_005,15ms_to_500ms_017,0.9843159216352714,0.9323694387149288,0.8074642577196315,0.9595102881930911,0.880063609720353,0.922534093912122,0.8074642577196315,True
15ms_to_500ms_005,15ms_to_500ms_018,0.9841863323908349,0.9371688189900416,0.8111940128120547,0.9672795181461573,0.8828164820176518,0.923013939445397,0.8111940128120547,True
15ms_to_500ms_005,15ms_to_500ms_019,0.9862361287891884,0.9392095168028952,0.8126829279242777,0.9692295303975899,0.8849547651004225,0.9261759832085479,0.8126829279242777,True
15ms_to_500ms_005,15ms_to_500ms_020,0.9871236204909066,0.9405290803054006,0.8092583847747506,0.9728200894552702,0.8842906250106314,0.9257584276218364,0.8092583847747506,True
15ms_to_500ms_005,15ms_to_500ms_021,0.9843267509435721,0.9354578568189481,0.8104698308306784,0.964689266224055,0.8817446957628045,0.9225678682412849,0.8104698308306784,True
15ms_to_500ms_005,15ms_to_500ms_022,0.9827260848397812,0.9292918432551878,0.8048093856217976,0.9556771147398537,0.8768904922463322,0.9190892121960055,0.8048093856217976,True
15ms_to_500ms_005,15ms_to_500ms_023,0.9828750380621685,0.9300945850601601,0.8075306644221205,0.9568701417740257,0.8782073981883488,0.9206831723253865,0.8075306644221205,True
15ms_to_500ms_005,15ms_to_500ms_024,0.9825473048624941,0.9281158577369637,0.8036810490103763,0.9548491038741296,0.875942329539314,0.9183586920559286,0.8036810490103763,True
15ms_to_500ms_005,15ms_to_500ms_025,0.9828771493714035,0.9263900033352659,0.8003172032801383,0.9538433396347563,0.8719090807565432,0.9165057079704376,0.8003172032801383,True
15ms_to_500ms_005,15ms_to_500ms_026,0.9824767100937977,0.9263982539512735,0.7998532762781518,0.9537904015031491,0.8727769487042315,0.9171383729260824,0.7998532762781518,True
15ms_to_500ms_005,15ms_to_500ms_027,0.9823862252562783,0.9283319763992055,0.8056754626051389,0.9542767534193572,0.8764163673520052,0.9195512950789251,0.8056754626051389,True
15ms_to_500ms_005,15ms_to_500ms_028,0.9822366489936428,0.9267172002688219,0.802433765345413,0.9523661479220188,0.8733942209480474,0.9180875416441204,0.802433765345413,True
15ms_to_500ms_005,15ms_to_500ms_029,0.9823642606477295,0.9265349057476252,0.8032510391016283,0.9522968757856014,0.8741027614698255,0.9160221884792707,0.8032510391016283,True
15ms_to_500ms_005,15ms_to_500ms_030,0.982165523162878,0.9294679900628802,0.8078460287091489,0.9551243066976213,0.8772398601301793,0.9179510186762861,0.8078460287091489,True
15ms_to_500ms_005,15ms_to_500ms_031,0.9824841446487367,0.928711141826811,0.8037345882137755,0.9566679844924941,0.8750339947603962,0.9170103471174879,0.8037345882137755,True
15ms_to_500ms_005,15ms_to_500ms_032,0.9828624139033861,0.9278301786881311,0.8012822520921897,0.9554205041284494,0.8732337865063182,0.9175836207381058,0.8012822520921897,True
15ms_to_500ms_005,15ms_to_500ms_033,0.9826598061814883,0.9266192937398169,0.8049371810216989,0.9521210956493451,0.8753351713112342,0.9176869166286907,0.8049371810216989,True
15ms_to_500ms_005,15ms_to_500ms_034,0.9828941005220305,0.926594113375906,0.8038511865363587,0.9521506225982422,0.8750597678448748,0.917799586667332,0.8038511865363587,True
15ms_to_500ms_005,15ms_to_500ms_035,0.9828154509001228,0.9251466360522389,0.8016258001976262,0.9514424143996392,0.8717509707199497,0.9154383610302371,0.8016258001976262,True
15ms_to_500ms_005,15ms_to_500ms_036,0.9825546293901573,0.9269040865376222,0.8042318698732611,0.9525145832413087,0.874923624138056,0.9177055318650907,0.8042318698732611,True
15ms_to_500ms_005,15ms_to_500ms_037,0.9823708270289288,0.9260904865572522,0.8016725561089235,0.9522019916122381,0.8734774215191214,0.9174699107340157,0.8016725561089235,True
15ms_to_500ms_005,15ms_to_500ms_038,0.9824003130711886,0.9271210324857524,0.8057900954881877,0.9523691665821418,0.8753230496928769,0.9165020068398663,0.8057900954881877,True
15ms_to_500ms_005,15ms_to_500ms_039,0.9821873924576674,0.9279952118069006,0.8031509488748947,0.954441772085831,0.8748570848063912,0.916949284136279,0.8031509488748947,True
15ms_to_500ms_005,15ms_to_500ms_040,0.981951708235791,0.926631462411971,0.8059003527239426,0.9506517948658673,0.8765817519747912,0.9187782636206936,0.8059003527239426,True
15ms_to_500ms_005,15ms_to_500ms_041,0.9815846536581481,0.926397520227576,0.8035118930828696,0.9508545857583717,0.8755424422356267,0.9167687973651567,0.8035118930828696,True
15ms_to_500ms_005,15ms_to_500ms_042,0.981610210616396,0.9268137468353781,0.8040241703603319,0.9515497622997866,0.8758041832746821,0.9193424622251187,0.8040241703603319,True
15ms_to_500ms_005,15ms_to_500ms_043,0.9814447972471356,0.9262875155340308,0.8034356756696968,0.9521806504605079,0.8744426048959221,0.9166400105730613,0.8034356756696968,True
15ms_to_500ms_005,15ms_to_500ms_044,0.9814954959804095,0.9263809392048291,0.803613366504585,0.9522041085723315,0.8742337201296663,0.9175278955682955,0.803613366504585,True
15ms_to_500ms_005,15ms_to_500ms_045,0.9815998944257383,0.9271540846285548,0.8025667632949253,0.9534019516375442,0.8737105151336005,0.9184209490743824,0.8025667632949253,True
15ms_to_500ms_005,15ms_to_500ms_046,0.9814152399285235,0.9283341507830852,0.8033150866031006,0.9554206718798886,0.8743267021529736,0.9194192253109019,0.8033150866031006,True
15ms_to_500ms_005,15ms_to_500ms_047,0.9813934227756854,0.9274375794673358,0.8018430335864173,0.9540373362133641,0.8731382838889405,0.9170664698724789,0.8018430335864173,True
15ms_to_500ms_005,15ms_to_500ms_048,0.9813330759651597,0.9283541415870454,0.8064445271883816,0.9542926309726838,0.8766602358515079,0.917830037774808,0.8064445271883816,True
15ms_to_500ms_005,15ms_to_500ms_049,0.9814244059657783,0.9260404008431201,0.8028797340013429,0.9507454522787124,0.8745524825635748,0.9173317462926908,0.8028797340013429,True
15ms_to_500ms_005,15ms_to_500ms_050,0.9813250130458917,0.9267503080257697,0.806231532092698,0.9517951196861331,0.8762180490871129,0.91774068516346,0.806231532092698,True
15ms_to_500ms_005,15ms_to_500ms_051,0.9815021821825474,0.9271678131742601,0.80226046399976,0.9533330956366743,0.8746780927983356,0.9183879237932425,0.80226046399976,True
15ms_to_500ms_005,15ms_to_500ms_052,0.9813433668429136,0.926561085811279,0.8036842925899037,0.9525268830923547,0.8740551311724554,0.9164248863103774,0.8036842925899037,True
15ms_to_500ms_005,15ms_to_500ms_053,0.9812050710896953,0.9267412003377316,0.8060880409344907,0.9514467186249499,0.8761260979843313,0.9175764115146657,0.8060880409344907,True
15ms_to_500ms_005,15ms_to_500ms_054,0.9814127690785912,0.928459967322191,0.8024583061202436,0.9547498751283029,0.8759425300291789,0.9194640063701919,0.8024583061202436,True
15ms_to_500ms_005,15ms_to_500ms_055,0.9814901254693315,0.9256115759505814,0.8027988390131555,0.9508167435716176,0.8742116502639038,0.9185213573580548,0.8027988390131555,True
15ms_to_500ms_005,15ms_to_500ms_056,0.9814707961909128,0.9267630562177956,0.8044211965988349,0.951649357699632,0.8752418150913401,0.9187674562752454,0.8044211965988349,True
15ms_to_500ms_005,15ms_to_500ms_057,0.9815410580924102,0.9276787514511792,0.8047972750003797,0.9531381795737636,0.8765810870204493,0.9179697101391513,0.8047972750003797,True
15ms_to_500ms_005,15ms_to_500ms_058,0.9814135311478248,0.926928767824795,0.8055103472189953,0.9519614146624544,0.8757027143950828,0.9174723306816438,0.8055103472189953,True
15ms_to_500ms_005,15ms_to_500ms_059,0.9814495979210628,0.9270045530772526,0.8063628568232172,0.9511640019707484,0.8770018380515928,0.9197311609406145,0.8063628568232172,True
15ms_to_500ms_005,15ms_to_500ms_060,0.981657911371553,0.9262561810044168,0.8031121618611234,0.951290255542876,0.874609760767086,0.91638303043569,0.8031121618611234,True
15ms_to_500ms_005,15ms_to_500ms_061,0.981539734850325,0.9275767780497528,0.8026291925567224,0.9543495736264433,0.8750784626636868,0.9184281935760885,0.8026291925567224,True
15ms_to_500ms_005,15ms_to_500ms_062,0.9815981297519732,0.9275051472925575,0.8034795635099278,0.9535982071386961,0.8748447086188006,0.9195659285485234,0.8034795635099278,True
15ms_to_500ms_005,15ms_to_500ms_063,0.9818850729564217,0.9282401308706814,0.8057945066043299,0.9540405572304009,0.8767484515364012,0.9184427646040874,0.8057945066043299,True
15ms_to_500ms_005,15ms_to_500ms_064,0.9815797337165487,0.9261251216636744,0.8025330026819001,0.9513772973790052,0.8739677874599606,0.9166812317996057,0.8025330026819001,True
15ms_to_500ms_005,15ms_to_500ms_065,0.9810759079426562,0.925454236400361,0.8036745185214196,0.9499180297340475,0.8738517825575923,0.9171011637452111,0.8036745185214196,True
15ms_to_500ms_005,15ms_to_500ms_069,0.9802559760767532,0.923619854243227,0.8035706811151784,0.9477594233251633,0.8725298457231108,0.914692169846653,0.8035706811151784,True
15ms_to_500ms_005,15ms_to_500ms_071,0.9800203465448022,0.923159937562233,0.8029850499503749,0.9469544592189292,0.8726398572803041,0.9163993774636838,0.8029850499503749,True
15ms_to_500ms_005,15ms_to_500ms_072,0.9803669544100035,0.9234459473599723,0.801137057704427,0.9475345224927457,0.8729534930417617,0.9172216497421936,0.801137057704427,True
15ms_to_500ms_005,15ms_to_500ms_073,0.9807181028606968,0.9239312103942785,0.8022310987607474,0.9490295746659366,0.8711420363250441,0.9149802943086084,0.8022310987607474,True
15ms_to_500ms_005,15ms_to_500ms_074,0.9806173201208395,0.9254166209840137,0.8044454798691056,0.948526535143233,0.8756576794216941,0.9186123708230527,0.8044454798691056,True
15ms_to_500ms_005,15ms_to_500ms_075,0.9805261124151481,0.9240968010185747,0.8015040803847855,0.9477785596337245,0.8730654600945132,0.9172675966220442,0.8015040803847855,True
15ms_to_500ms_005,15ms_to_500ms_076,0.9804106357174757,0.9256242674700057,0.8026252736634575,0.9493861845761241,0.8755051765061959,0.9174847900065973,0.8026252736634575,True
15ms_to_500ms_005,15ms_to_500ms_077,0.980574507259538,0.9248807877768114,0.8008149872501189,0.9501389784654166,0.8727332633629907,0.9160410188244987,0.8008149872501189,True
15ms_to_500ms_005,15ms_to_500ms_078,0.9804606481065421,0.9252148535644621,0.8023760786414691,0.9504025356915567,0.8740689918875,0.916448557563078,0.8023760786414691,True
15ms_to_500ms_005,15ms_to_500ms_079,0.980608114411449,0.9238962995893718,0.7974396997487567,0.9502226811128116,0.8704785265443525,0.9147291102339343,0.7974396997487567,True
15ms_to_500ms_005,15ms_to_500ms_080,0.980490995865351,0.9242220602369073,0.8021568103691674,0.9489250487951117,0.8727948960188229,0.9166951726584401,0.8021568103691674,True
15ms_to_500ms_005,15ms_to_500ms_081,0.9806929584254637,0.9257320028439261,0.8020760971383041,0.952622096123415,0.8720734889075685,0.916255359621224,0.8020760971383041,True
15ms_to_500ms_005,15ms_to_500ms_082,0.9807591309411714,0.925846937158139,0.8018903755886969,0.9518335719829664,0.8733018331820466,0.9179651153965976,0.8018903755886969,True
15ms_to_500ms_005,15ms_to_500ms_083,0.9806134179263613,0.9238086430938666,0.802464241449774,0.9463845350706851,0.8746537344695406,0.9161415112817624,0.802464241449774,True
15ms_to_500ms_005,15ms_to_500ms_084,0.9806429963101472,0.9251186093827396,0.8010792455880497,0.9500937343404686,0.8735123405243134,0.9153746720409066,0.8010792455880497,True
15ms_to_500ms_005,15ms_to_500ms_085,0.9808568704099497,0.9252890805017039,0.802666915765343,0.950104480853569,0.8740177923533505,0.9159129862600051,0.802666915765343,True
15ms_to_500ms_005,15ms_to_500ms_086,0.9810365087738453,0.9255638880562104,0.8028193345932639,0.9501736502285053,0.874197122356345,0.9180279774401108,0.8028193345932639,True
15ms_to_500ms_005,15ms_to_500ms_087,0.9809577383768272,0.9236166677683185,0.8022649436668503,0.947209660451671,0.8736556052902191,0.9169139588424641,0.8022649436668503,True
15ms_to_500ms_005,15ms_to_500ms_088,0.980932415760593,0.9242097378255023,0.8000069122998761,0.9496553737299025,0.8730806172694066,0.9179771304454035,0.8000069122998761,True
15ms_to_500ms_005,15ms_to_500ms_089,0.9810937838752829,0.9254019989810618,0.8046538579995771,0.9485734995662592,0.8759878244402206,0.9186861265149208,0.8046538579995771,True
15ms_to_500ms_005,15ms_to_500ms_090,0.9809633180150108,0.9255121953738176,0.802270126780077,0.9513896991624217,0.8729240102639426,0.915883863098025,0.802270126780077,True
15ms_to_500ms_005,15ms_to_500ms_091,0.9808992614358265,0.9246193634580198,0.802805937980811,0.9491290416431483,0.8730941650679513,0.9166684276547993,0.802805937980811,True
15ms_to_500ms_005,15ms_to_500ms_092,0.9807632680791668,0.9249055156859073,0.8061033869800437,0.9477526977088648,0.8755596034829016,0.9169424813939452,0.8061033869800437,True
15ms_to_500ms_005,15ms_to_500ms_093,0.9807831787515942,0.9251182752386526,0.8048437194850169,0.9488727894551522,0.8752586333141956,0.917688776278221,0.8048437194850169,True
15ms_to_500ms_005,15ms_to_500ms_094,0.9810056834311273,0.9256548434790036,0.8022041286641441,0.9507983590670993,0.8742181795944467,0.9176959715744792,0.8022041286641441,True
15ms_to_500ms_005,15ms_to_500ms_095,0.9807596781666796,0.9257105491175904,0.803558329350043,0.9497256523670242,0.8755664371460465,0.9181715786766715,0.803558329350043,True
15ms_to_500ms_005,15ms_to_500ms_096,0.9807888261336899,0.9252280847411913,0.8037195759005714,0.949597379935237,0.8745437463346596,0.9180106261498405,0.8037195759005714,True
15ms_to_500ms_005,15ms_to_500ms_097,0.9807049209988115,0.9254302676907553,0.8040363920756932,0.9499635083355572,0.8746488933707923,0.916084228124492,0.8040363920756932,True
15ms_to_500ms_005,15ms_to_500ms_098,0.9807785836846038,0.9254333841949242,0.8060552519564665,0.9487400654822273,0.8763957641254662,0.9178758390812792,0.8060552519564665,True
15ms_to_500ms_005,15ms_to_500ms_099,0.9809058862497481,0.9254277764371609,0.8041547086651496,0.9502176211858616,0.8740181807845661,0.9154550014688465,0.8041547086651496,True
15ms_to_500ms_006,15ms_to_500ms_007,0.9990139603806628,0.9630192474959021,0.8209477149528767,0.9980382417461304,0.9012276912273727,0.9356538326852346,0.8209477149528767,True
15ms_to_500ms_006,15ms_to_500ms_008,0.998919886569878,0.9627228613718077,0.8190840918814037,0.9980497537828951,0.9007385682811719,0.9350368323650817,0.8190840918814037,True
15ms_to_500ms_006,15ms_to_500ms_009,0.9985103907260751,0.9611021258617831,0.8191292789098685,0.9972976507742425,0.8997844480348325,0.936329448199695,0.8191292789098685,True
15ms_to_500ms_006,15ms_to_500ms_010,0.9983016150614589,0.96181185367623,0.8196640010924149,0.9970216472510838,0.9020175266228444,0.936041191900971,0.8196640010924149,True
15ms_to_500ms_006,15ms_to_500ms_011,0.9978575986401244,0.9614780161310537,0.819508552547265,0.9964863234177381,0.9024942822765158,0.9359406738675328,0.819508552547265,True
15ms_to_500ms_006,15ms_to_500ms_012,0.9939655890680816,0.956669807191178,0.8107747172827171,0.9919222306562703,0.8980541028964589,0.9355485477387034,0.8107747172827171,True
15ms_to_500ms_006,15ms_to_500ms_013,0.9832502480300938,0.9375280534370763,0.8006819374969459,0.9624333941066071,0.8916670844828516,0.9277782924117858,0.8006819374969459,True
15ms_to_500ms_006,15ms_to_500ms_020,0.980809015447738,0.9303408674084788,0.794189233932563,0.9517242937054174,0.8873481588050811,0.9248408578574784,0.794189233932563,True
15ms_to_500ms_007,15ms_to_500ms_008,0.9989983410416825,0.9626596543457923,0.8186952574010883,0.9978831222191217,0.9015420276061206,0.9364240421766813,0.8186952574010883,True
15ms_to_500ms_007,15ms_to_500ms_009,0.9986730220954245,0.9627363010212604,0.8237414746451397,0.9975329832407145,0.9039303065583925,0.9379187497641952,0.8237414746451397,True
15ms_to_500ms_007,15ms_to_500ms_010,0.9984653178620031,0.962090299411887,0.8218497943210205,0.9974377704888443,0.9026461564371223,0.9365101306622927,0.8218497943210205,True
15ms_to_500ms_007,15ms_to_500ms_011,0.9980392981014322,0.961540871996439,0.8210597269615477,0.9968550065662237,0.9023081140702002,0.9370339069098463,0.8210597269615477,True
15ms_to_500ms_007,15ms_to_500ms_012,0.9940984671129519,0.9576868744931039,0.8163816442142985,0.9920281498206298,0.900826149749675,0.9365377144503552,0.8163816442142985,True
