run_seed,model,folder,predicted_residual_DC_DN,predicted_residual_mean_std_across_frames_DN,predicted_residual_mean_first_last_change_DN,predicted_residual_spatial_low_frequency_fraction,predicted_residual_frame_to_frame_mean_difference_std_DN,removed_temporal_mean_structure_correlation,corrected_removed_temporal_mean_structure_correlation,removed_gradient_correlation,corrected_removed_gradient_correlation
20260719,G,2,0.7511199116706848,0.0016811644516337009,0.0010756857227534056,0.1907019357130978,0.002274762854934135,0.02854656999442267,0.028545973670204856,0.024377628823583564,0.030145757072325214
20260719,CG_NC,2,3.080866813659668,0.0021280964155967487,-0.0009995452128350735,0.0444149948807594,0.002484469861057769,0.008697892490597929,0.008698161210603914,-0.010436065970192226,0.019422986387939246
20260720,G,2,4.905877590179443,0.008020495448654125,-0.009002552833408117,0.06548392252516219,0.010060915561449765,0.022978492746065497,0.022978400573611352,-0.028414242996270853,0.017672413315095413
20260720,CG_NC,2,4.040896892547607,0.01878677239566252,0.015838381368666887,0.041731299956964646,0.021885851589979854,0.008313284047324348,0.008312940573835156,-0.06705480107400207,0.008531760065163175
20260721,G,2,-6.341653823852539,0.010900660432023913,-0.021438270807266235,0.12518647135044783,0.015048009927336629,0.014183675033550254,0.014183647367377117,-0.014185213603147015,-0.0002840970915985004
20260721,CG_NC,2,-8.014215469360352,0.004819329224611884,-0.0019226246513426304,0.07323515784909417,0.00591927171470395,-0.01053027852231796,-0.010530385607089465,-0.0003747352073770414,0.004701169366667684
20260719,G,5,1.5943063497543335,0.003043851946616331,-0.012664702953770757,0.24666242722461618,0.002067556884382218,0.2722579201591898,0.27225971872758714,0.5233745270453214,0.5191238513966906
20260719,CG_NC,5,5.267887115478516,0.008673273118511989,-0.036781017668545246,0.3383945440146021,0.003245964774904214,0.4157070917504691,0.4157084829486785,0.487615160929507,0.49203141257448313
20260720,G,5,15.122130393981934,0.02421855501614548,-0.09686160227283835,0.6842246894682573,0.011424285920200008,0.7903425497171568,0.7903428628440812,0.48536782739092443,0.2928016816226173
20260720,CG_NC,5,0.06227865815162659,0.03174325491098386,0.11907635862007737,0.570257225132891,0.013759240672533504,-0.5560550707995839,-0.5560548802977119,0.5690571287887679,0.5692884240759998
20260721,G,5,32.002479553222656,0.266944723356253,-0.9904489452019334,0.930507209931968,0.07705031649451148,0.9389840453549716,0.9389840226149031,0.4624122338338411,0.23569825573883804
20260721,CG_NC,5,18.89267921447754,0.22151107861446226,-0.8381990150082856,0.8639343985458098,0.06433427200290959,0.904716541085297,0.9047165800167299,0.39200001036935234,0.17464564834238436
20260719,G,9,0.8197131156921387,0.001562580171297391,-0.00026708655059337616,0.18273062685956962,0.0021686989729980074,0.09776379701788651,0.09776449325134913,0.19554999706479198,0.18944279465364167
20260719,CG_NC,9,3.260568618774414,0.0019974730344186997,0.00222781952470541,0.05033492597558727,0.002358785881523188,0.0752477065665748,0.07524810355806444,0.11669402385801926,0.16180066066562132
20260720,G,9,6.015115737915039,0.009072790882801902,0.015090540051460266,0.12415991559186176,0.010342985188917781,0.26759540771328905,0.2675951952940928,0.1561877441508859,0.06478986169569347
20260720,CG_NC,9,3.5671470165252686,0.01234904259827579,-0.0020751231350004673,0.042117277999528795,0.013834282873117977,-0.011649028643252178,-0.011649831492911942,0.24398922414167115,0.25758377180528863
20260721,G,9,-6.084016799926758,0.007969630594205121,0.0027923621237277985,0.143250373011094,0.010141903676421087,0.031096172935021774,0.031096457439381667,-0.07023259620190243,-0.031128090599763198
20260721,CG_NC,9,-8.181017875671387,0.004629097699871637,-0.005798649974167347,0.08178534064693604,0.005971751263070501,-0.038475824896145774,-0.03847609025229861,0.01825682096228531,0.0695911992595601
20260719,G,11,0.7618035674095154,0.001796581685204726,0.002937213168479502,0.19105928164580807,0.0022910224534608776,0.0697100105817244,0.0697102714329964,0.027349004438294022,0.028002930440363557
20260719,CG_NC,11,3.130671501159668,0.0022510033638271955,0.002365191583521664,0.045180980952834265,0.0024681540812061145,0.03905317744992503,0.03905291194961463,-0.013550316245458344,0.022983870735491595
20260720,G,11,5.1403279304504395,0.006951607211241731,-0.012969765812158585,0.07307181570340658,0.008509290577026011,0.09045349856361759,0.09045380642555022,0.013932811591061144,0.009787478742363048
20260720,CG_NC,11,3.890559434890747,0.01556334592545274,-0.00473009841516614,0.04269892521698639,0.014592063890121455,-0.026343183242707544,-0.026342887995782886,-0.03913911361914019,0.03345442499763182
20260721,G,11,-6.1995954513549805,0.009105064313735626,-0.009902802063152194,0.12972575482162424,0.011669824735652904,0.0419764132226054,0.04197639080474241,-0.047747684369656915,-0.024593885783041062
20260721,CG_NC,11,-8.101238250732422,0.005179989480071056,-0.003021197160705924,0.07524508472612475,0.006327250858027739,-0.04683890113905417,-0.04683907848948868,0.0094616879941926,0.011741440427420041
