run_seed,model,folder,frame_index,input_mean_DN,output_mean_DN,mean_shift_DN,median_shift_DN,input_std_DN,output_std_DN,predicted_sigma_DN,best_epoch,predicted_residual_mean_DN,predicted_residual_median_DN,predicted_residual_row_mean_rms_DN,predicted_residual_column_mean_rms_DN
20260719,G,2,1,967.491455078125,966.7408781631384,-0.7505769149865955,0.0,56.678382873535156,56.0859260559082,,2,0.7505769149865955,0.0,0.9587883197559494,2.1327302978961784
20260719,G,2,2,970.6220092773438,969.86824332783,-0.7537659495137632,0.0,56.28868865966797,55.67894744873047,,2,0.7537659495137632,0.0,0.963035641100425,2.1374768219585385
20260719,G,2,3,964.1849365234375,963.4340164032765,-0.7509201201610267,0.0,56.959835052490234,56.35917663574219,,2,0.7509201201610267,0.0,0.9598854094278017,2.1292466340710994
20260719,G,2,4,967.8213500976562,967.0680190827698,-0.7533310148864985,0.0,56.209999084472656,55.60413360595703,,2,0.7533310148864985,0.0,0.9626391674841598,2.139541207347621
20260719,G,2,5,965.666015625,964.9157439274713,-0.7502716975286603,0.0,56.45948791503906,55.85284423828125,,2,0.7502716975286603,0.0,0.9681292047944708,2.1329285281256043
20260719,G,2,6,972.6070556640625,971.8532896258403,-0.7537660382222384,0.0,56.38975524902344,55.79941940307617,,2,0.7537660382222384,0.0,0.960946433258483,2.130974965862231
20260719,G,2,7,967.843017578125,967.0892592903692,-0.7537582877557725,0.0,56.79826354980469,56.204742431640625,,2,0.7537582877557725,0.0,0.9594158378340805,2.137128544845977
20260719,G,2,8,964.0133666992188,963.261630250141,-0.7517364490777254,0.0,56.284446716308594,55.6916618347168,,2,0.7517364490777254,0.0,0.9639384636886446,2.1276039476126187
20260719,G,2,9,963.6080932617188,962.8594085004879,-0.7486847612308338,0.0,56.331058502197266,55.729129791259766,,2,0.7486847612308338,0.0,0.9653562197521448,2.131902128547807
20260719,G,2,10,964.764404296875,964.0148498802446,-0.7495544166304171,0.0,56.40977478027344,55.80611038208008,,2,0.7495544166304171,0.0,0.9642086522970152,2.132732999889833
20260719,G,2,11,963.8558959960938,963.1045791802462,-0.751316815847531,0.0,56.885467529296875,56.270294189453125,,2,0.751316815847531,0.0,0.9675548046832082,2.1369076023816977
20260719,G,2,12,968.8090209960938,968.0573455153499,-0.7516754807438701,0.0,56.615211486816406,56.021366119384766,,2,0.7516754807438701,0.0,0.9598623199948285,2.13411518271887
20260719,G,2,13,967.34033203125,966.5859176714439,-0.7544143598061055,0.0,56.60972595214844,56.02845001220703,,2,0.7544143598061055,0.0,0.9622902255078268,2.1270950896371206
20260719,G,2,14,966.8687744140625,966.1162520784419,-0.752522335620597,0.0,56.60252380371094,55.991249084472656,,2,0.752522335620597,0.0,0.9632851567809955,2.1321916047454184
20260719,G,2,15,962.986083984375,962.2336228201166,-0.7524611642584205,0.0,56.511749267578125,55.9135627746582,,2,0.7524611642584205,0.0,0.9601604379485948,2.134340365873739
20260719,G,2,16,965.3079223632812,964.557124219602,-0.7507981436792761,0.0,56.46024703979492,55.87139129638672,,2,0.7507981436792761,0.0,0.9640330175064705,2.126841187115111
20260719,G,2,17,966.545166015625,965.793971241219,-0.7511947744060308,0.0,56.64857864379883,56.04787063598633,,2,0.7511947744060308,0.0,0.9671389650911502,2.1350597266418063
20260719,G,2,18,968.7258911132812,967.9753752867691,-0.7505158265121281,0.0,56.87076950073242,56.26765441894531,,2,0.7505158265121281,0.0,0.9614402498615715,2.138227922839655
20260719,G,2,19,968.3925170898438,967.6381332310848,-0.7543838587589562,0.0,56.33572769165039,55.73031997680664,,2,0.7543838587589562,0.0,0.9586606725526319,2.1327080627283137
20260719,G,2,20,966.029541015625,965.2785674741026,-0.7509735415223986,0.0,56.53703308105469,55.931297302246094,,2,0.7509735415223986,0.0,0.9627113250631949,2.1429995158048247
20260719,G,2,21,959.8396606445312,959.089320378378,-0.7503402661532164,0.0,56.53450012207031,55.93131637573242,,2,0.7503402661532164,0.0,0.9676016849188056,2.1327572296268342
20260719,G,2,22,963.5003662109375,962.7495452342555,-0.7508209766820073,0.0,56.6246337890625,56.016868591308594,,2,0.7508209766820073,0.0,0.9666227753153344,2.1306001381956032
20260719,G,2,23,965.3853759765625,964.634593147086,-0.7507828294765204,0.0,56.779937744140625,56.18016815185547,,2,0.7507828294765204,0.0,0.965036791755561,2.1337057255092833
20260719,G,2,24,971.696533203125,970.9452467982192,-0.7512864049058408,0.0,56.551143646240234,55.950225830078125,,2,0.7512864049058408,0.0,0.9618102730237749,2.134480671640124
20260719,G,2,25,968.500244140625,967.7470504585654,-0.7531936820596457,0.0,56.813072204589844,56.227821350097656,,2,0.7531936820596457,0.0,0.9565293572705201,2.1397444466237623
20260719,G,2,26,965.8934936523438,965.1413376175333,-0.7521560348104686,0.0,56.74551010131836,56.140262603759766,,2,0.7521560348104686,0.0,0.9658355686369985,2.1378764566511634
20260719,G,2,27,965.7939453125,965.0432463804027,-0.7506989320972934,0.0,56.55695724487305,55.96195983886719,,2,0.7506989320972934,0.0,0.9649778806625372,2.132634022659797
20260719,G,2,28,964.091552734375,963.3426238605753,-0.7489288737997413,0.0,56.78763961791992,56.18149948120117,,2,0.7489288737997413,0.0,0.9626058978161238,2.1283669002775203
20260719,G,2,29,961.9595947265625,961.2090866293292,-0.7505080972332507,0.0,56.7130241394043,56.12456512451172,,2,0.7505080972332507,0.0,0.9630480575351461,2.1354331182529123
20260719,G,2,30,962.5170288085938,961.7674666936509,-0.7495621149428189,0.0,56.83955001831055,56.245479583740234,,2,0.7495621149428189,0.0,0.960917271185755,2.1414364423371794
20260719,G,2,31,963.9554443359375,963.2031356508378,-0.752308685099706,0.0,56.549007415771484,55.96937942504883,,2,0.752308685099706,0.0,0.9576790576966006,2.1314479408523677
20260719,G,2,32,966.4065551757812,965.6544066868955,-0.752148488885723,0.0,56.84673309326172,56.24681091308594,,2,0.752148488885723,0.0,0.9672533803822032,2.135515815194641
20260719,G,2,33,966.2779541015625,965.5234633972868,-0.7544907042756677,0.0,56.495208740234375,55.90573501586914,,2,0.7544907042756677,0.0,0.9590985742465965,2.1342439371457935
20260719,G,2,34,967.0903930664062,966.3375731909182,-0.7528198754880577,0.0,56.88227462768555,56.29071044921875,,2,0.7528198754880577,0.0,0.9590707358074387,2.129705539983992
20260719,G,2,35,965.8131713867188,965.0620834334986,-0.7510879532201216,0.0,56.51050567626953,55.9139404296875,,2,0.7510879532201216,0.0,0.9610572199457678,2.1312311837635467
20260719,G,2,36,964.8505249023438,964.0971328772139,-0.7533920251298696,0.0,56.835147857666016,56.23797607421875,,2,0.7533920251298696,0.0,0.9650140201768367,2.1305163515892316
20260719,G,2,37,963.3421630859375,962.588420066284,-0.7537430196534842,0.0,56.57914733886719,55.97475051879883,,2,0.7537430196534842,0.0,0.9671292620579598,2.134877810476982
20260719,G,2,38,965.1613159179688,964.4102661339566,-0.7510497840121388,0.0,56.795745849609375,56.19561004638672,,2,0.7510497840121388,0.0,0.9637872575575109,2.1375664566313484
20260719,G,2,39,967.7114868164062,966.9600478680804,-0.7514389483258128,0.0,56.74539566040039,56.151084899902344,,2,0.7514389483258128,0.0,0.9580981752527459,2.139179690880072
20260719,G,2,40,959.6810913085938,958.9308655024506,-0.7502258061431348,0.0,56.821380615234375,56.21752166748047,,2,0.7502258061431348,0.0,0.9619084953608381,2.1378352252957957
20260719,G,2,41,967.0758666992188,966.3221618703101,-0.753704828908667,0.0,56.486534118652344,55.886253356933594,,2,0.753704828908667,0.0,0.9621487866113534,2.134249751092669
20260719,G,2,42,969.5506591796875,968.7972136554308,-0.7534455242566764,0.0,56.46082305908203,55.856666564941406,,2,0.7534455242566764,0.0,0.9589131734852487,2.1332530107822247
20260719,G,2,43,966.1778564453125,965.4252654968295,-0.7525909484829754,0.0,56.812801361083984,56.213687896728516,,2,0.7525909484829754,0.0,0.9626394965920999,2.13297565376678
20260719,G,2,44,967.137939453125,966.387248210609,-0.7506912425160408,0.0,56.89057159423828,56.301517486572266,,2,0.7506912425160408,0.0,0.9605304074334521,2.124367307496491
20260719,G,2,45,967.9304809570312,967.1779433466727,-0.7525376103585586,0.0,56.408870697021484,55.79523468017578,,2,0.7525376103585586,0.0,0.964239409289627,2.1287819719844414
20260719,G,2,46,968.3521118164062,967.6008254562039,-0.7512863602023572,0.0,56.506507873535156,55.915645599365234,,2,0.7512863602023572,0.0,0.9613514425493218,2.13025683107716
20260719,G,2,47,960.4932250976562,959.7442199368961,-0.7490051607601345,0.0,56.837196350097656,56.24042892456055,,2,0.7490051607601345,0.0,0.9647031285074887,2.13098871738658
20260719,G,2,48,961.23828125,960.4900238258997,-0.7482574241003022,0.0,56.324867248535156,55.72330856323242,,2,0.7482574241003022,0.0,0.9628564640966522,2.1396115799514095
20260719,G,2,49,965.786865234375,965.0355483244639,-0.751316909911111,0.0,56.69340133666992,56.08755111694336,,2,0.751316909911111,0.0,0.9614998856581735,2.1366128623267735
20260719,G,2,50,965.4894409179688,964.7362930378877,-0.7531478800810874,0.0,56.80833053588867,56.20765686035156,,2,0.7531478800810874,0.0,0.961052241254133,2.1317561990658795
20260719,G,2,51,968.3157958984375,967.5671721446561,-0.7486237537814304,0.0,56.77936935424805,56.16643142700195,,2,0.7486237537814304,0.0,0.9639446752963882,2.129373874120017
20260719,G,2,52,966.387451171875,965.6352110838052,-0.7522400880698115,0.0,56.34819030761719,55.747955322265625,,2,0.7522400880698115,0.0,0.9601049316973779,2.1361887411533407
20260719,G,2,53,961.1024780273438,960.3515960804652,-0.7508819468785077,0.0,56.46086120605469,55.864322662353516,,2,0.7508819468785077,0.0,0.9623230064070011,2.13856265711446
20260719,G,2,54,965.8140258789062,965.0633117246907,-0.7507141542155296,0.0,56.73930358886719,56.14594268798828,,2,0.7507141542155296,0.0,0.9628771322390116,2.133609809129076
20260719,G,2,55,965.2456665039062,964.4967147011776,-0.7489518027286977,0.0,56.696990966796875,56.08852005004883,,2,0.7489518027286977,0.0,0.96650646040619,2.1314362512902654
20260719,G,2,56,969.6900634765625,968.9359465690795,-0.7541169074829668,0.0,56.585487365722656,55.98929977416992,,2,0.7541169074829668,0.0,0.9592402345550077,2.127561082841444
