run_seed,model,folder,mean_shift_DN,mean_absolute_shift_DN,predicted_residual_mean_DN,input_mean_DN,predicted_sigma_DN,predicted_residual_DC_DN,predicted_residual_mean_std_across_frames_DN,predicted_residual_mean_first_last_change_DN,predicted_residual_spatial_low_frequency_fraction,predicted_residual_frame_to_frame_mean_difference_std_DN
20260719,G,2,-0.7511071362893563,0.7511071362893563,0.7511199116706848,964.9581463623047,,0.7511199116706848,0.0016811644516337009,0.0010756857227534056,0.1907019357130978,0.002274762854934135
20260719,CG_NC,2,-3.0809351780073486,3.0809351780073486,3.080866813659668,964.9581463623047,57.06449588285948,3.080866813659668,0.0021280964155967487,-0.0009995452128350735,0.0444149948807594,0.002484469861057769
20260720,G,2,-4.906046769320969,4.906046769320969,4.905877590179443,964.9581463623047,,4.905877590179443,0.008020495448654125,-0.009002552833408117,0.06548392252516219,0.010060915561449765
20260720,CG_NC,2,-4.041022194365633,4.041022194365633,4.040896892547607,964.9581463623047,57.06449588285948,4.040896892547607,0.01878677239566252,0.015838381368666887,0.041731299956964646,0.021885851589979854
20260721,G,2,6.341750324270688,6.341750324270688,-6.341653823852539,964.9581463623047,,-6.341653823852539,0.010900660432023913,-0.021438270807266235,0.12518647135044783,0.015048009927336629
20260721,CG_NC,2,8.014318397211609,8.014318397211609,-8.014215469360352,964.9581463623047,57.06449588285948,-8.014215469360352,0.004819329224611884,-0.0019226246513426304,0.07323515784909417,0.00591927171470395
20260719,G,5,-1.5943186884187162,1.5943186884187162,1.5943063497543335,4690.909596557617,,1.5943063497543335,0.003043851946616331,-0.012664702953770757,0.24666242722461618,0.002067556884382218
20260719,CG_NC,5,-5.267892011560034,5.267892011560034,5.267887115478516,4690.909596557617,277.4051831872126,5.267887115478516,0.008673273118511989,-0.036781017668545246,0.3383945440146021,0.003245964774904214
20260720,G,5,-15.12232636770932,15.12232636770932,15.122130393981934,4690.909596557617,,15.122130393981934,0.02421855501614548,-0.09686160227283835,0.6842246894682573,0.011424285920200008
20260720,CG_NC,5,-0.062279086499474945,0.06291259873192757,0.06227865815162659,4690.909596557617,277.4051831872126,0.06227865815162659,0.03174325491098386,0.11907635862007737,0.570257225132891,0.013759240672533504
20260721,G,5,-32.00230875238776,32.00230875238776,32.002479553222656,4690.909596557617,,32.002479553222656,0.266944723356253,-0.9904489452019334,0.930507209931968,0.07705031649451148
20260721,CG_NC,5,-18.89263940560282,18.89263940560282,18.89267921447754,4690.909596557617,277.4051831872126,18.89267921447754,0.22151107861446226,-0.8381990150082856,0.8639343985458098,0.06433427200290959
20260719,G,9,-0.8196916390152182,0.8196916390152182,0.8197131156921387,1399.1596292114257,,0.8197131156921387,0.001562580171297391,-0.00026708655059337616,0.18273062685956962,0.0021686989729980074
20260719,CG_NC,9,-3.260627486378653,3.260627486378653,3.260568618774414,1399.1596292114257,82.74176367295092,3.260568618774414,0.0019974730344186997,0.00222781952470541,0.05033492597558727,0.002358785881523188
20260720,G,9,-6.015317177932129,6.015317177932129,6.015115737915039,1399.1596292114257,,6.015115737915039,0.009072790882801902,0.015090540051460266,0.12415991559186176,0.010342985188917781
20260720,CG_NC,9,-3.5672465238814586,3.5672465238814586,3.5671470165252686,1399.1596292114257,82.74176367295092,3.5671470165252686,0.01234904259827579,-0.0020751231350004673,0.042117277999528795,0.013834282873117977
20260721,G,9,6.084105577081209,6.084105577081209,-6.084016799926758,1399.1596292114257,,-6.084016799926758,0.007969630594205121,0.0027923621237277985,0.143250373011094,0.010141903676421087
20260721,CG_NC,9,8.181094608156709,8.181094608156709,-8.181017875671387,1399.1596292114257,82.74176367295092,-8.181017875671387,0.004629097699871637,-0.005798649974167347,0.08178534064693604,0.005971751263070501
20260719,G,11,-0.7617888563766609,0.7617888563766609,0.7618035674095154,1080.4407278442384,,0.7618035674095154,0.001796581685204726,0.002937213168479502,0.19105928164580807,0.0022910224534608776
20260719,CG_NC,11,-3.130731232680846,3.130731232680846,3.130671501159668,1080.4407278442384,63.893761297489725,3.130671501159668,0.0022510033638271955,0.002365191583521664,0.045180980952834265,0.0024681540812061145
20260720,G,11,-5.140500461934139,5.140500461934139,5.1403279304504395,1080.4407278442384,,5.1403279304504395,0.006951607211241731,-0.012969765812158585,0.07307181570340658,0.008509290577026011
20260720,CG_NC,11,-3.890676305762099,3.890676305762099,3.890559434890747,1080.4407278442384,63.893761297489725,3.890559434890747,0.01556334592545274,-0.00473009841516614,0.04269892521698639,0.014592063890121455
20260721,G,11,6.199687441672431,6.199687441672431,-6.1995954513549805,1080.4407278442384,,-6.1995954513549805,0.009105064313735626,-0.009902802063152194,0.12972575482162424,0.011669824735652904
20260721,CG_NC,11,8.101314541304019,8.101314541304019,-8.101238250732422,1080.4407278442384,63.893761297489725,-8.101238250732422,0.005179989480071056,-0.003021197160705924,0.07524508472612475,0.006327250858027739
