source,content_id,content_sha256,condition_id,seed,source_mean_DN,target_iccd_signal_DN,gain,scaled_mean_DN,relative_mean_error,source_zero_ratio,scaled_zero_ratio,added_zero_ratio,clipping_high_ratio,unique_values,scaled_std_DN,effective_dynamic_range_DN,round_trip_max_error_DN,scale_gate_pass,failure_reason,scene_id,patch_top,patch_left
sCMOS,content_066,02c46a70fc25bd849903958a1efe98f69fa2496d2391c181c61dee187bebe4c7,low,1085572695,12766.537574768066,935.1195068359376,0.0732476994141402,935.1193809509277,1.3461916788075065e-07,0.0,0.0,0.0,0.0,2556,273.8356933033566,1627.570000000007,0.5,True,,,,
sCMOS,content_066,02c46a70fc25bd849903958a1efe98f69fa2496d2391c181c61dee187bebe4c7,mid,439002690,12766.537574768066,1491.98291015625,0.11686668381449192,1491.9828491210938,4.090875025077064e-08,0.0,0.0,0.0,0.0,3870,436.9046314800334,2596.570000000007,0.5,True,,,,
sCMOS,content_066,02c46a70fc25bd849903958a1efe98f69fa2496d2391c181c61dee187bebe4c7,high,1432341049,12766.537574768066,2510.12255859375,0.19661733213826005,2510.122329711914,9.118353012441227e-08,0.0,0.0,0.0,0.0,5993,735.0498086028288,4368.710000000014,0.4990234375,True,,,,
sCMOS,content_067,2b3c728264962b69219c0c2b246490991b8a39f47eae5a04d63bfbad009240e0,low,2379222898,12779.043991088867,935.1195068359376,0.07317601437854183,935.1195220947266,1.631747475832546e-08,0.0,0.0,0.0,0.0,2544,273.767080038125,1619.0,0.5,True,,,,
sCMOS,content_067,2b3c728264962b69219c0c2b246490991b8a39f47eae5a04d63bfbad009240e0,mid,4058485535,12779.043991088867,1491.98291015625,0.11675231036035601,1491.9827308654785,1.2016945386163876e-07,0.0,0.0,0.0,0.0,3880,436.7932843618777,2583.0,0.5,True,,,,
sCMOS,content_067,2b3c728264962b69219c0c2b246490991b8a39f47eae5a04d63bfbad009240e0,high,46632795,12779.043991088867,2510.12255859375,0.19642490943329707,2510.121894836426,2.644322373607956e-07,0.0,0.0,0.0,0.0,6004,734.8662200340231,4345.57,0.5,True,,,,
sCMOS,content_068,89e27d674b8fb8ec3dad23bdac591203364adf0717352535dd909a01e3b7cb31,low,555591998,12774.384906768799,935.1195068359376,0.07320270319555215,935.1185455322266,1.0280009175552822e-06,0.0,0.0,0.0,0.0,2556,275.183164363249,1640.1400000000071,0.5,True,,,,
sCMOS,content_068,89e27d674b8fb8ec3dad23bdac591203364adf0717352535dd909a01e3b7cb31,mid,1996434155,12774.384906768799,1491.98291015625,0.1167948923603898,1491.9817276000977,7.926070361086812e-07,0.0,0.0,0.0,0.0,3882,439.05499928637454,2617.0,0.5,True,,,,
sCMOS,content_068,89e27d674b8fb8ec3dad23bdac591203364adf0717352535dd909a01e3b7cb31,high,3980174345,12774.384906768799,2510.12255859375,0.19649654969013064,2510.1220512390137,2.0212349177578053e-07,0.0,0.0,0.0,0.0,6010,738.6690007658734,4402.140000000007,0.5,True,,,,
sCMOS,content_069,664e781cb0d7a318f90086fcb024061b39deaceaa5e970c3c266a774b79d5f1b,low,1072256793,12819.02241897583,935.1195068359376,0.07294780181144644,935.1192092895508,3.18190760279627e-07,0.0,0.0,0.0,0.0,2569,274.6750052757168,1658.570000000007,0.5,True,,,,
