folder,variant,strength,strength_A,strength_B,tail,tail_A,tail_B,spatial,spatial_A,spatial_B,signal_nonstationarity,signal_nonstationarity_A,signal_nonstationarity_B
1,H-H,1.3062277707437289,1.301331465264256,1.3111240762232017,98.35966205596924,98.50356388092041,98.21576023101807,0.005372371858123523,0.005896062270590789,0.004848681445656257,0.6332409146504362,0.6331582356813539,0.6333235936195185
1,H-L,0.3665028724514381,0.3654855300855239,0.3675202148173522,82.69637775421143,83.75866794586182,81.63408756256104,0.006424109812007483,0.007148737432221153,0.005699482191793814,0.6332409146504362,0.6331582356813539,0.6333235936195185
1,P-H,1.3062271914848247,1.3013311151689633,1.3111232678006863,369.3457040786743,358.63240146636963,380.059006690979,0.0046024930032496116,0.0048679816832383725,0.004337004323260851,0.6332409146504362,0.6331582356813539,0.6333235936195185
1,P-L,0.3665025398300261,0.3654864226071079,0.3675186570529444,262.01471042633057,257.1709146499634,266.85850620269775,0.005126123823293112,0.005509039984775114,0.00474320766181111,0.6332409146504362,0.6331582356813539,0.6333235936195185
2,H-H,1.7857556717942042,1.780783754667929,1.7907275889204792,99.06545114517212,99.21173429489136,98.91916799545288,0.0054978723272459075,0.005914950492856726,0.005080794161635089,0.2025890561080184,0.20216571932286836,0.20301239289316841
2,H-L,0.8460307735019135,0.844937819489197,0.8471237275146298,83.4021668434143,84.46683835983276,82.33749532699585,0.006532128585805016,0.006950645217276562,0.0061136119543334705,0.2025890561080184,0.20216571932286836,0.20301239289316841
2,P-H,1.7857550925353,1.780783404572636,1.790726780497964,370.0514931678772,359.3405718803406,380.7624144554138,0.0039037636010171954,0.0038678930860827593,0.003939634115951632,0.2025890561080184,0.20216571932286836,0.20301239289316841
2,P-L,0.8460304408805015,0.8449387120107809,0.847122169750222,262.72049951553345,257.8790850639343,267.56191396713257,0.004719912414598924,0.005088314758479293,0.004351510070718556,0.2025890561080184,0.20216571932286836,0.20301239289316841
4,H-H,0.7349254252053554,0.7301337122756363,0.7397171381350744,97.76901960372925,97.90502643585205,97.63301277160645,0.0031614487988167643,0.003867811929061988,0.002455085668571541,0.9187236944392897,0.9182599438730876,0.9191874450054918
4,H-L,0.2047994730869355,0.2057122229030959,0.2038867232707751,82.10573530197144,83.16013050079346,81.05134010314941,0.004085459963924074,0.004918324851873001,0.0032525950759751464,0.9187236944392897,0.9182599438730876,0.9191874450054918
4,P-H,0.7349248459464512,0.7301333621803433,0.7397163297125591,368.7550616264343,358.03386402130127,379.4762592315674,0.002931798795945014,0.002399617327241324,0.003463980264648704,0.9187236944392897,0.9182599438730876,0.9191874450054918
4,P-L,0.20479980570834738,0.20571133038151193,0.20388828103518286,261.4240679740906,256.572377204895,266.27575874328613,0.0027773897953486865,0.003077404792677747,0.002477374798019626,0.9187236944392897,0.9182599438730876,0.9191874450054918
5,H-H,0.016370520990041302,0.012092523632357003,0.020648518347725603,97.61275100708008,97.74874687194824,97.47675514221191,0.012170082580051263,0.012552912300689669,0.011787252859412855,0.9470555896149424,0.9470213591541017,0.9470898200757832
