metric,folder_count,spearman_rho,variant_spearman,variant_nonpositive_count,variant_total,exact_two_sided_permutation_p,bootstrap_ci95_low,bootstrap_ci95_high,loo_nonpositive_count,loo_medium_effect_count,loo_min_rho,loo_max_rho,seed_reference_nonpositive_count,seed_reference_total,partial_rank_controlling_gradient,variant_partial_rank_controlling_gradient,absolute_rho_exceeds_negative_control,bh_exploratory_q
strength,10,-0.606060606060606,P-L:-0.842424;P-H:-0.600000;H-L:-0.248485;H-H:-0.733333,4,4,0.002933201058201058,-0.5,0.0,10,10,-0.7,-0.49166666666666664,6,6,-0.5077329116556639,P-L:-0.832324;P-H:-0.684675;H-L:-0.111360;H-H:-0.402572,True,0.005866402116402116
spatial,10,0.34545454545454546,P-L:-0.333333;P-H:0.672727;H-L:0.381818;H-H:0.660606,1,4,0.18899250440917106,-0.5,1.0,0,7,0.19999999999999998,0.5166666666666666,0,6,0.2194357296572398,P-L:-0.552258;P-H:0.550757;H-L:0.303046;H-H:0.576198,True,0.18899250440917106
