reference,strategy,folder,pair_count,mean_psnr_gain,std_psnr_gain,positive_pair_fraction,mean_ssim,mean_ssim_gain,mean_gradient_ratio_to_noisy,mean_residual_std,mean_removed_residual_std
ref100_all,always_noisy,1,8,0.0,0.0,0.0,0.9981243046172492,0.0,1.0,0.0012924269394716248,0.0
ref100_all,always_noisy,2,8,0.0,0.0,0.0,0.9994317864516323,0.0,1.0,0.0006917781502124853,0.0
ref100_all,always_noisy,4,8,0.0,0.0,0.0,0.9955675185933948,0.0,1.0,0.002039715473074466,0.0
ref100_all,always_noisy,5,8,0.0,0.0,0.0,0.9839432139919702,0.0,1.0,0.004656805656850338,0.0
ref100_all,always_noisy,7,8,0.0,0.0,0.0,0.9923570903287028,0.0,1.0,0.0027956379344686866,0.0
ref100_all,always_noisy,8,8,0.0,0.0,0.0,0.9936530711098608,0.0,1.0,0.0024563084298279136,0.0
ref100_all,always_noisy,9,8,0.0,0.0,0.0,0.9973865969755741,0.0,1.0,0.0015215016173897311,0.0
ref100_all,always_noisy,10,8,0.0,0.0,0.0,0.9983274370673021,0.0,1.0,0.0012081908498657867,0.0
ref100_all,always_noisy,11,8,0.0,0.0,0.0,0.9989654094482294,0.0,1.0,0.00094508400070481,0.0
ref100_all,always_noisy,13,8,0.0,0.0,0.0,0.9995625918545816,0.0,1.0,0.0006091584218665957,0.0
ref100_all,always_p99,1,8,0.018926206256763223,0.018350738660522056,0.875,0.9981327985492043,8.493931955150247e-06,0.9952180892058808,0.0012883853050880134,2.1399231400209828e-05
ref100_all,always_p99,2,8,0.05769803757301073,0.042403206723986994,1.0,0.9994413779427239,9.591491091615056e-06,0.9945710611258465,0.000688677879224997,2.259454481645662e-05
ref100_all,always_p99,4,8,0.049013180831968484,0.012377200131426203,1.0,0.9956145697428576,4.7051149462892794e-05,0.9948994013682344,0.002027906884904951,4.998128179067862e-05
ref100_all,always_p99,5,8,0.07176804304339957,0.009502673778063448,1.0,0.9841507503125236,0.0002075363205535502,0.9957013606375961,0.004627847811207175,0.00011455207641120069
ref100_all,always_p99,7,8,0.04419714763151639,0.005858456327732237,1.0,0.9924471682652934,9.007793659064622e-05,0.9950604202175236,0.002780281793093309,6.763090459571686e-05
ref100_all,always_p99,8,8,0.047815233472674024,0.009877426826956153,1.0,0.9937277032159983,7.463210613750659e-05,0.994974608342166,0.002441819495288655,6.180261152621824e-05
ref100_all,always_p99,9,8,0.03252036167778449,0.0064946165860091725,1.0,0.9974103013796773,2.3704404103194743e-05,0.9946495872319061,0.001513848386821337,3.6431997159525054e-05
ref100_all,always_p99,10,8,0.02723001508694267,0.01043687990577543,1.0,0.9983381909506122,1.0753883310135604e-05,0.9945276421818936,0.001202016239403747,2.990336497532553e-05
ref100_all,always_p99,11,8,0.04189914913437143,0.021377945274811037,1.0,0.9989763159566696,1.0906508440267082e-05,0.9944210800819628,0.0009405016098753549,2.664391740836436e-05
ref100_all,always_p99,13,8,0.0012887042532483406,0.0461926138319232,0.5,0.999560375259334,-2.216595247461761e-06,0.9946551887592154,0.0006065466368454508,2.4570964569647913e-05
ref100_all,always_physical,1,8,-0.00767522224849948,0.02438393846701248,0.375,0.998117309051131,-6.995566118189744e-06,0.9992701401716482,0.0012911346566397697,6.86882702893854e-06
ref100_all,always_physical,2,8,-0.1395375972606434,0.0965854330022506,0.0,0.9994008920620436,-3.0894389588725923e-05,0.9999998273371178,0.0006917780192452483,2.902403456461755e-10
ref100_all,always_physical,4,8,0.37454974532853136,0.021711860982093423,1.0,0.9959603303741037,0.0003928117807090181,0.968499752624852,0.0019511317659635097,0.00015756311404402368
ref100_all,always_physical,5,8,1.4197746148214732,0.23492823196078302,1.0,0.9895934167339768,0.005650202742006741,0.8613521399309083,0.003955553402192891,0.0013708085607504472
ref100_all,always_physical,7,8,0.9774072856981064,0.10767531434993388,1.0,0.9940654156712497,0.0017083253425469735,0.9165292071693869,0.002498175628716126,0.000500234127684962
ref100_all,always_physical,8,8,0.8226999603324963,0.03354879291019278,1.0,0.9948047976166818,0.0011517265068209798,0.9354080992471385,0.002232501283288002,0.00036219531830283813
ref100_all,always_physical,9,8,0.065461318475041,0.009614269343719664,1.0,0.9974238483701157,3.725139454148485e-05,0.9943887924620137,0.001508779649157077,3.0207131430870504e-05
ref100_all,always_physical,10,8,0.008768047183486338,0.017441720430245913,0.625,0.9983294624939429,2.0254266409336363e-06,0.9988727280520499,0.0012059657456120476,8.062829010668793e-06
ref100_all,always_physical,11,8,-0.05534769378442306,0.0413203933954375,0.0,0.9989456989066474,-1.9710541582076968e-05,0.9999994576504732,0.0009450831930735148,9.349197793717678e-08
ref100_all,always_physical,13,8,-0.035391826300214646,0.11323614239838203,0.5,0.9995561022559729,-6.489598608744318e-06,0.9999999558842716,0.0006091583927627653,1.1114974565740177e-10
ref100_all,lofo_best_hard,1,8,0.018926206256763223,0.018350738660522056,0.875,0.9981327985492043,8.493931955150247e-06,0.9952180892058808,0.0012883853050880134,2.1399231400209828e-05
ref100_all,lofo_best_hard,2,8,0.05769803757301073,0.042403206723986994,1.0,0.9994413779427239,9.591491091615056e-06,0.9945710611258465,0.000688677879224997,2.259454481645662e-05
ref100_all,lofo_best_hard,4,8,0.37454974532853136,0.021711860982093423,1.0,0.9959603303741037,0.0003928117807090181,0.968499752624852,0.0019511317659635097,0.00015756311404402368
ref100_all,lofo_best_hard,5,8,1.4197746148214732,0.23492823196078302,1.0,0.9895934167339768,0.005650202742006741,0.8613521399309083,0.003955553402192891,0.0013708085607504472
ref100_all,lofo_best_hard,7,8,0.9774072856981064,0.10767531434993388,1.0,0.9940654156712497,0.0017083253425469735,0.9165292071693869,0.002498175628716126,0.000500234127684962
ref100_all,lofo_best_hard,8,8,0.8226999603324963,0.03354879291019278,1.0,0.9948047976166818,0.0011517265068209798,0.9354080992471385,0.002232501283288002,0.00036219531830283813
ref100_all,lofo_best_hard,9,8,0.03252036167778449,0.0064946165860091725,1.0,0.9974103013796773,2.3704404103194743e-05,0.9946495872319061,0.001513848386821337,3.6431997159525054e-05
ref100_all,lofo_best_hard,10,8,0.008768047183486338,0.017441720430245913,0.625,0.9983294624939429,2.0254266409336363e-06,0.9988727280520499,0.0012059657456120476,8.062829010668793e-06
ref100_all,lofo_best_hard,11,8,0.04189914913437143,0.021377945274811037,1.0,0.9989763159566696,1.0906508440267082e-05,0.9944210800819628,0.0009405016098753549,2.664391740836436e-05
ref100_all,lofo_best_hard,13,8,0.0012887042532483406,0.0461926138319232,0.5,0.999560375259334,-2.216595247461761e-06,0.9946551887592154,0.0006065466368454508,2.4570964569647913e-05
ref100_all,lofo_best_linear,1,8,0.018926206256763223,0.018350738660522056,0.875,0.9981327985492043,8.493931955150247e-06,0.9952180892058808,0.0012883853050880134,2.1399231400209828e-05
ref100_all,lofo_best_linear,2,8,0.05769803757301073,0.042403206723986994,1.0,0.9994413779427239,9.591491091615056e-06,0.9945710611258465,0.000688677879224997,2.259454481645662e-05
ref100_all,lofo_best_linear,4,8,0.37454974532853136,0.021711860982093423,1.0,0.9959603303741037,0.0003928117807090181,0.968499752624852,0.0019511317659635097,0.00015756311404402368
ref100_all,lofo_best_linear,5,8,1.4197746148214732,0.23492823196078302,1.0,0.9895934167339768,0.005650202742006741,0.8613521399309083,0.003955553402192891,0.0013708085607504472
ref100_all,lofo_best_linear,7,8,0.9774072856981064,0.10767531434993388,1.0,0.9940654156712497,0.0017083253425469735,0.9165292071693869,0.002498175628716126,0.000500234127684962
