reference,strategy,pair_key,folder,condition_score,psnr,psnr_gain,ssim,ssim_gain,residual_mean,residual_std,gradient_ratio_to_noisy,removed_residual_std,is_primary_strategy
ref25_q1,always_noisy,folder_1_frame_101,1,-0.5895646452563452,57.489908709544544,0.0,0.998010360014232,0.0,-5.6001837947405875e-05,0.0013338965363800526,1.0,0.0,0
ref25_q1,always_p99,folder_1_frame_101,1,-0.5895646452563452,57.52308774744593,0.03317903790138388,0.9980284609253818,1.8100911149732113e-05,-6.359276540024439e-06,0.0013299663551151752,0.9952139261534843,2.1434054360724986e-05,0
ref25_q1,always_physical,folder_1_frame_101,1,-0.5895646452563452,57.45559177632981,-0.034316933214732614,0.9979854676867312,-2.4892327500802836e-05,-0.0001433384168194607,0.0013326704502105713,0.9992883883946977,6.800405571993906e-06,0
ref25_q1,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,57.52308774744593,0.03317903790138388,0.9980284609253818,1.8100911149732113e-05,-6.359276540024439e-06,0.0013299663551151752,0.9952139261534843,2.1434054360724986e-05,0
ref25_q1,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,57.52308774744593,0.03317903790138388,0.9980284609253818,1.8100911149732113e-05,-6.359276540024439e-06,0.0013299663551151752,0.9952139261534843,2.1434054360724986e-05,1
ref25_q2,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.21470832401854,0.0,0.9983040926223058,0.0,-4.9495600251248106e-05,0.0012271895539015532,1.0,0.0,0
ref25_q2,always_p99,folder_1_frame_101,1,-0.5895646452563452,58.254581625529305,0.03987330151076662,0.9983219425754499,1.78499531441334e-05,1.4696934158564545e-07,0.0012225620448589325,0.9952139261534843,2.1434054360724986e-05,0
ref25_q2,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.1775441128748,-0.03716421114373958,0.9982815202905307,-2.2572331775050358e-05,-0.0001368321682093665,0.0012258401839062572,0.9992883883946977,6.800405571993906e-06,0
ref25_q2,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,58.254581625529305,0.03987330151076662,0.9983219425754499,1.78499531441334e-05,1.4696934158564545e-07,0.0012225620448589325,0.9952139261534843,2.1434054360724986e-05,0
ref25_q2,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,58.254581625529305,0.03987330151076662,0.9983219425754499,1.78499531441334e-05,1.4696934158564545e-07,0.0012225620448589325,0.9952139261534843,2.1434054360724986e-05,1
ref25_q3,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.74063928897434,0.0,0.9984905183160234,0.0,-3.1511335691902786e-05,0.0011555975070223212,1.0,0.0,0
ref25_q3,always_p99,folder_1_frame_101,1,-0.5895646452563452,58.783461982794414,0.04282269382007087,0.9985062999633638,1.5781647340396e-05,1.8131227989215404e-05,0.0011501989793032408,0.9952139261534843,2.1434054360724986e-05,0
ref25_q3,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.7090003870543,-0.03163890192004004,0.9984737831577907,-1.673515823275018e-05,-0.0001188479145639576,0.00115414266474545,0.9992883883946977,6.800405571993906e-06,0
ref25_q3,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,58.783461982794414,0.04282269382007087,0.9985062999633638,1.5781647340396e-05,1.8131227989215404e-05,0.0011501989793032408,0.9952139261534843,2.1434054360724986e-05,0
ref25_q3,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,58.783461982794414,0.04282269382007087,0.9985062999633638,1.5781647340396e-05,1.8131227989215404e-05,0.0011501989793032408,0.9952139261534843,2.1434054360724986e-05,1
ref25_q4,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.99343621468987,0.0,0.9985718525518141,0.0,-4.601955151883885e-05,0.001121923211030662,1.0,0.0,0
ref25_q4,always_p99,folder_1_frame_101,1,-0.5895646452563452,59.04519164022874,0.051755425538864586,0.9985898789552955,1.802640348136375e-05,3.6230176192475483e-06,0.0011161899892613292,0.9952139261534843,2.1434054360724986e-05,0
ref25_q4,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.9513740532517,-0.04206216143817443,0.9985518604191066,-1.999213270753586e-05,-0.00013335610856302083,0.0011204089969396591,0.9992883883946977,6.800405571993906e-06,0
ref25_q4,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,59.04519164022874,0.051755425538864586,0.9985898789552955,1.802640348136375e-05,3.6230176192475483e-06,0.0011161899892613292,0.9952139261534843,2.1434054360724986e-05,0
ref25_q4,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,59.04519164022874,0.051755425538864586,0.9985898789552955,1.802640348136375e-05,3.6230176192475483e-06,0.0011161899892613292,0.9952139261534843,2.1434054360724986e-05,1
ref50_h1,always_noisy,folder_1_frame_101,1,-0.5895646452563452,57.934084744411614,0.0,0.9981973482068224,0.0,-5.274870272842236e-05,0.0012674182653427124,1.0,0.0,0
ref50_h1,always_p99,folder_1_frame_101,1,-0.5895646452563452,57.97115211398123,0.03706736956961976,0.9982153557490173,1.800754219494216e-05,-3.1061504159879405e-06,0.0012631098506972194,0.9952139261534843,2.1434054360724986e-05,0
ref50_h1,always_physical,folder_1_frame_101,1,-0.5895646452563452,57.89766301931898,-0.0364217250926302,0.9981735684279659,-2.377977885648086e-05,-0.00014008526341058314,0.001266119652427733,0.9992883883946977,6.800405571993906e-06,0
ref50_h1,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,57.97115211398123,0.03706736956961976,0.9982153557490173,1.800754219494216e-05,-3.1061504159879405e-06,0.0012631098506972194,0.9952139261534843,2.1434054360724986e-05,0
ref50_h1,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,57.97115211398123,0.03706736956961976,0.9982153557490173,1.800754219494216e-05,-3.1061504159879405e-06,0.0012631098506972194,0.9952139261534843,2.1434054360724986e-05,1
ref50_h2,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.978397198503856,0.0,0.9985684468313498,0.0,-3.876543996739201e-05,0.0011241442989557981,1.0,0.0,0
ref50_h2,always_p99,folder_1_frame_101,1,-0.5895646452563452,59.02680548421654,0.048408285712682186,0.9985853767487767,1.6929917426855567e-05,1.0877129170694388e-05,0.001118508167564869,0.9952139261534843,2.1434054360724986e-05,0
ref50_h2,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.94073015967042,-0.03766703883343325,0.9985500461093211,-1.84007220287441e-05,-0.0001261020079255104,0.0011226409114897251,0.9992883883946977,6.800405571993906e-06,0
ref50_h2,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,59.02680548421654,0.048408285712682186,0.9985853767487767,1.6929917426855567e-05,1.0877129170694388e-05,0.001118508167564869,0.9952139261534843,2.1434054360724986e-05,0
ref50_h2,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,59.02680548421654,0.048408285712682186,0.9985853767487767,1.6929917426855567e-05,1.0877129170694388e-05,0.001118508167564869,0.9952139261534843,2.1434054360724986e-05,1
ref100_all,always_noisy,folder_1_frame_101,1,-0.5895646452563452,58.60257512761966,0.0,0.998445263501816,0.0,-4.575708226184361e-05,0.001173657481558621,1.0,0.0,0
ref100_all,always_p99,folder_1_frame_101,1,-0.5895646452563452,58.64639637952813,0.04382125190846864,0.9984628403539161,1.7576852100131823e-05,3.8854773265484255e-06,0.0011686320649459958,0.9952139261534843,2.1434054360724986e-05,0
ref100_all,always_physical,folder_1_frame_101,1,-0.5895646452563452,58.56406894816706,-0.03850617945259671,0.9984240085338179,-2.1254967998096674e-05,-0.00013309366477187723,0.0011722363997250795,0.9992883883946977,6.800405571993906e-06,0
ref100_all,lofo_best_hard,folder_1_frame_101,1,-0.5895646452563452,58.64639637952813,0.04382125190846864,0.9984628403539161,1.7576852100131823e-05,3.8854773265484255e-06,0.0011686320649459958,0.9952139261534843,2.1434054360724986e-05,0
ref100_all,lofo_best_linear,folder_1_frame_101,1,-0.5895646452563452,58.64639637952813,0.04382125190846864,0.9984628403539161,1.7576852100131823e-05,3.8854773265484255e-06,0.0011686320649459958,0.9952139261534843,2.1434054360724986e-05,1
ref25_q1,always_noisy,folder_1_frame_111,1,-0.5895646452563452,57.269980279286735,0.0,0.9979149011300291,0.0,-2.1670903151971288e-05,0.001369135919958353,1.0,0.0,0
ref25_q1,always_p99,folder_1_frame_111,1,-0.5895646452563452,57.29235569021496,0.022375410928226813,0.9979277323334853,1.2831203456187268e-05,2.8132963052485138e-05,0.0013654949143528938,0.9952388147438304,2.146118822565768e-05,0
ref25_q1,always_physical,folder_1_frame_111,1,-0.5895646452563452,57.25112635939769,-0.018853919889046722,0.9978989743117765,-1.5926818252576247e-05,-0.00010900974302785471,0.001367946621030569,0.9992737016255528,6.755813046765979e-06,0
ref25_q1,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,57.29235569021496,0.022375410928226813,0.9979277323334853,1.2831203456187268e-05,2.8132963052485138e-05,0.0013654949143528938,0.9952388147438304,2.146118822565768e-05,0
ref25_q1,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,57.29235569021496,0.022375410928226813,0.9979277323334853,1.2831203456187268e-05,2.8132963052485138e-05,0.0013654949143528938,0.9952388147438304,2.146118822565768e-05,1
ref25_q2,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.03915913430848,0.0,0.9982402594952555,0.0,-1.5164663636824116e-05,0.0012531705433502793,1.0,0.0,0
ref25_q2,always_p99,folder_1_frame_111,1,-0.5895646452563452,58.06681530706292,0.027656172754440433,0.9982528812485729,1.2621753317398898e-05,3.4639204386621714e-05,0.0012487981002777815,0.9952388147438304,2.146118822565768e-05,0
ref25_q2,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.019894995923366,-0.019264138385111096,0.9982267503880206,-1.350910723496579e-05,-0.00010250350896967575,0.001251855632290244,0.9992737016255528,6.755813046765979e-06,0
ref25_q2,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,58.06681530706292,0.027656172754440433,0.9982528812485729,1.2621753317398898e-05,3.4639204386621714e-05,0.0012487981002777815,0.9952388147438304,2.146118822565768e-05,0
ref25_q2,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,58.06681530706292,0.027656172754440433,0.9982528812485729,1.2621753317398898e-05,3.4639204386621714e-05,0.0012487981002777815,0.9952388147438304,2.146118822565768e-05,1
ref25_q3,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.64313378918511,0.0,0.9984598728687595,0.0,2.8195993309054757e-06,0.0011690739775076509,1.0,0.0,0
ref25_q3,always_p99,folder_1_frame_111,1,-0.5895646452563452,58.67304292043297,0.02990913124786232,0.9984704288765845,1.0556007825068825e-05,5.2623465307988226e-05,0.0011638697469606996,0.9952388147438304,2.146118822565768e-05,0
ref25_q3,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.63107468144648,-0.012059107738629393,0.9984522824583328,-7.590410426638883e-06,-8.45192262204364e-05,0.0011676468420773745,0.9992737016255528,6.755813046765979e-06,0
ref25_q3,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,58.67304292043297,0.02990913124786232,0.9984704288765845,1.0556007825068825e-05,5.2623465307988226e-05,0.0011638697469606996,0.9952388147438304,2.146118822565768e-05,0
ref25_q3,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,58.67304292043297,0.02990913124786232,0.9984704288765845,1.0556007825068825e-05,5.2623465307988226e-05,0.0011638697469606996,0.9952388147438304,2.146118822565768e-05,1
ref25_q4,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.97973827769859,0.0,0.9985693924683184,0.0,-1.1688615813909564e-05,0.0011245781788602471,1.0,0.0,0
ref25_q4,always_p99,folder_1_frame_111,1,-0.5895646452563452,59.01887462811656,0.03913635041797647,0.9985822690852918,1.2876616973356292e-05,3.811525311903097e-05,0.00111893389839679,0.9952388147438304,2.146118822565768e-05,0
ref25_q4,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.95821828814935,-0.021519989549240393,0.9985586590778006,-1.0733390517825292e-05,-9.90274638752453e-05,0.0011230712989345193,0.9992737016255528,6.755813046765979e-06,0
ref25_q4,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,59.01887462811656,0.03913635041797647,0.9985822690852918,1.2876616973356292e-05,3.811525311903097e-05,0.00111893389839679,0.9952388147438304,2.146118822565768e-05,0
ref25_q4,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,59.01887462811656,0.03913635041797647,0.9985822690852918,1.2876616973356292e-05,3.811525311903097e-05,0.00111893389839679,0.9952388147438304,2.146118822565768e-05,1
ref50_h1,always_noisy,folder_1_frame_111,1,-0.5895646452563452,57.73004399977885,0.0,0.9981176816537541,0.0,-1.841777702793479e-05,0.0012985364301130176,1.0,0.0,0
ref50_h1,always_p99,folder_1_frame_111,1,-0.5895646452563452,57.75536101171967,0.025317011940821033,0.9981304401642016,1.2758510447463678e-05,3.138609099551104e-05,0.0012945069465786219,0.9952388147438304,2.146118822565768e-05,0
ref50_h1,always_physical,folder_1_frame_111,1,-0.5895646452563452,57.71059418397829,-0.01944981580056293,0.998102916420697,-1.4765233057101312e-05,-0.00010575661872280762,0.0012972747208550572,0.9992737016255528,6.755813046765979e-06,0
ref50_h1,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,57.75536101171967,0.025317011940821033,0.9981304401642016,1.2758510447463678e-05,3.138609099551104e-05,0.0012945069465786219,0.9952388147438304,2.146118822565768e-05,0
ref50_h1,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,57.75536101171967,0.025317011940821033,0.9981304401642016,1.2758510447463678e-05,3.138609099551104e-05,0.0012945069465786219,0.9952388147438304,2.146118822565768e-05,1
ref50_h2,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.919877596959665,0.0,0.9985519031649925,0.0,-4.434500624483917e-06,0.0011324075749143958,1.0,0.0,0
ref50_h2,always_p99,folder_1_frame_111,1,-0.5895646452563452,58.955118532509616,0.035240935549950336,0.9985636448225654,1.1741657572894582e-05,4.536937194643542e-05,0.0011269182432442904,0.9952388147438304,2.146118822565768e-05,0
ref50_h2,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.90283739929583,-0.017040197663838796,0.9985427042618751,-9.198903117457746e-06,-9.177332685794681e-05,0.0011309225810691714,0.9992737016255528,6.755813046765979e-06,0
ref50_h2,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,58.955118532509616,0.035240935549950336,0.9985636448225654,1.1741657572894582e-05,4.536937194643542e-05,0.0011269182432442904,0.9952388147438304,2.146118822565768e-05,0
ref50_h2,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,58.955118532509616,0.035240935549950336,0.9985636448225654,1.1741657572894582e-05,4.536937194643542e-05,0.0011269182432442904,0.9952388147438304,2.146118822565768e-05,1
ref100_all,always_noisy,folder_1_frame_111,1,-0.5895646452563452,58.456217264002575,0.0,0.9983971297829866,0.0,-1.1426156561356038e-05,0.001194453565403819,1.0,0.0,0
ref100_all,always_p99,folder_1_frame_111,1,-0.5895646452563452,58.48701648438637,0.030799220383798342,0.9984094872559726,1.2357472986002094e-05,3.8377718738047406e-05,0.0011896612122654915,0.9952388147438304,2.146118822565768e-05,0
ref100_all,always_physical,folder_1_frame_111,1,-0.5895646452563452,58.43706585159399,-0.019151412408582758,0.9983849842468865,-1.2145536100072185e-05,-9.876500553218648e-05,0.0011930636828765273,0.9992737016255528,6.755813046765979e-06,0
ref100_all,lofo_best_hard,folder_1_frame_111,1,-0.5895646452563452,58.48701648438637,0.030799220383798342,0.9984094872559726,1.2357472986002094e-05,3.8377718738047406e-05,0.0011896612122654915,0.9952388147438304,2.146118822565768e-05,0
ref100_all,lofo_best_linear,folder_1_frame_111,1,-0.5895646452563452,58.48701648438637,0.030799220383798342,0.9984094872559726,1.2357472986002094e-05,3.8377718738047406e-05,0.0011896612122654915,0.9952388147438304,2.146118822565768e-05,1
ref25_q1,always_noisy,folder_1_frame_121,1,-0.5895646452563452,56.94234674235744,0.0,0.9977593169813574,0.0,-3.8134544411150273e-06,0.0014219394652172923,1.0,0.0,0
ref25_q1,always_p99,folder_1_frame_121,1,-0.5895646452563452,56.95898500788218,0.016638265524740348,0.9977694193061041,1.0102324746630309e-05,4.60872906842269e-05,0.001418474712409079,0.9951994802007058,2.1263460439513437e-05,0
ref25_q1,always_physical,folder_1_frame_121,1,-0.5895646452563452,56.931452905334226,-0.010893837023211006,0.9977481465106751,-1.1170470682331235e-05,-9.11518291104585e-05,0.0014208082575351,0.9992913002295979,6.844110885140253e-06,0
