strategy,folder,reference_count,gain_mean_db,gain_sd_across_references_db,gain_range_across_references_db,sign_agreement_fraction
always_noisy,1,7,0.0,0.0,0.0,1.0
always_noisy,2,7,0.0,0.0,0.0,1.0
always_noisy,4,7,0.0,0.0,0.0,1.0
always_noisy,5,7,0.0,0.0,0.0,1.0
always_noisy,7,7,0.0,0.0,0.0,1.0
always_noisy,8,7,0.0,0.0,0.0,1.0
always_noisy,9,7,0.0,0.0,0.0,1.0
always_noisy,10,7,0.0,0.0,0.0,1.0
always_noisy,11,7,0.0,0.0,0.0,1.0
always_noisy,13,7,0.0,0.0,0.0,1.0
always_p99,1,7,0.01872669121725336,0.004852411012925354,0.014213739033500872,1.0
always_p99,2,7,0.05657378056662399,0.0049665292137764435,0.014056066127573708,1.0
always_p99,4,7,0.047506698048232945,0.009238652039004182,0.02170635008305677,1.0
always_p99,5,7,0.06812608392404394,0.006835945954094045,0.018663499659346883,1.0
always_p99,7,7,0.04322204890297269,0.0037611353106485708,0.009975948107706856,1.0
always_p99,8,7,0.04661387838263931,0.0035786391770001405,0.008146739616567089,1.0
always_p99,9,7,0.03191301741604757,0.007654158146385349,0.022344627414368823,1.0
always_p99,10,7,0.026672706215173418,0.004721769530281287,0.014680275426050216,1.0
always_p99,11,7,0.041057432244660595,0.009221847581157586,0.023693754298689917,1.0
always_p99,13,7,0.0012640814390358912,0.006694500656410862,0.019497238540445494,0.5714285714285714
always_physical,1,7,-0.006971431561324261,0.0031658307593085454,0.008693215829198131,1.0
always_physical,2,7,-0.13688011477679915,0.010747509995807435,0.030440935904032074,1.0
always_physical,4,7,0.3661727833438086,0.026993217229439724,0.06831181424168076,1.0
always_physical,5,7,1.3979851233986786,0.2621547614736398,0.7152893123381121,1.0
always_physical,7,7,0.9531843119248932,0.0758197897084193,0.20224923822702312,1.0
always_physical,8,7,0.8030697082205096,0.03683095983443144,0.09789799345739869,1.0
always_physical,9,7,0.06406192202237206,0.007659998025573901,0.024880777901715057,1.0
always_physical,10,7,0.008622601491188066,0.008134777089303631,0.02541065367833273,0.8571428571428571
always_physical,11,7,-0.05421803982350783,0.015752553544087194,0.03922869042933996,1.0
always_physical,13,7,-0.034705973567435065,0.016745563901323784,0.048561973780707035,1.0
lofo_best_hard,1,7,0.01872669121725336,0.004852411012925354,0.014213739033500872,1.0
lofo_best_hard,2,7,0.05657378056662399,0.0049665292137764435,0.014056066127573708,1.0
lofo_best_hard,4,7,0.3661727833438086,0.026993217229439724,0.06831181424168076,1.0
lofo_best_hard,5,7,1.3979851233986786,0.2621547614736398,0.7152893123381121,1.0
lofo_best_hard,7,7,0.9531843119248932,0.0758197897084193,0.20224923822702312,1.0
lofo_best_hard,8,7,0.8030697082205096,0.03683095983443144,0.09789799345739869,1.0
lofo_best_hard,9,7,0.03191301741604757,0.007654158146385349,0.022344627414368823,1.0
lofo_best_hard,10,7,0.008622601491188066,0.008134777089303631,0.02541065367833273,0.8571428571428571
lofo_best_hard,11,7,0.041057432244660595,0.009221847581157586,0.023693754298689917,1.0
lofo_best_hard,13,7,0.0012640814390358912,0.006694500656410862,0.019497238540445494,0.5714285714285714
lofo_best_linear,1,7,0.01872669121725336,0.004852411012925354,0.014213739033500872,1.0
lofo_best_linear,2,7,0.05657378056662399,0.0049665292137764435,0.014056066127573708,1.0
lofo_best_linear,4,7,0.3661727833438086,0.026993217229439724,0.06831181424168076,1.0
lofo_best_linear,5,7,1.3979851233986786,0.2621547614736398,0.7152893123381121,1.0
lofo_best_linear,7,7,0.9531843119248932,0.0758197897084193,0.20224923822702312,1.0
lofo_best_linear,8,7,0.8030697082205096,0.03683095983443144,0.09789799345739869,1.0
lofo_best_linear,9,7,0.059765243709292246,0.0013892374818055885,0.004153771550596375,1.0
lofo_best_linear,10,7,0.02768428829347691,0.004390895871439209,0.013640532670999406,1.0
lofo_best_linear,11,7,0.041057432244660595,0.009221847581157586,0.023693754298689917,1.0
lofo_best_linear,13,7,0.0012640814390358912,0.006694500656410862,0.019497238540445494,0.5714285714285714
