source_pair_key,profile,candidate_cluster,cluster_size,candidate_group_only
15ms_to_500ms_098,lenient_full_0p98,1,100,True
15ms_to_500ms_099,lenient_full_0p98,1,100,True
15ms_to_500ms_000,balanced_full_0p995_roi_0p94,1,5,True
15ms_to_500ms_001,balanced_full_0p995_roi_0p94,1,5,True
15ms_to_500ms_002,balanced_full_0p995_roi_0p94,1,5,True
15ms_to_500ms_003,balanced_full_0p995_roi_0p94,1,5,True
15ms_to_500ms_004,balanced_full_0p995_roi_0p94,1,5,True
15ms_to_500ms_005,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_006,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_007,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_008,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_009,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_010,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_011,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_012,balanced_full_0p995_roi_0p94,2,8,True
15ms_to_500ms_013,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_014,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_015,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_016,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_017,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_018,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_019,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_020,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_021,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_022,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_023,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_024,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_025,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_026,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_027,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_028,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_029,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_030,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_031,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_032,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_033,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_034,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_035,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_036,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_037,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_038,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_039,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_040,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_041,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_042,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_043,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_044,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_045,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_046,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_047,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_048,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_049,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_050,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_051,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_052,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_053,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_054,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_055,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_056,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_057,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_058,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_059,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_060,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_061,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_062,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_063,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_064,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_065,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_066,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_067,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_068,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_069,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_070,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_071,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_072,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_073,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_074,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_075,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_076,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_077,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_078,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_079,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_080,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_081,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_082,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_083,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_084,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_085,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_086,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_087,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_088,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_089,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_090,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_091,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_092,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_093,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_094,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_095,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_096,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_097,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_098,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_099,balanced_full_0p995_roi_0p94,3,87,True
15ms_to_500ms_000,strict_full_0p999_roi_0p95,1,1,True
15ms_to_500ms_001,strict_full_0p999_roi_0p95,2,1,True
15ms_to_500ms_002,strict_full_0p999_roi_0p95,3,1,True
15ms_to_500ms_003,strict_full_0p999_roi_0p95,4,1,True
15ms_to_500ms_004,strict_full_0p999_roi_0p95,5,1,True
15ms_to_500ms_005,strict_full_0p999_roi_0p95,6,1,True
15ms_to_500ms_006,strict_full_0p999_roi_0p95,7,2,True
15ms_to_500ms_007,strict_full_0p999_roi_0p95,7,2,True
15ms_to_500ms_008,strict_full_0p999_roi_0p95,8,1,True
15ms_to_500ms_009,strict_full_0p999_roi_0p95,9,2,True
15ms_to_500ms_010,strict_full_0p999_roi_0p95,9,2,True
15ms_to_500ms_011,strict_full_0p999_roi_0p95,10,1,True
15ms_to_500ms_012,strict_full_0p999_roi_0p95,11,1,True
15ms_to_500ms_013,strict_full_0p999_roi_0p95,12,1,True
15ms_to_500ms_014,strict_full_0p999_roi_0p95,13,1,True
15ms_to_500ms_015,strict_full_0p999_roi_0p95,14,1,True
15ms_to_500ms_016,strict_full_0p999_roi_0p95,15,1,True
15ms_to_500ms_017,strict_full_0p999_roi_0p95,16,1,True
15ms_to_500ms_018,strict_full_0p999_roi_0p95,17,1,True
15ms_to_500ms_019,strict_full_0p999_roi_0p95,18,1,True
15ms_to_500ms_020,strict_full_0p999_roi_0p95,19,1,True
15ms_to_500ms_021,strict_full_0p999_roi_0p95,20,1,True
15ms_to_500ms_022,strict_full_0p999_roi_0p95,21,1,True
15ms_to_500ms_023,strict_full_0p999_roi_0p95,22,1,True
15ms_to_500ms_024,strict_full_0p999_roi_0p95,23,1,True
15ms_to_500ms_025,strict_full_0p999_roi_0p95,24,1,True
15ms_to_500ms_026,strict_full_0p999_roi_0p95,25,1,True
15ms_to_500ms_027,strict_full_0p999_roi_0p95,26,1,True
15ms_to_500ms_028,strict_full_0p999_roi_0p95,27,1,True
15ms_to_500ms_029,strict_full_0p999_roi_0p95,28,1,True
15ms_to_500ms_030,strict_full_0p999_roi_0p95,29,1,True
15ms_to_500ms_031,strict_full_0p999_roi_0p95,30,1,True
15ms_to_500ms_032,strict_full_0p999_roi_0p95,31,1,True
15ms_to_500ms_033,strict_full_0p999_roi_0p95,32,1,True
15ms_to_500ms_034,strict_full_0p999_roi_0p95,33,1,True
15ms_to_500ms_035,strict_full_0p999_roi_0p95,34,1,True
15ms_to_500ms_036,strict_full_0p999_roi_0p95,35,1,True
15ms_to_500ms_037,strict_full_0p999_roi_0p95,36,1,True
15ms_to_500ms_038,strict_full_0p999_roi_0p95,37,1,True
15ms_to_500ms_039,strict_full_0p999_roi_0p95,38,1,True
15ms_to_500ms_040,strict_full_0p999_roi_0p95,39,1,True
15ms_to_500ms_041,strict_full_0p999_roi_0p95,40,1,True
15ms_to_500ms_042,strict_full_0p999_roi_0p95,41,1,True
15ms_to_500ms_043,strict_full_0p999_roi_0p95,42,1,True
15ms_to_500ms_044,strict_full_0p999_roi_0p95,43,1,True
15ms_to_500ms_045,strict_full_0p999_roi_0p95,44,1,True
15ms_to_500ms_046,strict_full_0p999_roi_0p95,45,1,True
15ms_to_500ms_047,strict_full_0p999_roi_0p95,46,1,True
15ms_to_500ms_048,strict_full_0p999_roi_0p95,47,1,True
15ms_to_500ms_049,strict_full_0p999_roi_0p95,48,1,True
15ms_to_500ms_050,strict_full_0p999_roi_0p95,49,1,True
15ms_to_500ms_051,strict_full_0p999_roi_0p95,50,1,True
15ms_to_500ms_052,strict_full_0p999_roi_0p95,51,1,True
15ms_to_500ms_053,strict_full_0p999_roi_0p95,52,1,True
15ms_to_500ms_054,strict_full_0p999_roi_0p95,53,1,True
15ms_to_500ms_055,strict_full_0p999_roi_0p95,54,1,True
15ms_to_500ms_056,strict_full_0p999_roi_0p95,55,1,True
15ms_to_500ms_057,strict_full_0p999_roi_0p95,56,1,True
15ms_to_500ms_058,strict_full_0p999_roi_0p95,57,1,True
15ms_to_500ms_059,strict_full_0p999_roi_0p95,58,1,True
15ms_to_500ms_060,strict_full_0p999_roi_0p95,59,1,True
15ms_to_500ms_061,strict_full_0p999_roi_0p95,60,1,True
15ms_to_500ms_062,strict_full_0p999_roi_0p95,61,1,True
15ms_to_500ms_063,strict_full_0p999_roi_0p95,62,1,True
15ms_to_500ms_064,strict_full_0p999_roi_0p95,63,1,True
15ms_to_500ms_065,strict_full_0p999_roi_0p95,64,1,True
15ms_to_500ms_066,strict_full_0p999_roi_0p95,65,1,True
15ms_to_500ms_067,strict_full_0p999_roi_0p95,66,1,True
15ms_to_500ms_068,strict_full_0p999_roi_0p95,67,1,True
15ms_to_500ms_069,strict_full_0p999_roi_0p95,68,1,True
15ms_to_500ms_070,strict_full_0p999_roi_0p95,69,1,True
15ms_to_500ms_071,strict_full_0p999_roi_0p95,70,1,True
15ms_to_500ms_072,strict_full_0p999_roi_0p95,71,1,True
15ms_to_500ms_073,strict_full_0p999_roi_0p95,72,1,True
15ms_to_500ms_074,strict_full_0p999_roi_0p95,73,1,True
15ms_to_500ms_075,strict_full_0p999_roi_0p95,74,1,True
15ms_to_500ms_076,strict_full_0p999_roi_0p95,75,1,True
15ms_to_500ms_077,strict_full_0p999_roi_0p95,76,1,True
15ms_to_500ms_078,strict_full_0p999_roi_0p95,77,1,True
15ms_to_500ms_079,strict_full_0p999_roi_0p95,78,1,True
15ms_to_500ms_080,strict_full_0p999_roi_0p95,79,1,True
15ms_to_500ms_081,strict_full_0p999_roi_0p95,80,1,True
15ms_to_500ms_082,strict_full_0p999_roi_0p95,81,1,True
15ms_to_500ms_083,strict_full_0p999_roi_0p95,82,1,True
15ms_to_500ms_084,strict_full_0p999_roi_0p95,83,1,True
15ms_to_500ms_085,strict_full_0p999_roi_0p95,84,1,True
15ms_to_500ms_086,strict_full_0p999_roi_0p95,85,1,True
15ms_to_500ms_087,strict_full_0p999_roi_0p95,86,1,True
15ms_to_500ms_088,strict_full_0p999_roi_0p95,87,1,True
15ms_to_500ms_089,strict_full_0p999_roi_0p95,88,1,True
15ms_to_500ms_090,strict_full_0p999_roi_0p95,89,1,True
15ms_to_500ms_091,strict_full_0p999_roi_0p95,90,1,True
15ms_to_500ms_092,strict_full_0p999_roi_0p95,91,1,True
15ms_to_500ms_093,strict_full_0p999_roi_0p95,92,1,True
15ms_to_500ms_094,strict_full_0p999_roi_0p95,93,1,True
15ms_to_500ms_095,strict_full_0p999_roi_0p95,94,1,True
15ms_to_500ms_096,strict_full_0p999_roi_0p95,95,1,True
15ms_to_500ms_097,strict_full_0p999_roi_0p95,96,1,True
15ms_to_500ms_098,strict_full_0p999_roi_0p95,97,1,True
15ms_to_500ms_099,strict_full_0p999_roi_0p95,98,1,True
