run_seed,model,folder,band,raw_energy,output_energy,corrected_energy,output_energy_ratio,corrected_energy_ratio,raw_fraction,output_fraction,corrected_fraction
20260719,G,2,dc,138156730220544.0,138073352175616.0,138156740444160.0,0.999396496683188,1.00000007400013,0.009672737938491504,0.010008245614314123,0.010014228961939105
20260719,G,2,very_low,111339841781760.0,111293065592832.0,111293073457152.0,0.9995798791503612,0.9995799497838368,0.00779521279889068,0.00806707679702255,0.008067028187656835
20260719,G,2,low,353351114948608.0,352338038489088.0,352338067849216.0,0.9971329467584463,0.9971330298489667,0.024739096891737474,0.025539219356240154,0.025539065789377
20260719,G,2,mid,3007269813878784.0,2943179171037184.0,2943179246534656.0,0.9786880969090912,0.978688122014079,0.21054734556579793,0.21333631411518353,0.213335019023108
20260719,G,2,high,1.067298735521792e+16,1.0251075974070272e+16,1.0251076578050048e+16,0.9604692325489003,0.9604692891384713,0.7472456068050825,0.7430491441172397,0.7430446580379191
20260719,CG_NC,2,dc,138156730220544.0,138018542845952.0,138156799950848.0,0.9989997781912513,1.0000005047188356,0.009672737938491504,0.010105811945025035,0.010115833280383913
20260719,CG_NC,2,very_low,111339841781760.0,111234417426432.0,111234407202816.0,0.9990531300059269,0.9990530381824085,0.00779521279889068,0.008144659993843045,0.008144577166714519
20260719,CG_NC,2,low,353351114948608.0,351869743398912.0,351869726621696.0,0.9958076499916763,0.9958076025113789,0.024739096891737474,0.025764142865227418,0.025763881996294705
20260719,CG_NC,2,mid,3007269813878784.0,2926218756227072.0,2926218596843520.0,0.9730482920828537,0.973048239083435,0.21054734556579793,0.2142597353273185,0.2142575644351866
20260719,CG_NC,2,high,1.067298735521792e+16,1.013000181907456e+16,1.0130001382866944e+16,0.9491252525584696,0.9491252116882238,0.7472456068050825,0.741725649868586,0.7417181431214203
20260720,G,2,dc,138156730220544.0,137722167296000.0,138156738347008.0,0.9968545656527171,1.0000000588206162,0.009672737938491504,0.010263341396670449,0.010295393021612451
20260720,G,2,very_low,111339841781760.0,111122491375616.0,111122493997056.0,0.9980478649631097,0.9980478885076015,0.00779521279889068,0.008281078407554503,0.008280810353006122
20260720,G,2,low,353351114948608.0,353283975675904.0,353283976724480.0,0.999809992752637,0.9998099957201557,0.024739096891737474,0.026327454203809435,0.026326601453786246
20260720,G,2,mid,3007269813878784.0,2996957471571968.0,2996957488349184.0,0.9965708622953539,0.99657086787424,0.21054734556579793,0.22333948329419542,0.22333224988361616
20260720,G,2,high,1.067298735521792e+16,9819756936822784.0,9819757037486080.0,0.920057019651766,0.9200570290833612,0.7472456068050825,0.7317886426977702,0.731764945287979
