run_seed,model,folder,raw_mean_centered_temporal_variance_DN2,output_mean_centered_temporal_variance_DN2,corrected_mean_centered_temporal_variance_DN2,mean_centered_temporal_reduction,corrected_mean_centered_temporal_reduction,CG_minus_G_placeholder
20260719,G,2,2018.539874124533,1948.2047454026633,1948.2048655620551,0.03484455750589277,0.034844497978016475,
20260719,CG_NC,2,2018.539874124533,1928.28977404314,1928.28969404317,0.044710585725008634,0.04471062535760206,
20260720,G,2,2018.539874124533,1893.4433435978556,1893.4433747234127,0.06197377229465606,0.06197375687481843,
20260720,CG_NC,2,2018.539874124533,1856.8382657056743,1856.8383361303074,0.08010820617996994,0.08010817129107128,
20260721,G,2,2018.539874124533,1995.5844320362648,1995.5844584311894,0.011372300533931345,0.011372287457685037,
20260721,CG_NC,2,2018.539874124533,2000.2429023862605,2000.242935887614,0.009064458905578054,0.009064442308752807,
20260719,G,5,78132.00225109518,76356.92957850863,76356.92954049917,0.022718893941588103,0.022718894428065517,
20260719,CG_NC,5,78132.00225109518,75709.42165902854,75709.42094129305,0.03100625252481215,0.031006261711002958,
20260720,G,5,78132.00225109518,74790.08158404395,74790.08127836851,0.04277275086732324,0.04277275477961817,
20260720,CG_NC,5,78132.00225109518,74651.81347765337,74651.81345747573,0.04454242401541719,0.044542424273667836,
20260721,G,5,78132.00225109518,77677.38958203282,77677.38961507338,0.0058185206568924785,0.005818520234011193,
20260721,CG_NC,5,78132.00225109518,77132.21759269916,77132.21701825791,0.012796096728495243,0.012796104080684212,
20260719,G,9,9777.211280775566,9433.807300581846,9433.80724554922,0.035122896532770786,0.035122902161433656,
20260719,CG_NC,9,9777.211280775566,9338.159368418002,9338.159313539478,0.044905638197759834,0.04490564381066142,
20260720,G,9,9777.211280775566,9275.871151523428,9275.871179878593,0.05127639312018317,0.051276390220055035,
20260720,CG_NC,9,9777.211280775566,9084.030222209385,9084.030304954773,0.07089762496276897,0.07089761649968218,
20260721,G,9,9777.211280775566,9713.74964589572,9713.749571122122,0.006490770533375656,0.0064907781811185394,
20260721,CG_NC,9,9777.211280775566,9612.094417263515,9612.094468129328,0.016887930389385297,0.016887925186898523,
20260719,G,11,3811.3563432799297,3678.000395589864,3678.000376117769,0.03498910510563902,0.03498911021460638,
20260719,CG_NC,11,3811.3563432799297,3640.1101020788924,3640.11013431542,0.04493052493057326,0.044930516472553306,
20260720,G,11,3811.3563432799297,3607.3137364042964,3607.3136960599827,0.053535431614888274,0.053535442200178696,
20260720,CG_NC,11,3811.3563432799297,3538.5056601563642,3538.505640994108,0.07158886720331137,0.07158887223098509,
20260721,G,11,3811.3563432799297,3776.5040309127126,3776.504035384812,0.009144333205334587,0.009144332031972846,
20260721,CG_NC,11,3811.3563432799297,3754.104137781358,3754.104153541365,0.015021478009926037,0.01502147387491326,
