run_seed,folder,model,temporal_variance_reduction,row_energy_reduction,column_energy_reduction,radial_acf_r1_change,radial_acf_r1_relative_change,psd_low_fraction_change,psd_mid_fraction_change,psd_high_fraction_change,psd_energy_ratio,mean_shift_DN,p95_absolute_shift_DN,max_absolute_shift_DN,high_gradient_retention,low_region_temporal_variance_ratio,split_map_correlation_change,adjacent_difference_std_ratio,adjacent_temporal_correlation_change,proxy_mean_PSNR,proxy_mean_SSIM,proxy_median_PSNR,proxy_median_SSIM,removed_gradient_correlation,removed_structure_correlation,removed_structure_warning
20260719,2,G,0.0346740352676616,0.0055890835713819,0.0199263418899489,0.0059484761184879,0.1459109644005281,0.0029725876055093,0.0016378736561555,-0.0045500200067379,0.9651554445458684,-0.7511071362893563,0.7540130183682777,0.754650941118598,0.9866589307785034,0.9652112827249962,0.0006482489151627,0.98238252703868,0.0089267507089676,63.413800330479816,0.9994708872868826,63.35078537815112,0.9994634602060132,0.0243776288235835,0.0285465699944226,False
20260719,2,CG_NC,0.0444929060506859,0.0079914711227579,0.0224873111896387,0.0078036118160688,0.1914158354525585,0.0037372192420557,0.0020221379188455,-0.0056910945000974,0.955289416286483,-3.0809351780073486,3.0840920497779734,3.0864170491695404,0.9850395321846008,0.955371827785242,0.0010993024150055,0.977337001844474,0.0138481828473374,63.41709737844603,0.9994714046054248,63.36569084158613,0.9994661692546308,-0.0104360659701922,0.0086978924905979,False
20260719,5,G,0.0226450662280243,0.0017690248171391,0.0008777498909281,0.0070821077283992,0.0477207991573808,0.0006844708196217,7.529002145290065e-06,-0.00068376278125,0.9772811063407114,-1.5943186884187162,1.599753956706263,1.6017739137168974,0.9976409673690796,0.9666214306718264,1.6929616688532434e-06,0.9867965850312128,0.0001069459288746,47.54408282063971,0.985037864690223,47.52962680563005,0.984984452479168,0.5233745270453214,0.2722579201591898,True
20260719,5,CG_NC,0.0309074450670302,0.0029424329854218,0.0013996625568661,0.0095394973725982,0.0642792309349721,0.0009294796092973,1.024314925623937e-05,-0.0009290883829766,0.9689937476184824,-5.267892011560034,5.283851085684728,5.287675926461816,0.996498703956604,0.9568164679843824,2.40178783861289e-06,0.9819923237372696,0.0001432924962455,47.57841885765992,0.9851726788216024,47.56533551161554,0.9851208243113744,0.487615160929507,0.4157070917504691,True
20260719,9,G,0.0350924573020251,0.005700003477738,0.0104878906037993,0.0059336872603524,0.2450963386328045,0.0031981985624973,0.0013011538146843,-0.004441388645577,0.9648771020721192,-0.8196916390152182,0.8222851928323507,0.8247724501416087,0.9902992248535156,0.9649252802748872,1.2836148575501303e-05,0.9821608628656776,0.0011972423135272,56.5964949697394,0.9975242325667972,56.571023498921775,0.997509983435745,0.1955499970647919,0.0977637970178865,True
20260719,9,CG_NC,0.0448670687200822,0.0081724288861365,0.0114137595781692,0.0080033388533433,0.3305851764212464,0.0038250821786327,0.0015429056772365,-0.0053066866063112,0.9550943611615224,-3.260627486378653,3.2637736856006088,3.265508278273046,0.9884780645370485,0.9551342820160869,1.668980371205553e-05,0.9771379837685475,0.0015375903398169,56.6314835819796,0.9975457506104406,56.610974471879736,0.9975343194222316,0.1166940238580192,0.0752477065665748,True
20260719,11,G,0.034865622235475,0.0056470008188637,0.0155323977837876,0.0059180562505131,0.1482105408311282,0.002876556181219,0.0017194790169917,-0.0045348371103036,0.9650108913025548,-0.7617888563766609,0.76458539289888,0.7655908884480596,0.9870790243148804,0.9651982650114296,4.6748680794461706e-05,0.9823474659018908,0.0036223117069029,60.66918039230675,0.9990100826369794,60.63039409492561,0.99900148511644,0.027349004438294,0.0697100105817244,False
20260719,11,CG_NC,0.0447726236363217,0.0080130923894334,0.0176333681854055,0.0077846554780187,0.1949572545007698,0.0036321761539513,0.0021262978374374,-0.0056893017185741,0.9550694710451744,-3.130731232680846,3.1344632244552484,3.137586986646056,0.9842877388000488,0.9553583334856004,6.213026892498696e-05,0.9772707824679476,0.0048049787998277,60.6915746463116,0.9990158139877218,60.66142293338997,0.9990098011869954,-0.0135503162454583,0.039053177449925,False
20260720,2,G,0.0616808043327478,0.0084034955690699,0.0140236703873017,0.0144082403490467,0.3534216499768691,8.287416844210416e-05,0.0005953129025533,-0.0006594839472388,0.938026229806942,-4.906046769320969,4.918023524223827,4.92729308642447,0.988569974899292,0.936868509548354,0.0013223692666255,0.9684481714607,0.0183723488571743,63.44930715159765,0.9994745659842172,63.405983959043255,0.9994709154948116,-0.0284142429962708,0.0229784927460654,False
20260720,2,CG_NC,0.0796529043614336,0.0050769664583205,0.0108139775670643,0.0183586138897461,0.4503208896450441,0.0023552227439983,0.0015522522916629,-0.0038219768847979,0.9198917957323376,-4.041022194365633,4.073065645131328,4.0900865672156215,0.9816177487373352,0.9186404151234024,0.001310533252168,0.959004303852646,0.0214686595007735,63.582327851275,0.9994881149015368,63.53288493547652,0.9994836029564474,-0.067054801074002,0.0083132840473243,False
