folder,lag,mean,std,skewness,excess_kurtosis
1,1,0.029228171333670616,100.97501373291016,2.2752981749363244e-05,2.464242935180664
1,8,0.111572265625,101.14469146728516,-0.0037644170224666595,2.4835658073425293
1,32,0.4809337854385376,102.36994171142578,0.0017922217957675457,2.4491701126098633
1,100,1.001376986503601,113.19819641113281,0.0013301314320415258,2.426413059234619
2,1,-0.01390742789953947,62.9045524597168,0.0026253690011799335,1.6159591674804688
2,8,-0.0829722061753273,62.952789306640625,0.003826369298622012,1.624044418334961
2,32,-0.4461205005645752,62.93899917602539,0.0043099671602249146,1.5611186027526855
2,100,-2.3127832412719727,63.261898040771484,0.009795497171580791,1.6875224113464355
4,1,-0.08066210150718689,179.8376922607422,-0.0008190154330804944,3.11968994140625
4,8,-0.4573720395565033,179.98052978515625,-0.009445304051041603,3.110734462738037
4,32,-1.7724900245666504,180.39285278320312,-0.03160252422094345,3.102376937866211
4,100,-4.116230487823486,185.1559295654297,-0.09505067765712738,2.9418368339538574
5,1,-0.30493777990341187,365.67633056640625,-0.001327879843302071,3.322587013244629
5,8,-2.1519012451171875,366.1470642089844,-0.017163127660751343,3.3148694038391113
5,32,-8.6568021774292,370.28204345703125,-0.06479666382074356,3.234382152557373
5,100,-24.904550552368164,407.6593933105469,-0.13973741233348846,2.9359359741210938
7,1,-0.034783292561769485,240.34619140625,0.0004335764970164746,3.324507713317871
7,8,-0.1979115754365921,240.52574157714844,-0.004997503478080034,3.307407855987549
7,32,-0.5911516547203064,241.4175567626953,-0.010364064946770668,3.268874168395996
7,100,-1.4715625047683716,249.95933532714844,-0.03271946310997009,3.05373477935791
8,1,-0.01972263678908348,219.64625549316406,0.004358634818345308,3.2488698959350586
8,8,-0.2405039519071579,219.85504150390625,0.0002825628034770489,3.251145362854004
8,32,-0.5066615343093872,219.96653747558594,-0.015157338231801987,3.238770008087158
8,100,-0.9782617092132568,224.40603637695312,-0.04237092658877373,3.099668502807617
9,1,0.0015899811405688524,139.19796752929688,-0.001667067059315741,2.8462324142456055
9,8,0.12371826171875,139.1831817626953,0.0007075959583744407,2.854175567626953
9,32,0.4815557599067688,139.3387908935547,0.008022470399737358,2.855170726776123
9,100,0.8309277296066284,139.9810028076172,0.022652244195342064,2.82637882232666
10,1,-0.03047463856637478,110.9498519897461,-0.0017840885557234287,2.5394392013549805
10,8,-0.0911509171128273,110.96446228027344,-0.0021067638881504536,2.5309720039367676
10,32,-0.101951964199543,111.06060791015625,-0.008394544944167137,2.527106285095215
10,100,0.9152441620826721,111.38594818115234,-0.013392449356615543,2.513718605041504
11,1,-0.004799387417733669,87.02945709228516,-0.0010788097279146314,1.7438631057739258
11,8,-0.1318613737821579,87.08745574951172,-0.0007845760555937886,1.7353672981262207
11,32,-1.374151349067688,87.12633514404297,0.005146565847098827,1.7512965202331543
11,100,-2.9839844703674316,87.10324096679688,0.01489447895437479,1.7450299263000488
13,1,-0.022951671853661537,55.977378845214844,0.003586525795981288,2.3717565536499023
13,8,0.014424641616642475,55.97972106933594,-0.003168808063492179,2.4090538024902344
13,32,0.2907191812992096,56.01573181152344,0.0020583609584718943,2.3990440368652344
13,100,1.9386426210403442,56.045921325683594,0.004694300703704357,2.449406623840332
