folder,lag,brightness_bin,brightness_low,brightness_high,pixel_count,residual_correlation_mean,residual_correlation_max_abs
1,1,0,934.8800048828125,977.3599853515625,32725,-0.004451642381472682,0.0459608863057292
1,1,1,977.3599853515625,990.6400146484375,32796,-0.011222451093835134,0.05228757866552591
1,1,2,990.6400146484375,1013.2000122070312,32722,0.003817023085704944,0.05553414689841599
1,1,3,1013.2000122070312,1048.47998046875,32814,0.021656902642045377,0.07869003001364372
1,1,4,1048.47998046875,1120.800048828125,32761,0.10430100674490932,0.29987414877333296
1,1,5,1120.800048828125,1226.47998046875,32786,0.16678932838090288,0.43455654478522937
1,1,6,1226.47998046875,1478.0799560546875,32770,0.26006182567159813,0.5516808858955444
1,1,7,1478.0799560546875,2304.0,32770,0.09998787961211607,0.2677444568130856
1,8,0,934.8800048828125,977.3599853515625,32725,-0.006867190009319981,0.051527424329190226
1,8,1,977.3599853515625,990.6400146484375,32796,-0.004639782535545642,0.06746359105044455
1,8,2,990.6400146484375,1013.2000122070312,32722,-0.0015213525526072407,0.06848669727550499
1,8,3,1013.2000122070312,1048.47998046875,32814,0.01890902447344619,0.10000603488755491
1,8,4,1048.47998046875,1120.800048828125,32761,0.09475093296948818,0.24054805481264815
1,8,5,1120.800048828125,1226.47998046875,32786,0.17125387594381306,0.4047923529754474
1,8,6,1226.47998046875,1478.0799560546875,32770,0.2494185739344764,0.5298519592833505
1,8,7,1478.0799560546875,2304.0,32770,0.08974460351222992,0.27611661530796416
1,32,0,934.8800048828125,977.3599853515625,32725,-0.008107315854979842,0.046900860035571305
1,32,1,977.3599853515625,990.6400146484375,32796,-0.0007193404962517973,0.06489692648066749
1,32,2,990.6400146484375,1013.2000122070312,32722,-3.7400175524112397e-05,0.05212434024424991
1,32,3,1013.2000122070312,1048.47998046875,32814,0.008027231514402466,0.07367583621525517
1,32,4,1048.47998046875,1120.800048828125,32761,0.07059958240381012,0.19704088689631424
1,32,5,1120.800048828125,1226.47998046875,32786,0.11580356833080215,0.31077704345220325
1,32,6,1226.47998046875,1478.0799560546875,32770,0.18610629933733022,0.4806547212676655
1,32,7,1478.0799560546875,2304.0,32770,0.05941016273353398,0.23955661044390605
1,100,0,934.8800048828125,977.3599853515625,32725,-0.010887703404323948,0.05973656690222909
1,100,1,977.3599853515625,990.6400146484375,32796,-0.012885403642813006,0.06638463072851232
1,100,2,990.6400146484375,1013.2000122070312,32722,-0.008382605552291608,0.05878174574297377
1,100,3,1013.2000122070312,1048.47998046875,32814,-0.02527344170006729,0.07552068408388718
1,100,4,1048.47998046875,1120.800048828125,32761,-0.0665274262908362,0.1280943028978564
1,100,5,1120.800048828125,1226.47998046875,32786,-0.1017655026782837,0.16472635830836985
1,100,6,1226.47998046875,1478.0799560546875,32770,-0.15832725188314264,0.25779082040076606
1,100,7,1478.0799560546875,2304.0,32770,-0.060786542674791,0.12034391175468669
2,1,0,899.760009765625,936.47998046875,32433,-0.013872067033857183,0.04711383981664779
2,1,1,936.47998046875,941.5999755859375,33096,-0.00844358995227355,0.055563025162903346
2,1,2,941.5999755859375,946.3200073242188,32471,0.00030701817216741807,0.04632381356847628
2,1,3,946.3200073242188,952.239990234375,32881,0.004232077947041933,0.036384570844398695
2,1,4,952.239990234375,961.2000122070312,32820,-0.0014369612022384938,0.058598709703662655
2,1,5,961.2000122070312,976.5599975585938,32820,0.006277818140181129,0.06380166130126651
2,1,6,976.5599975585938,1009.9199829101562,32805,0.009148537901368837,0.10164406067925162
