folder,frame_index,frame_mean,frame_std
1,1,1157.3053588867188,249.6856121703764
1,2,1160.0944213867188,250.10032922479675
1,3,1153.91796875,249.69481980309288
1,4,1155.9945678710938,249.94791932087716
1,5,1157.3436279296875,249.32167415419195
1,6,1159.6256713867188,250.68048114699573
1,7,1156.1712646484375,250.4766880457295
1,8,1158.8465576171875,250.3437629516552
1,9,1157.330810546875,250.07633295188757
1,10,1158.1649780273438,250.32490582363127
1,11,1157.570556640625,250.37759404914527
1,12,1158.8060302734375,250.94817112810776
1,13,1157.5452270507812,250.61744351903715
1,14,1157.940673828125,250.58464722667634
1,15,1158.3185424804688,249.6447414214047
1,16,1155.6614379882812,249.85780941676703
1,17,1162.3464965820312,250.87990428821817
1,18,1155.7093505859375,249.79392384544826
1,19,1154.1762084960938,250.52855347997567
1,20,1151.9754028320312,250.55127964334332
1,21,1160.0320434570312,250.3654261863384
1,22,1157.4126586914062,250.37141745929753
1,23,1156.893310546875,249.05584770793246
1,24,1160.4097290039062,249.63021498111632
1,25,1159.6109008789062,250.09690498509565
1,26,1161.9251708984375,248.79569454325733
1,27,1162.0496826171875,250.54312871847793
1,28,1158.1724853515625,249.73301766503513
1,29,1156.3350830078125,248.03922483211275
1,30,1156.6917724609375,248.6576205773207
1,31,1155.5849609375,248.76222411939196
1,32,1158.4326782226562,249.7812021974357
1,33,1159.006591796875,249.75387387414426
1,34,1160.275390625,248.89797408527386
1,35,1158.3298950195312,249.36526807322068
1,36,1159.5538330078125,249.52859883816942
1,37,1157.783447265625,248.74907933920224
1,38,1158.6978759765625,245.9231527350619
1,39,1159.4835205078125,249.7777505207062
1,40,1156.978271484375,249.94972544599415
1,41,1155.1572875976562,250.74354913629023
1,42,1152.7949829101562,249.98973384043205
1,43,1156.5953979492188,249.91859708563268
1,44,1153.397705078125,250.7315148007218
1,45,1152.4035034179688,250.3291432463052
1,46,1153.5821533203125,250.09604934953697
1,47,1154.060791015625,250.36105025370844
1,48,1155.6209106445312,249.93304834403517
1,49,1156.4381713867188,249.70471799593537
1,50,1159.1925659179688,249.77710063840556
1,51,1153.029296875,250.54024268407085
1,52,1154.3076782226562,249.49807389844352
1,53,1156.242431640625,249.3599929231825
1,54,1159.8017578125,249.7783309382243
1,55,1157.4845581054688,249.23838812385068
1,56,1154.2086181640625,249.9102122629353
1,57,1159.037353515625,250.40307168991782
1,58,1152.9983520507812,250.0428642398043
1,59,1156.4580078125,249.91807093919536
1,60,1154.0855712890625,250.17092985076872
1,61,1155.557861328125,250.8664629793505
1,62,1153.608642578125,249.2828780415551
1,63,1157.1414794921875,249.8432922000937
1,64,1153.6705932617188,250.0172047536757
1,65,1153.9548950195312,250.15214445942715
1,66,1157.101318359375,250.3988653835542
1,67,1153.589111328125,250.0330722628245
1,68,1158.6031494140625,251.08753294232983
1,69,1156.1165771484375,250.818759039931
1,70,1159.7520751953125,250.02500081650078
1,71,1157.4804077148438,249.9408588140734
1,72,1159.3843994140625,249.6656082799423
1,73,1156.9718627929688,250.62086248590796
1,74,1153.5017700195312,249.90581733599348
1,75,1154.9913940429688,249.2116511511695
1,76,1155.2774047851562,250.46666176746305
1,77,1154.30810546875,250.35509701675764
1,78,1156.5216064453125,249.7550409216573
1,79,1158.17138671875,250.68918660932033
1,80,1158.9781494140625,250.23777122869564
1,81,1155.3984375,249.5666076184544
1,82,1158.078125,250.02876738784354
1,83,1157.455078125,249.83938968520386
1,84,1159.2025756835938,250.54979165593932
1,85,1154.8150024414062,250.06103664968956
1,86,1155.11279296875,249.529479041172
1,87,1156.2587890625,249.8407645633437
1,88,1158.2708129882812,249.5114134847412
1,89,1161.3864135742188,250.4050463397278
1,90,1160.4984130859375,249.98648327213766
1,91,1156.2802734375,250.0486037939429
1,92,1156.761962890625,250.49396020673495
1,93,1157.304443359375,249.34164013587298
1,94,1154.6695556640625,248.80096532681796
1,95,1159.6851806640625,250.20407395396407
1,96,1156.5023193359375,250.57443500878585
1,97,1157.5340576171875,249.93316135276976
1,98,1156.3323364257812,250.72336248125413
1,99,1152.3016357421875,250.17183710077967
1,100,1155.7442016601562,249.36685743446458
1,101,1153.8980712890625,249.7818244496217
1,102,1154.14892578125,249.56454515037123
1,103,1153.934326171875,250.1056702133836
1,104,1157.4111938476562,249.34412253365946
1,105,1154.9454345703125,250.06320724632204
1,106,1158.56298828125,250.1211023818166
1,107,1157.0745849609375,249.61398040268944
1,108,1157.171875,250.00714784703533
1,109,1158.1947021484375,250.550122623283
1,110,1156.0118408203125,249.8446682605664
1,111,1156.14794921875,249.18413275583714
1,112,1155.6470336914062,249.50437771072524
1,113,1156.1303100585938,250.49504913347565
1,114,1155.3392944335938,249.84012953011225
1,115,1153.918701171875,249.5698843601989
1,116,1150.6835327148438,249.6525247715805
1,117,1158.7700805664062,250.31024693380388
1,118,1159.2759399414062,250.03640585454062
1,119,1160.9199829101562,249.23805238455267
1,120,1150.8484497070312,250.444006315005
1,121,1157.3182373046875,248.68964316512265
1,122,1157.790771484375,250.0961341976636
